year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,7080,10.64421,10.41410,10.87431,2.83300,7.66700,15.50000,0.0,34.50050,,,
1985,West,6430,10.63095,10.38648,10.87541,2.65904,7.50000,15.66700,0.0,35.17893,,,
1986,West,6080,10.65802,10.40860,10.90743,2.50000,7.58300,16.00000,0.0,36.25000,,,
1987,West,6100,10.62320,10.37311,10.87328,2.41700,7.50000,16.25000,0.0,36.99950,,,
1988,West,5912,10.62866,10.37325,10.88406,2.33954,7.66700,16.41700,0.0,37.53318,,,
1989,West,5760,10.57733,10.31871,10.83594,2.33300,7.58300,16.58300,0.0,37.95800,,,
1990,West,5716,10.44697,10.18706,10.70688,2.08300,7.12222,16.75000,0.0,38.75050,,,
1990,East,3410,12.52736,12.16188,12.89284,3.08300,9.80321,19.25000,0.0,43.50050,,,
1991,West,5845,10.23809,9.97847,10.49771,1.91700,6.50000,16.50000,0.0,38.37450,,,
1991,East,2822,11.24691,10.84464,11.64917,1.58300,7.91700,18.00000,0.0,42.62550,,,
1992,West,5667,10.30996,10.04956,10.57037,2.16700,6.66700,16.58300,0.0,38.20700,,,
1992,East,2434,9.26093,8.84354,9.67831,1.00000,4.25356,15.73031,0.0,37.82577,,,
1993,West,5589,10.41754,10.15717,10.67791,2.41700,6.91700,16.58300,0.0,37.83200,,,
1993,East,2263,7.69697,7.30430,8.08964,1.16700,2.50000,12.41700,0.0,29.29200,,,
1994,West,5329,10.58608,10.31736,10.85481,2.50000,6.83300,16.50000,0.0,37.50000,,,
1994,East,2218,7.73037,7.33859,8.12215,1.41700,3.08300,11.41700,0.0,26.41700,,,
1995,West,5630,10.24036,9.97849,10.50223,2.33300,6.33300,15.91700,0.0,36.29300,,,
1995,East,2210,7.54195,7.15232,7.93158,1.41700,3.41700,10.10900,0.0,23.14700,,,
1996,West,5498,10.22993,9.96645,10.49341,2.33300,6.58300,16.08300,0.0,36.70800,,,
1996,East,2140,7.48186,7.09973,7.86399,1.58300,4.00000,9.25000,0.0,20.75050,,,
1997,West,5313,10.22711,9.96129,10.49293,2.41700,6.83300,16.00000,0.0,36.37450,,,
1997,East,2069,7.48217,7.09848,7.86586,1.58300,4.41700,8.72367,0.0,19.43469,,,
1998,West,5952,10.42899,10.17496,10.68302,2.41700,7.25000,16.66700,0.0,38.04200,,,
1998,East,2161,7.53329,7.17307,7.89352,1.66700,4.91700,8.33871,0.0,18.34628,,,
1999,West,5876,10.16644,9.91117,10.42170,2.08300,6.91700,15.66700,0.0,36.04300,,,
1999,East,2168,7.48089,7.12284,7.83893,1.50000,4.83300,8.41700,0.0,18.79250,,,
2000,West,10538,10.25845,10.06577,10.45112,2.00000,7.00000,15.83300,0.0,36.58250,,,
2000,East,3200,7.51928,7.23148,7.80708,1.58300,5.08300,9.25000,0.0,20.75050,,,
2001,West,9591,10.18157,9.97996,10.38318,1.91700,6.75000,15.75000,0.0,36.49950,,,
2001,East,2967,7.69871,7.39756,7.99985,1.66700,5.25000,9.99562,0.0,22.48855,,,
