year,regtyp,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,West,5104,10.48079,10.20892,10.75266,2.66700,7.33300,15.50000,0.0,34.74950,7.333,6.83300,7.66700
1985,Rural regions,West,1326,11.11984,10.56593,11.67374,2.58300,7.66700,16.63065,0.0,37.70214,7.667,7.16700,8.66907
1986,Urban regions,West,4807,10.58385,10.30510,10.86260,2.50000,7.50000,15.91700,0.0,36.04250,7.5,7.08093,7.83300
1986,Rural regions,West,1273,10.90063,10.34442,11.45683,2.50000,7.60482,16.66700,0.0,37.91750,7.583,6.74583,8.41700
1987,Urban regions,West,4802,10.52776,10.24845,10.80706,2.41700,7.50000,16.00000,0.0,36.37450,7.5,7.16700,7.75000
1987,Rural regions,West,1299,10.93295,10.37544,11.49045,2.41700,7.58300,16.83300,0.0,38.45700,7.583,7.08093,8.50000
1988,Urban regions,West,4697,10.47326,10.18926,10.75725,2.16700,7.50000,16.16700,0.0,37.16700,7.5,7.08093,7.91700
1988,Rural regions,West,1215,11.16257,10.58281,11.74233,2.58300,8.10360,17.08300,0.0,38.83300,8.083,7.33300,8.83510
1989,Urban regions,West,4599,10.40800,10.12266,10.69335,2.33300,7.41700,16.41700,0.0,37.54300,7.417,6.91700,7.83300
1989,Rural regions,West,1161,11.17956,10.57672,11.78240,2.33300,8.41700,17.16700,0.0,39.41800,8.417,7.50000,9.00208
1990,Urban regions,West,4523,10.30676,10.01967,10.59384,2.16700,6.91700,16.58300,0.0,38.20700,6.917,6.33300,7.66700
1990,Urban regions,East,1143,12.26608,11.63406,12.89810,2.75000,9.75000,19.08300,0.0,43.58250,9.75,8.91490,10.75000
1990,Rural regions,West,1194,10.92282,10.32193,11.52371,1.91700,7.83300,17.18128,0.0,40.07771,7.833,6.58300,9.00000
1990,Rural regions,East,2198,12.72968,12.27198,13.18739,3.33300,9.91700,19.66700,0.0,44.16800,9.917,9.41700,10.75000
1991,Urban regions,West,4613,10.11299,9.82505,10.40093,1.91700,6.50000,16.33300,0.0,37.95700,6.5,5.91700,6.83510
1991,Urban regions,East,942,11.16763,10.47880,11.85646,1.58300,7.58300,17.70138,0.0,41.87895,7.583,6.50000,9.58300
1991,Rural regions,West,1230,10.67526,10.08267,11.26785,1.91700,6.99224,17.33300,0.0,40.45700,7.0,5.66700,8.33300
1991,Rural regions,East,1821,11.35622,10.84996,11.86248,1.58300,8.16700,18.25000,0.0,43.25050,8.167,7.16700,9.50208
1992,Urban regions,West,4447,10.29080,10.00126,10.58033,2.16700,6.75000,16.65460,0.0,38.38599,6.75,6.33300,7.33300
1992,Urban regions,East,834,8.70398,8.00716,9.40080,0.91700,3.41700,14.50000,0.0,34.87450,3.417,2.41700,4.58510
1992,Rural regions,West,1210,10.43926,9.84821,11.03030,1.91700,6.53184,16.50344,0.0,38.38310,6.583,5.58300,7.41700
1992,Rural regions,East,1529,9.71904,9.18214,10.25594,1.08300,4.90935,16.83300,0.0,40.45800,4.917,4.07885,6.08510
1993,Urban regions,West,4384,10.35218,10.06316,10.64119,2.41700,6.89715,16.58300,0.0,37.83200,6.917,6.33300,7.41700
1993,Urban regions,East,814,7.14586,6.51213,7.77960,1.16700,2.41700,10.21636,0.0,23.79041,2.417,2.16700,2.58300
1993,Rural regions,West,1205,10.64766,10.05557,11.23974,2.33300,6.91700,16.58300,0.0,37.95800,6.917,5.82885,7.66907
1993,Rural regions,East,1450,8.04244,7.54278,8.54210,1.08300,2.58300,12.83300,0.0,30.45800,2.583,2.41700,3.08300
1994,Urban regions,West,4170,10.53345,10.23307,10.83383,2.50000,6.83300,16.50840,0.0,37.52100,6.833,6.49792,7.41700
1994,Urban regions,East,796,6.93934,6.32933,7.54936,1.41700,2.91700,9.00000,0.0,20.37450,2.917,2.66700,3.08300
1994,Rural regions,West,1159,10.76916,10.17128,11.36704,2.50000,6.75000,16.50000,0.0,37.50000,6.75,6.00000,8.00000
1994,Rural regions,East,1422,8.23155,7.72379,8.73931,1.50000,3.16700,12.91700,0.0,30.04250,3.167,3.00000,3.41700
1995,Urban regions,West,4378,10.14862,9.85703,10.44020,2.33300,6.33300,15.75000,0.0,35.87550,6.333,5.91490,6.75208
1995,Urban regions,East,737,7.59296,6.92940,8.25653,1.91700,3.50000,10.03420,0.0,22.21001,3.5,3.24582,3.91700
