,Unnamed: 0,year,quintil_oecd,sex,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,1st Quintile,male,"Yes, happily",0.08725,51,10014,0.06533,0.11268
1,1,2009,1st Quintile,male,"Yes, depending on situation",0.34538,256,10014,0.30852,0.38659
2,2,2009,1st Quintile,male,Rather not,0.31323,222,10014,0.28249,0.34531
3,3,2009,1st Quintile,male,Never,0.25414,160,10014,0.23015,0.28594
4,4,2009,1st Quintile,female,"Yes, happily",0.06723,61,10014,0.05205,0.0835
5,5,2009,1st Quintile,female,"Yes, depending on situation",0.34332,306,10014,0.31233,0.38024
6,6,2009,1st Quintile,female,Rather not,0.31372,265,10014,0.28267,0.34626
7,7,2009,1st Quintile,female,Never,0.27573,225,10014,0.24287,0.30503
8,8,2009,2nd Quintile,male,"Yes, happily",0.06861,41,10014,0.05162,0.08786
9,9,2009,2nd Quintile,male,"Yes, depending on situation",0.32146,263,10014,0.28758,0.36747
10,10,2009,2nd Quintile,male,Rather not,0.32492,232,10014,0.28527,0.35815
11,11,2009,2nd Quintile,male,Never,0.285,163,10014,0.24673,0.32384
12,12,2009,2nd Quintile,female,"Yes, happily",0.07,49,10014,0.05394,0.08937
13,13,2009,2nd Quintile,female,"Yes, depending on situation",0.34213,304,10014,0.30946,0.38416
14,14,2009,2nd Quintile,female,Rather not,0.3382,283,10014,0.299,0.37655
15,15,2009,2nd Quintile,female,Never,0.24967,203,10014,0.2213,0.27722
16,16,2009,3rd Quintile,male,"Yes, happily",0.03402,41,10014,0.02646,0.04455
17,17,2009,3rd Quintile,male,"Yes, depending on situation",0.39957,398,10014,0.36277,0.44166
18,18,2009,3rd Quintile,male,Rather not,0.35985,281,10014,0.3197,0.39948
19,19,2009,3rd Quintile,male,Never,0.20656,175,10014,0.17883,0.24287
20,20,2009,3rd Quintile,female,"Yes, happily",0.04213,48,10014,0.03206,0.05029
21,21,2009,3rd Quintile,female,"Yes, depending on situation",0.365,377,10014,0.3277,0.4051
22,22,2009,3rd Quintile,female,Rather not,0.38197,323,10014,0.34403,0.42381
23,23,2009,3rd Quintile,female,Never,0.2109,173,10014,0.18157,0.24261
24,24,2009,4th Quintile,male,"Yes, happily",0.06114,63,10014,0.04889,0.07922
25,25,2009,4th Quintile,male,"Yes, depending on situation",0.4253,460,10014,0.38424,0.46204
26,26,2009,4th Quintile,male,Rather not,0.35312,390,10014,0.31808,0.3845
27,27,2009,4th Quintile,male,Never,0.16045,153,10014,0.13731,0.18288
28,28,2009,4th Quintile,female,"Yes, happily",0.05011,48,10014,0.03382,0.06632
29,29,2009,4th Quintile,female,"Yes, depending on situation",0.37998,398,10014,0.35131,0.41258
30,30,2009,4th Quintile,female,Rather not,0.37327,377,10014,0.33242,0.41708
31,31,2009,4th Quintile,female,Never,0.19663,189,10014,0.17235,0.2228
32,32,2009,5th Quintile,male,"Yes, happily",0.0537,112,10014,0.04426,0.06515
33,33,2009,5th Quintile,male,"Yes, depending on situation",0.40524,662,10014,0.36735,0.43867
34,34,2009,5th Quintile,male,Rather not,0.38605,535,10014,0.35355,0.42237
35,35,2009,5th Quintile,male,Never,0.15501,219,10014,0.13375,0.18056
36,36,2009,5th Quintile,female,"Yes, happily",0.05863,82,10014,0.0455,0.07394
37,37,2009,5th Quintile,female,"Yes, depending on situation",0.37885,626,10014,0.34395,0.41422
38,38,2009,5th Quintile,female,Rather not,0.4072,581,10014,0.37373,0.44786
39,39,2009,5th Quintile,female,Never,0.15532,219,10014,0.13272,0.1732
40,40,2014,1st Quintile,male,"Yes, happily",0.06325,136,26474,0.05001,0.0766
41,41,2014,1st Quintile,male,"Yes, depending on situation",0.27238,611,26474,0.24379,0.29921
42,42,2014,1st Quintile,male,Rather not,0.23157,549,26474,0.2088,0.25388
43,43,2014,1st Quintile,male,Never,0.4328,1022,26474,0.40779,0.46226
44,44,2014,1st Quintile,female,"Yes, happily",0.05476,195,26474,0.04736,0.06327
45,45,2014,1st Quintile,female,"Yes, depending on situation",0.21388,733,26474,0.19555,0.23321
46,46,2014,1st Quintile,female,Rather not,0.23373,855,26474,0.21172,0.25697
47,47,2014,1st Quintile,female,Never,0.49763,1565,26474,0.47072,0.5257
48,48,2014,2nd Quintile,male,"Yes, happily",0.03576,115,26474,0.02948,0.04517
49,49,2014,2nd Quintile,male,"Yes, depending on situation",0.26573,624,26474,0.23894,0.29394
50,50,2014,2nd Quintile,male,Rather not,0.26378,627,26474,0.23377,0.29157
51,51,2014,2nd Quintile,male,Never,0.43473,1049,26474,0.40976,0.46105
52,52,2014,2nd Quintile,female,"Yes, happily",0.03366,122,26474,0.02562,0.04147
53,53,2014,2nd Quintile,female,"Yes, depending on situation",0.2105,677,26474,0.18926,0.23403
54,54,2014,2nd Quintile,female,Rather not,0.25443,802,26474,0.23457,0.27615
55,55,2014,2nd Quintile,female,Never,0.50142,1360,26474,0.47953,0.52981
56,56,2014,3rd Quintile,male,"Yes, happily",0.04398,109,26474,0.03541,0.05491
57,57,2014,3rd Quintile,male,"Yes, depending on situation",0.27018,648,26474,0.24614,0.30069
58,58,2014,3rd Quintile,male,Rather not,0.29814,667,26474,0.26868,0.32238
59,59,2014,3rd Quintile,male,Never,0.3877,915,26474,0.35675,0.41278
60,60,2014,3rd Quintile,female,"Yes, happily",0.05279,131,26474,0.04177,0.06369
61,61,2014,3rd Quintile,female,"Yes, depending on situation",0.22411,690,26474,0.20587,0.2439
62,62,2014,3rd Quintile,female,Rather not,0.30507,796,26474,0.28254,0.32548
63,63,2014,3rd Quintile,female,Never,0.41803,1116,26474,0.39316,0.44483
64,64,2014,4th Quintile,male,"Yes, happily",0.04369,114,26474,0.03588,0.05271
65,65,2014,4th Quintile,male,"Yes, depending on situation",0.30445,721,26474,0.27596,0.33163
66,66,2014,4th Quintile,male,Rather not,0.3056,728,26474,0.28283,0.33183
67,67,2014,4th Quintile,male,Never,0.34626,851,26474,0.32117,0.37402
68,68,2014,4th Quintile,female,"Yes, happily",0.04402,132,26474,0.03602,0.05118
69,69,2014,4th Quintile,female,"Yes, depending on situation",0.2696,726,26474,0.25051,0.29276
70,70,2014,4th Quintile,female,Rather not,0.3128,804,26474,0.28842,0.33582
71,71,2014,4th Quintile,female,Never,0.37358,981,26474,0.34937,0.3934
72,72,2014,5th Quintile,male,"Yes, happily",0.05818,153,26474,0.04701,0.0726
73,73,2014,5th Quintile,male,"Yes, depending on situation",0.34445,918,26474,0.32348,0.36872
74,74,2014,5th Quintile,male,Rather not,0.3014,837,26474,0.27902,0.32511
75,75,2014,5th Quintile,male,Never,0.29597,755,26474,0.27484,0.31663
76,76,2014,5th Quintile,female,"Yes, happily",0.05136,145,26474,0.04176,0.06031
