,Unnamed: 0,year,quintil_oecd,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,1st Quintile,"Yes, happily",0.07666,112,10014,0.06285,0.09049
1,1,2009,1st Quintile,"Yes, depending on situation",0.34429,562,10014,0.3185,0.36777
2,2,2009,1st Quintile,Rather not,0.31349,487,10014,0.29362,0.33319
3,3,2009,1st Quintile,Never,0.26557,385,10014,0.24371,0.28417
4,4,2009,2nd Quintile,"Yes, happily",0.06935,90,10014,0.05772,0.08333
5,5,2009,2nd Quintile,"Yes, depending on situation",0.33244,567,10014,0.30656,0.36353
6,6,2009,2nd Quintile,Rather not,0.33198,515,10014,0.30704,0.35397
7,7,2009,2nd Quintile,Never,0.26623,366,10014,0.24273,0.29902
8,8,2009,3rd Quintile,"Yes, happily",0.03805,89,10014,0.03178,0.04532
9,9,2009,3rd Quintile,"Yes, depending on situation",0.38239,775,10014,0.35324,0.41313
10,10,2009,3rd Quintile,Rather not,0.37084,604,10014,0.34186,0.39955
11,11,2009,3rd Quintile,Never,0.20872,348,10014,0.18454,0.22876
12,12,2009,4th Quintile,"Yes, happily",0.05611,111,10014,0.04614,0.06495
13,13,2009,4th Quintile,"Yes, depending on situation",0.40465,858,10014,0.37628,0.43132
14,14,2009,4th Quintile,Rather not,0.3623,767,10014,0.33523,0.3844
15,15,2009,4th Quintile,Never,0.17694,342,10014,0.15645,0.19618
16,16,2009,5th Quintile,"Yes, happily",0.05595,194,10014,0.04846,0.06368
17,17,2009,5th Quintile,"Yes, depending on situation",0.39317,1288,10014,0.36746,0.42131
18,18,2009,5th Quintile,Rather not,0.39572,1116,10014,0.37242,0.42264
19,19,2009,5th Quintile,Never,0.15515,438,10014,0.13821,0.17182
20,20,2014,1st Quintile,"Yes, happily",0.05853,331,26474,0.05092,0.06725
21,21,2014,1st Quintile,"Yes, depending on situation",0.23981,1344,26474,0.22172,0.25725
22,22,2014,1st Quintile,Rather not,0.23277,1404,26474,0.21507,0.25044
23,23,2014,1st Quintile,Never,0.46888,2587,26474,0.45022,0.48766
24,24,2014,2nd Quintile,"Yes, happily",0.03464,237,26474,0.02981,0.04101
25,25,2014,2nd Quintile,"Yes, depending on situation",0.23622,1301,26474,0.21977,0.25215
26,26,2014,2nd Quintile,Rather not,0.25878,1429,26474,0.24117,0.27682
27,27,2014,2nd Quintile,Never,0.47036,2409,26474,0.45047,0.48977
28,28,2014,3rd Quintile,"Yes, happily",0.04851,240,26474,0.04068,0.05645
29,29,2014,3rd Quintile,"Yes, depending on situation",0.24648,1338,26474,0.2327,0.26497
30,30,2014,3rd Quintile,Rather not,0.3017,1463,26474,0.28518,0.31899
31,31,2014,3rd Quintile,Never,0.40331,2031,26474,0.38376,0.42473
32,32,2014,4th Quintile,"Yes, happily",0.04385,246,26474,0.03833,0.04982
33,33,2014,4th Quintile,"Yes, depending on situation",0.28734,1447,26474,0.26907,0.30446
34,34,2014,4th Quintile,Rather not,0.30914,1532,26474,0.29115,0.32669
35,35,2014,4th Quintile,Never,0.35967,1832,26474,0.34552,0.37822
36,36,2014,5th Quintile,"Yes, happily",0.05499,298,26474,0.04777,0.06415
37,37,2014,5th Quintile,"Yes, depending on situation",0.33606,1813,26474,0.31874,0.35345
38,38,2014,5th Quintile,Rather not,0.29977,1644,26474,0.28053,0.31827
39,39,2014,5th Quintile,Never,0.30918,1548,26474,0.29122,0.32428
40,40,2019,1st Quintile,"Yes, happily",0.06862,299,22195,0.05892,0.07857
41,41,2019,1st Quintile,"Yes, depending on situation",0.23675,996,22195,0.21685,0.25591
42,42,2019,1st Quintile,Rather not,0.24943,1051,22195,0.23063,0.26626
43,43,2019,1st Quintile,Never,0.4452,1923,22195,0.42115,0.46762
44,44,2019,2nd Quintile,"Yes, happily",0.05285,239,22195,0.04596,0.06263
45,45,2019,2nd Quintile,"Yes, depending on situation",0.20636,1073,22195,0.19188,0.2218
46,46,2019,2nd Quintile,Rather not,0.27279,1242,22195,0.25403,0.29092
47,47,2019,2nd Quintile,Never,0.46799,2101,22195,0.44563,0.49142
48,48,2019,3rd Quintile,"Yes, happily",0.04716,211,22195,0.03913,0.05669
49,49,2019,3rd Quintile,"Yes, depending on situation",0.25384,1168,22195,0.23668,0.27213
50,50,2019,3rd Quintile,Rather not,0.28794,1279,22195,0.26873,0.30299
51,51,2019,3rd Quintile,Never,0.41107,1761,22195,0.38828,0.43404
52,52,2019,4th Quintile,"Yes, happily",0.05519,205,22195,0.04658,0.0639
53,53,2019,4th Quintile,"Yes, depending on situation",0.27587,1235,22195,0.26102,0.29527
54,54,2019,4th Quintile,Rather not,0.30806,1271,22195,0.28984,0.33065
55,55,2019,4th Quintile,Never,0.36088,1470,22195,0.34033,0.38405
56,56,2019,5th Quintile,"Yes, happily",0.06664,275,22195,0.05689,0.07672
57,57,2019,5th Quintile,"Yes, depending on situation",0.30403,1526,22195,0.2863,0.32113
58,58,2019,5th Quintile,Rather not,0.32672,1514,22195,0.30893,0.34372
59,59,2019,5th Quintile,Never,0.30261,1356,22195,0.28517,0.32057
