,Unnamed: 0,year,bula_h,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,"Yes, depending on situation",0.39362,91,9838,0.31492,0.47137
1,1,2009,Schleswig-Holstein,Rather not,0.40985,87,9838,0.34884,0.47815
2,2,2009,Schleswig-Holstein,Never,0.19653,36,9838,0.15186,0.24671
3,3,2009,Hamburg,"Yes, depending on situation",0.4259,77,9838,0.34932,0.54916
4,4,2009,Hamburg,Rather not,0.5741,72,9838,0.45765,0.68183
5,5,2009,Lower Saxony,"Yes, happily",0.05452,57,9838,0.04013,0.07662
6,6,2009,Lower Saxony,"Yes, depending on situation",0.39525,395,9838,0.36165,0.43559
7,7,2009,Lower Saxony,Rather not,0.36235,328,9838,0.33263,0.39752
8,8,2009,Lower Saxony,Never,0.18788,182,9838,0.16327,0.21647
9,9,2009,Bremen,"Yes, depending on situation",1.0,35,9838,0.748,1.40979
10,10,2009,North Rhine-Westphalia,"Yes, happily",0.04485,80,9838,0.03602,0.05537
11,11,2009,North Rhine-Westphalia,"Yes, depending on situation",0.35634,735,9838,0.32976,0.38348
12,12,2009,North Rhine-Westphalia,Rather not,0.3428,680,9838,0.31717,0.36631
13,13,2009,North Rhine-Westphalia,Never,0.25601,485,9838,0.23646,0.27624
14,14,2009,Hesse,"Yes, happily",0.03813,35,9838,0.0286,0.04908
15,15,2009,Hesse,"Yes, depending on situation",0.35452,301,9838,0.3211,0.3985
16,16,2009,Hesse,Rather not,0.36395,290,9838,0.32941,0.40682
17,17,2009,Hesse,Never,0.2434,166,9838,0.21317,0.27814
18,18,2009,"Rhineland-Palatinate, Saarland","Yes, depending on situation",0.34928,200,9838,0.30871,0.39369
19,19,2009,"Rhineland-Palatinate, Saarland",Rather not,0.39322,214,9838,0.34609,0.44875
20,20,2009,"Rhineland-Palatinate, Saarland",Never,0.2575,136,9838,0.22038,0.29875
21,21,2009,Baden-Wuerttemberg,"Yes, happily",0.03595,48,9838,0.02657,0.04696
22,22,2009,Baden-Wuerttemberg,"Yes, depending on situation",0.303,377,9838,0.27118,0.33445
23,23,2009,Baden-Wuerttemberg,Rather not,0.40619,464,9838,0.36835,0.44312
24,24,2009,Baden-Wuerttemberg,Never,0.25487,277,9838,0.22652,0.28936
25,25,2009,Bavaria,"Yes, happily",0.04349,62,9838,0.03453,0.05493
26,26,2009,Bavaria,"Yes, depending on situation",0.24776,388,9838,0.22354,0.27392
27,27,2009,Bavaria,Rather not,0.42764,587,9838,0.39688,0.46449
28,28,2009,Bavaria,Never,0.2811,371,9838,0.2518,0.30957
29,29,2009,Berlin,"Yes, happily",0.10131,43,9838,0.07938,0.13757
30,30,2009,Berlin,"Yes, depending on situation",0.4902,238,9838,0.43682,0.55324
31,31,2009,Berlin,Rather not,0.29335,132,9838,0.24954,0.33562
32,32,2009,Berlin,Never,0.11514,44,9838,0.08711,0.14764
33,33,2009,Brandenburg,"Yes, happily",0.12336,52,9838,0.09711,0.16207
34,34,2009,Brandenburg,"Yes, depending on situation",0.60133,257,9838,0.51871,0.69548
