year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1994,Urban regions,female,4371,1.6832938371986006,1.6276897535005859,1.7388979208966153,0.0,0.0,1.0777586030951434,0.0,2.694396507737858,0.0,0.0,0.0
1994,Rural regions,male,2131,0.43402174847483066,0.41107466651001817,0.45696883043964315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Rural regions,female,2281,1.5610312473405619,1.4949907840997367,1.627071710581387,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1995,Urban regions,male,4196,0.47233089092605535,0.4515955465324815,0.4930662353196292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Urban regions,female,4518,1.7388904425433713,1.6822210108379625,1.7955598742487802,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1995,Rural regions,male,2214,0.42088242809870435,0.3986308499936627,0.443134006203746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Rural regions,female,2354,1.7639311108409144,1.6899306588035643,1.8379315628782644,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1996,Urban regions,male,4093,0.5046725161427589,0.48531815237743914,0.5240268799080786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Urban regions,female,4425,1.9227925408792677,1.8597706041036877,1.9858144776548476,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1996,Rural regions,male,2197,0.49902642602534764,0.4694227174155372,0.5286301346351581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Rural regions,female,2326,1.773490081631191,1.6981145782377398,1.848865585024642,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1997,Urban regions,male,4047,0.4401612997184889,0.4209938899658032,0.45932870947117455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Urban regions,female,4317,1.8153805013633595,1.754239199774793,1.876521802951926,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
