year,bula_h,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1986,Bayern,Laendlicher Raum,1.0169975750743938,0.9417948739673626,1.0922002761814251,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,827.0
1986,Berlin,Staedtischer Raum,0.6800408400821892,0.5705366171430108,0.7895450630213676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0
1987,Schleswig-Holstein,Staedtischer Raum,1.291404198819285,1.0362146348168764,1.5465937628216937,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,148.0
1987,Schleswig-Holstein,Laendlicher Raum,0.9631131169163437,0.7896012779942034,1.136624955838484,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,171.0
1987,Hamburg,Staedtischer Raum,0.5898348633366146,0.4628088761238106,0.7168608505494186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
1987,Hamburg,Laendlicher Raum,,,,,,,,,,,,
1987,Niedersachsen,Staedtischer Raum,0.7813786114611591,0.689413591129098,0.8733436317932202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0
1987,Niedersachsen,Laendlicher Raum,0.9339695347108564,0.8359925430811377,1.0319465263405752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0
1987,Bremen,Staedtischer Raum,0.7211127265628033,0.4662718050665312,0.9759536480590755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1987,Nordrhein-Westfalen,Staedtischer Raum,0.8966734557993228,0.8529884660020342,0.9403584455966114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2689.0
1987,Nordrhein-Westfalen,Laendlicher Raum,1.0502027957462823,0.7367866822322395,1.363618909260325,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,68.0
1987,Hessen,Staedtischer Raum,1.1152266715205983,1.0313409050056632,1.1991124380355334,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,889.0
1987,Hessen,Laendlicher Raum,0.7889725446884912,0.5524877538490917,1.0254573355278906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0
1987,"Rheinland-Pfalz,Saarland",Staedtischer Raum,0.8318516716478552,0.7512819204964192,0.9124214227992913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0
1987,"Rheinland-Pfalz,Saarland",Laendlicher Raum,0.8686393940222041,0.6462258779058169,1.0910529101385915,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,144.0
1987,Baden-Wuerttemberg,Staedtischer Raum,1.0077399150920585,0.9482475361965098,1.067232293987607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638.0
1987,Baden-Wuerttemberg,Laendlicher Raum,1.001288128662446,0.8630818696336338,1.1394943876912582,0.0,0.0,0.19663926342094296,0.0,0.4915981585523574,0.0,0.0,0.0,284.0
1987,Bayern,Staedtischer Raum,0.6687822182357631,0.6051936388930975,0.7323707975784287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0
1987,Bayern,Laendlicher Raum,1.1850795954008482,1.08797724246963,1.2821819483320664,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,795.0
1987,Berlin,Staedtischer Raum,0.7116529457985111,0.5945838905482788,0.8287220010487435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0
1988,Schleswig-Holstein,Staedtischer Raum,0.8845860229612345,0.6855337596225182,1.0836382862999507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0
1988,Schleswig-Holstein,Laendlicher Raum,1.0120364721908015,0.8343848452903795,1.1896880990912235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0
1988,Hamburg,Staedtischer Raum,0.6387902545588141,0.45630951347368987,0.8212709956439384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0
1988,Hamburg,Laendlicher Raum,,,,,,,,,,,,
1988,Niedersachsen,Staedtischer Raum,0.709714958822631,0.6203418422999628,0.7990880753452992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0
1988,Niedersachsen,Laendlicher Raum,1.0707129812485106,0.9592810576970714,1.1821449047999497,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,518.0
1988,Bremen,Staedtischer Raum,0.6149603645879451,0.4288056910160737,0.8011150381598166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
1988,Nordrhein-Westfalen,Staedtischer Raum,0.9717297433274273,0.9233422860948151,1.0201172005600396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2554.0
1988,Nordrhein-Westfalen,Laendlicher Raum,0.9341861179005857,0.6967385227712534,1.1716337130299181,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,69.0
1988,Hessen,Staedtischer Raum,1.1038404728112783,1.0169183275769154,1.1907626180456412,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,848.0
1988,Hessen,Laendlicher Raum,0.46972962191800893,0.35023237344411495,0.5892268703919029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0
1988,"Rheinland-Pfalz,Saarland",Staedtischer Raum,0.9212690424568808,0.8340316625952138,1.0085064223185478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0
1988,"Rheinland-Pfalz,Saarland",Laendlicher Raum,0.4524558064474758,0.357925270322144,0.5469863425728076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
1988,Baden-Wuerttemberg,Staedtischer Raum,1.0592458125485842,0.9951118221615431,1.1233798029356252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0
1988,Baden-Wuerttemberg,Laendlicher Raum,0.8729688319055443,0.7560159660791157,0.9899216977319729,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,247.0
1988,Bayern,Staedtischer Raum,0.6931333142713613,0.6232751657177845,0.762991462824938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0
1988,Bayern,Laendlicher Raum,1.209677393234647,1.1189197316477786,1.3004350548215153,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,756.0
1988,Berlin,Staedtischer Raum,0.6228920327723785,0.5128977539826363,0.7328863115621207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0
1989,Schleswig-Holstein,Staedtischer Raum,1.1561411078352222,0.9136356684401976,1.3986465472302467,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,146.0
1989,Schleswig-Holstein,Laendlicher Raum,1.281266739407543,1.0097437682612374,1.5527897105538486,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,152.0
1989,Hamburg,Staedtischer Raum,0.5152046055908204,0.39056670299132157,0.6398425081903192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0
1989,Niedersachsen,Staedtischer Raum,0.870469605986795,0.7606353190913168,0.9803038928822733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0
1989,Niedersachsen,Laendlicher Raum,0.8867881005980001,0.7879221112943885,0.9856540899016116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0
1989,Bremen,Staedtischer Raum,1.1303107710149842,0.8179958447657567,1.4426256972642117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
