year,quintil_oecd_hh,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Owner,No,0.93182,292,292,0.90286,0.96078
2009,1st Quintile,Tenant,No,0.96117,1449,1449,0.95122,0.97112
2009,2nd Quintile,Owner,No,0.94207,662,662,0.92426,0.95988
2009,2nd Quintile,Tenant,No,0.96539,1161,1161,0.95488,0.97591
2009,3rd Quintile,Owner,No,0.93421,954,954,0.91846,0.94995
2009,3rd Quintile,Tenant,No,0.96793,919,919,0.95653,0.97933
2009,4th Quintile,Owner,Yes,0.03256,45,1225,0.02262,0.04251
2009,4th Quintile,Owner,No,0.91718,1180,1225,0.90174,0.93262
2009,4th Quintile,Tenant,No,0.95235,775,775,0.93734,0.96735
2009,5th Quintile,Owner,Yes,0.04458,93,1750,0.03491,0.05425
2009,5th Quintile,Owner,No,0.91147,1657,1750,0.89815,0.92478
2009,5th Quintile,Tenant,No,0.96042,658,658,0.94551,0.97533
2010,1st Quintile,Owner,No,0.98758,449,449,0.97732,0.99784
2010,1st Quintile,Tenant,No,0.97712,2650,2650,0.97143,0.98282
2010,2nd Quintile,Owner,Yes,0.02077,47,1112,0.01239,0.02916
2010,2nd Quintile,Owner,No,0.97677,1065,1112,0.96792,0.98563
2010,2nd Quintile,Tenant,No,0.98118,1780,1780,0.97486,0.98749
2010,3rd Quintile,Owner,Yes,0.01936,67,1325,0.01194,0.02678
2010,3rd Quintile,Owner,No,0.96965,1258,1325,0.96041,0.97889
2010,3rd Quintile,Tenant,No,0.98309,1203,1203,0.97580,0.99038
2010,4th Quintile,Owner,Yes,0.04038,85,1487,0.03038,0.05039
2010,4th Quintile,Owner,No,0.94784,1402,1487,0.93653,0.95914
2010,4th Quintile,Tenant,No,0.96082,933,933,0.94836,0.97327
2010,5th Quintile,Owner,Yes,0.05470,114,1904,0.04448,0.06492
2010,5th Quintile,Owner,No,0.91948,1790,1904,0.90725,0.93170
2010,5th Quintile,Tenant,No,0.98169,772,772,0.97223,0.99115
2011,1st Quintile,Owner,No,0.97865,566,566,0.96674,0.99057
2011,1st Quintile,Tenant,No,0.98309,3082,3082,0.97853,0.98764
2011,2nd Quintile,Owner,Yes,0.02096,50,1300,0.01317,0.02875
2011,2nd Quintile,Owner,No,0.97459,1250,1300,0.96603,0.98314
2011,2nd Quintile,Tenant,No,0.98994,2091,2091,0.98566,0.99421
2011,3rd Quintile,Owner,Yes,0.03343,87,1656,0.02477,0.04210
2011,3rd Quintile,Owner,No,0.96496,1569,1656,0.95610,0.97382
2011,3rd Quintile,Tenant,No,0.98804,1542,1542,0.98261,0.99346
2011,4th Quintile,Owner,Yes,0.05614,142,1869,0.04570,0.06658
2011,4th Quintile,Owner,No,0.93905,1727,1869,0.92820,0.94990
2011,4th Quintile,Tenant,No,0.99347,1174,1174,0.98886,0.99808
2011,5th Quintile,Owner,Yes,0.06096,152,2284,0.05114,0.07077
2011,5th Quintile,Owner,No,0.93005,2132,2284,0.91959,0.94052
2011,5th Quintile,Tenant,No,0.97356,873,873,0.96292,0.98421
2012,1st Quintile,Owner,No,0.97825,513,513,0.96562,0.99089
2012,1st Quintile,Tenant,No,0.98487,3037,3037,0.98053,0.98922
2012,2nd Quintile,Owner,Yes,0.03646,61,1220,0.02593,0.04698
2012,2nd Quintile,Owner,No,0.96354,1159,1220,0.95302,0.97407
