year,rentown,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Owner,West,Yes,0.02993,137,3869,0.02456,0.03530
2009,Owner,West,No,0.92279,3732,3869,0.91438,0.93120
2009,Owner,East,Yes,0.03215,44,1058,0.02152,0.04279
2009,Owner,East,No,0.93156,1014,1058,0.91634,0.94678
2009,Tenant,West,No,0.96409,3542,3542,0.95796,0.97022
2009,Tenant,East,No,0.95455,1423,1423,0.94373,0.96538
2010,Owner,West,Yes,0.03355,252,5052,0.02859,0.03852
2010,Owner,West,No,0.95280,4800,5052,0.94695,0.95865
2010,Owner,East,Yes,0.04001,68,1232,0.02906,0.05096
2010,Owner,East,No,0.94652,1164,1232,0.93395,0.95909
2010,Tenant,West,Yes,0.00573,59,5508,0.00374,0.00773
2010,Tenant,West,No,0.97750,5449,5508,0.97359,0.98142
2010,Tenant,East,No,0.97634,1893,1893,0.96949,0.98318
2011,Owner,West,Yes,0.04507,381,6285,0.03994,0.05020
2011,Owner,West,No,0.94958,5904,6285,0.94416,0.95499
2011,Owner,East,Yes,0.03821,68,1408,0.02820,0.04823
2011,Owner,East,No,0.95646,1340,1408,0.94579,0.96712
2011,Tenant,West,Yes,0.00712,74,6532,0.00508,0.00916
2011,Tenant,West,No,0.98741,6458,6532,0.98470,0.99011
2011,Tenant,East,No,0.98148,2307,2307,0.97598,0.98698
2012,Owner,West,Yes,0.04795,375,6205,0.04263,0.05326
2012,Owner,West,No,0.94821,5830,6205,0.94270,0.95373
2012,Owner,East,Yes,0.05367,79,1376,0.04176,0.06558
2012,Owner,East,No,0.94358,1297,1376,0.93138,0.95578
2012,Tenant,West,Yes,0.00888,72,6364,0.00658,0.01119
2012,Tenant,West,No,0.98758,6292,6364,0.98486,0.99030
2012,Tenant,East,No,0.99064,2316,2316,0.98672,0.99457
2013,Owner,West,Yes,0.04691,409,6369,0.04172,0.05211
2013,Owner,West,No,0.95254,5960,6369,0.94732,0.95776
2013,Owner,East,Yes,0.05420,76,1337,0.04206,0.06634
2013,Owner,East,No,0.94580,1261,1337,0.93366,0.95794
2013,Tenant,West,Yes,0.01046,75,7836,0.00820,0.01271
2013,Tenant,West,No,0.98821,7761,7836,0.98582,0.99060
2013,Tenant,East,No,0.99518,2309,2309,0.99235,0.99800
2014,Owner,West,Yes,0.05667,419,5817,0.05073,0.06261
2014,Owner,West,No,0.94246,5398,5817,0.93647,0.94844
2014,Owner,East,Yes,0.05514,76,1231,0.04239,0.06790
2014,Owner,East,No,0.94304,1155,1231,0.93009,0.95599
2014,Tenant,West,Yes,0.01544,92,6620,0.01247,0.01841
2014,Tenant,West,No,0.98232,6528,6620,0.97915,0.98550
2014,Tenant,East,No,0.98992,2131,2131,0.98568,0.99416
2015,Owner,West,Yes,0.04645,378,5540,0.04091,0.05199
2015,Owner,West,No,0.95331,5162,5540,0.94776,0.95887
2015,Owner,East,Yes,0.05818,77,1193,0.04489,0.07147
2015,Owner,East,No,0.93940,1116,1193,0.92585,0.95294
2015,Tenant,West,Yes,0.01646,91,6922,0.01346,0.01946
2015,Tenant,West,No,0.97926,6831,6922,0.97591,0.98262
2015,Tenant,East,No,0.98840,2060,2060,0.98377,0.99302
2016,Owner,West,Yes,0.05663,363,5144,0.05032,0.06295
2016,Owner,West,No,0.94322,4781,5144,0.93690,0.94955
2016,Owner,East,Yes,0.07500,76,1156,0.05981,0.09019
2016,Owner,East,No,0.92500,1080,1156,0.90981,0.94019
2016,Tenant,West,Yes,0.01212,81,6072,0.00937,0.01487
2016,Tenant,West,No,0.98451,5991,6072,0.98140,0.98761
2016,Tenant,East,No,0.99107,1902,1902,0.98684,0.99530
2017,Owner,West,Yes,0.06091,438,5746,0.05473,0.06709
2017,Owner,West,No,0.93835,5308,5746,0.93213,0.94457
2017,Owner,East,Yes,0.06301,88,1312,0.04986,0.07616
2017,Owner,East,No,0.93182,1224,1312,0.91818,0.94547
2017,Tenant,West,Yes,0.01851,119,6490,0.01523,0.02178
2017,Tenant,West,No,0.96911,6371,6490,0.96490,0.97332
2017,Tenant,East,No,0.98194,2083,2083,0.97622,0.98766
2018,Owner,West,Yes,0.06505,427,5494,0.05853,0.07158
2018,Owner,West,No,0.93346,5067,5494,0.92687,0.94005
2018,Owner,East,Yes,0.07052,88,1253,0.05634,0.08470
2018,Owner,East,No,0.92934,1165,1253,0.91515,0.94354
2018,Tenant,West,Yes,0.01699,108,6502,0.01385,0.02013
2018,Tenant,West,No,0.96451,6394,6502,0.96002,0.96901
2018,Tenant,East,No,0.97289,2148,2148,0.96603,0.97976
2019,Owner,West,Yes,0.05434,370,4816,0.04794,0.06075
2019,Owner,West,No,0.88564,4446,4816,0.87665,0.89463
2019,Owner,East,Yes,0.07036,80,1118,0.05536,0.08535
2019,Owner,East,No,0.85776,1038,1118,0.83728,0.87825
2019,Tenant,West,Yes,0.01608,93,4945,0.01258,0.01959
2019,Tenant,West,No,0.82569,4852,4945,0.81511,0.83627
2019,Tenant,East,No,0.87283,1708,1708,0.85702,0.88863
