year,bula_h,quintil_oecd_hh,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,1st Quintile,No,0.94941,57,57,0.89201,1.00681
2009,Schleswig-Holstein,2nd Quintile,No,0.95731,41,41,0.89467,1.01996
2009,Schleswig-Holstein,3rd Quintile,No,0.99322,69,69,0.97372,1.01272
2009,Schleswig-Holstein,4th Quintile,No,0.94402,57,57,0.88380,1.00423
2009,Schleswig-Holstein,5th Quintile,No,0.89099,67,67,0.81580,0.96618
2009,Hamburg,4th Quintile,No,0.93921,31,31,0.85371,1.02472
2009,Hamburg,5th Quintile,No,0.96496,54,54,0.91545,1.01447
2009,Lower Saxony,1st Quintile,No,0.91156,144,144,0.86502,0.95809
2009,Lower Saxony,2nd Quintile,No,0.95306,149,149,0.91898,0.98713
2009,Lower Saxony,3rd Quintile,No,0.94751,155,155,0.91229,0.98273
2009,Lower Saxony,4th Quintile,No,0.92066,199,199,0.88301,0.95830
2009,Lower Saxony,5th Quintile,No,0.92331,219,219,0.88798,0.95863
2009,North Rhine-Westphalia,1st Quintile,No,0.95366,355,355,0.93176,0.97556
2009,North Rhine-Westphalia,2nd Quintile,No,0.97677,346,346,0.96087,0.99266
2009,North Rhine-Westphalia,3rd Quintile,No,0.95488,335,335,0.93262,0.97714
2009,North Rhine-Westphalia,4th Quintile,No,0.93044,392,392,0.90522,0.95566
2009,North Rhine-Westphalia,5th Quintile,No,0.94498,529,529,0.92554,0.96443
2009,Hesse,1st Quintile,No,0.93710,101,101,0.88951,0.98468
2009,Hesse,2nd Quintile,No,0.95433,93,93,0.91166,0.99699
2009,Hesse,3rd Quintile,No,0.90751,122,122,0.85589,0.95914
2009,Hesse,4th Quintile,No,0.93731,134,134,0.89611,0.97851
2009,Hesse,5th Quintile,No,0.95243,215,215,0.92392,0.98095
2009,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.94015,96,96,0.89245,0.98785
2009,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.94400,102,102,0.89916,0.98884
2009,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.96056,105,105,0.92315,0.99797
2009,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.95682,127,127,0.92133,0.99231
2009,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.91578,128,128,0.86748,0.96408
2009,Baden-Wuerttemberg,1st Quintile,No,0.98315,145,145,0.96212,1.00417
2009,Baden-Wuerttemberg,2nd Quintile,No,0.96420,163,163,0.93558,0.99281
2009,Baden-Wuerttemberg,3rd Quintile,No,0.95713,202,202,0.92912,0.98513
2009,Baden-Wuerttemberg,4th Quintile,No,0.91348,256,256,0.87897,0.94799
2009,Baden-Wuerttemberg,5th Quintile,No,0.91891,327,327,0.88927,0.94854
2009,Bavaria,1st Quintile,No,0.95397,188,188,0.92394,0.98400
2009,Bavaria,2nd Quintile,No,0.93510,243,243,0.90406,0.96614
2009,Bavaria,3rd Quintile,No,0.94123,237,237,0.91123,0.97124
