year,quintil_oecd_hh,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,West,No,0.95220,1172,1172,0.93998,0.96442
2009,1st Quintile,East,No,0.96809,569,569,0.95363,0.98254
2009,2nd Quintile,West,No,0.95865,1223,1223,0.94749,0.96982
2009,2nd Quintile,East,No,0.95342,600,600,0.93654,0.97030
2009,3rd Quintile,West,No,0.95084,1300,1300,0.93909,0.96260
2009,3rd Quintile,East,No,0.95467,573,573,0.93762,0.97171
2009,4th Quintile,West,Yes,0.02350,38,1596,0.01607,0.03094
2009,4th Quintile,West,No,0.93433,1558,1596,0.92218,0.94649
2009,4th Quintile,East,No,0.92188,397,397,0.89545,0.94831
2009,5th Quintile,West,Yes,0.03177,81,2098,0.02426,0.03928
2009,5th Quintile,West,No,0.93146,2017,2098,0.92065,0.94228
2009,5th Quintile,East,No,0.88461,298,298,0.84827,0.92094
2010,1st Quintile,West,No,0.97863,2245,2245,0.97265,0.98461
2010,1st Quintile,East,No,0.97977,854,854,0.97032,0.98922
2010,2nd Quintile,West,Yes,0.01020,47,2052,0.00585,0.01455
2010,2nd Quintile,West,No,0.98321,2005,2052,0.97765,0.98877
2010,2nd Quintile,East,No,0.96858,840,840,0.95677,0.98038
2010,3rd Quintile,West,Yes,0.01313,68,1895,0.00801,0.01826
2010,3rd Quintile,West,No,0.97666,1827,1895,0.96986,0.98346
2010,3rd Quintile,East,No,0.97570,634,634,0.96371,0.98770
2010,4th Quintile,West,Yes,0.02630,79,1974,0.01924,0.03336
2010,4th Quintile,West,No,0.95503,1895,1974,0.94589,0.96417
2010,4th Quintile,East,No,0.94351,440,440,0.92192,0.96511
2010,5th Quintile,West,Yes,0.03574,95,2369,0.02827,0.04322
2010,5th Quintile,West,No,0.94099,2274,2369,0.93150,0.95049
2010,5th Quintile,East,No,0.93024,288,288,0.90077,0.95972
2011,1st Quintile,West,Yes,0.00918,38,2598,0.00551,0.01285
2011,1st Quintile,West,No,0.98403,2560,2598,0.97921,0.98885
2011,1st Quintile,East,No,0.97760,1088,1088,0.96880,0.98639
2011,2nd Quintile,West,Yes,0.01012,50,2448,0.00615,0.01408
2011,2nd Quintile,West,No,0.98578,2398,2448,0.98109,0.99047
2011,2nd Quintile,East,No,0.97942,943,943,0.97035,0.98848
2011,3rd Quintile,West,Yes,0.02060,83,2427,0.01495,0.02625
2011,3rd Quintile,West,No,0.97666,2344,2427,0.97066,0.98267
2011,3rd Quintile,East,No,0.97662,767,767,0.96592,0.98732
2011,4th Quintile,West,Yes,0.03448,131,2522,0.02735,0.04160
2011,4th Quintile,West,No,0.96245,2391,2522,0.95503,0.96987
2011,4th Quintile,East,No,0.95859,510,510,0.94128,0.97590
2011,5th Quintile,West,Yes,0.04661,153,2819,0.03883,0.05440
2011,5th Quintile,West,No,0.94346,2666,2819,0.93494,0.95199
2011,5th Quintile,East,No,0.95064,339,339,0.92755,0.97373
2012,1st Quintile,West,Yes,0.01299,37,2538,0.00858,0.01740
2012,1st Quintile,West,No,0.98208,2501,2538,0.97692,0.98724
2012,1st Quintile,East,No,0.98917,1049,1049,0.98291,0.99544
2012,2nd Quintile,West,Yes,0.01670,65,2496,0.01167,0.02173
2012,2nd Quintile,West,No,0.98066,2431,2496,0.97526,0.98607
2012,2nd Quintile,East,No,0.99439,802,802,0.98922,0.99956
2012,3rd Quintile,West,Yes,0.02223,91,2391,0.01632,0.02814
2012,3rd Quintile,West,No,0.97427,2300,2391,0.96792,0.98062
2012,3rd Quintile,East,No,0.97453,789,789,0.96353,0.98553
2012,4th Quintile,West,Yes,0.03714,121,2440,0.02964,0.04465
2012,4th Quintile,West,No,0.96038,2319,2440,0.95264,0.96812
2012,4th Quintile,East,No,0.96594,563,563,0.95094,0.98094
2012,5th Quintile,West,Yes,0.04552,133,2700,0.03766,0.05338
2012,5th Quintile,West,No,0.94959,2567,2700,0.94133,0.95784
2012,5th Quintile,East,Yes,0.08853,42,450,0.06225,0.11480
2012,5th Quintile,East,No,0.91147,408,450,0.88520,0.93775
2013,1st Quintile,West,Yes,0.01161,39,3167,0.00788,0.01534
2013,1st Quintile,West,No,0.98794,3128,3167,0.98414,0.99174
2013,1st Quintile,East,No,0.99798,1066,1066,0.99528,1.00068
2013,2nd Quintile,West,Yes,0.01844,67,2901,0.01354,0.02334
2013,2nd Quintile,West,No,0.98042,2834,2901,0.97537,0.98546
