,Unnamed: 0,year,bula_h,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Schleswig-Holstein,No,1.0,352,11546,0.94408,1.05289
1,1,2001,Hamburg,No,1.0,178,11546,0.93754,1.08389
2,2,2001,Lower Saxony,No,1.0,932,11546,0.95992,1.0362
3,3,2001,Bremen,No,1.0,98,11546,0.91783,1.10191
4,4,2001,North Rhine-Westphalia,No,1.0,2472,11546,0.97771,1.02219
5,5,2001,Hesse,No,1.0,773,11546,0.95549,1.04198
6,6,2001,"Rhineland-Palatinate, Saarland",No,1.0,706,11546,0.9604,1.04189
7,7,2001,Baden-Wuerttemberg,No,1.0,1350,11546,0.96378,1.03434
8,8,2001,Bavaria,No,1.0,1597,11546,0.96883,1.03059
9,9,2001,Berlin,No,1.0,479,11546,0.95004,1.03825
10,10,2001,Brandenburg,No,1.0,493,11546,0.95904,1.0462
11,11,2001,Mecklenburg-Western Pomerania,No,1.0,277,11546,0.93633,1.07709
12,12,2001,Saxony,No,1.0,846,11546,0.95875,1.03815
13,13,2001,Saxony-Anhalt,No,1.0,501,11546,0.956,1.04707
14,14,2001,Thuringa,No,1.0,492,11546,0.944,1.05041
15,15,2006,Schleswig-Holstein,No,1.0,381,12147,0.9296,1.07205
16,16,2006,Hamburg,No,1.0,192,12147,0.89969,1.09946
17,17,2006,Lower Saxony,Yes,0.02918,36,12147,0.02283,0.03532
18,18,2006,Lower Saxony,No,0.97082,1038,12147,0.93274,1.01945
19,19,2006,Bremen,No,1.0,90,12147,0.84651,1.15842
20,20,2006,North Rhine-Westphalia,No,1.0,2515,12147,0.97484,1.02714
21,21,2006,Hesse,No,1.0,835,12147,0.94786,1.05114
22,22,2006,"Rhineland-Palatinate, Saarland",No,1.0,715,12147,0.95862,1.06407
23,23,2006,Baden-Wuerttemberg,No,1.0,1462,12147,0.96404,1.04987
24,24,2006,Bavaria,No,1.0,1710,12147,0.96574,1.03816
25,25,2006,Berlin,No,1.0,482,12147,0.94018,1.05328
26,26,2006,Brandenburg,No,1.0,524,12147,0.93374,1.06197
27,27,2006,Mecklenburg-Western Pomerania,No,1.0,296,12147,0.93029,1.08902
28,28,2006,Saxony,No,1.0,874,12147,0.95191,1.05695
29,29,2006,Saxony-Anhalt,No,1.0,488,12147,0.9317,1.0708
30,30,2006,Thuringa,No,1.0,509,12147,0.94091,1.07079
31,31,2011,Schleswig-Holstein,No,1.0,399,11950,0.92011,1.09556
32,32,2011,Hamburg,No,1.0,192,11950,0.89062,1.08913
33,33,2011,Lower Saxony,No,1.0,1064,11950,0.95445,1.04633
34,34,2011,Bremen,No,1.0,80,11950,0.8351,1.17574
35,35,2011,North Rhine-Westphalia,No,1.0,2333,11950,0.97194,1.03558
36,36,2011,Hesse,No,1.0,817,11950,0.93981,1.05937
37,37,2011,"Rhineland-Palatinate, Saarland",No,1.0,700,11950,0.9351,1.05842
38,38,2011,Baden-Wuerttemberg,No,1.0,1388,11950,0.95066,1.04515
39,39,2011,Bavaria,No,1.0,1821,11950,0.9537,1.04458
40,40,2011,Berlin,No,1.0,512,11950,0.92312,1.0744
41,41,2011,Brandenburg,No,1.0,512,11950,0.9257,1.08963
42,42,2011,Mecklenburg-Western Pomerania,No,1.0,308,11950,0.90689,1.10337
43,43,2011,Saxony,No,1.0,806,11950,0.93962,1.06197
44,44,2011,Saxony-Anhalt,No,1.0,503,11950,0.913,1.09076
45,45,2011,Thuringa,No,1.0,515,11950,0.91549,1.09214
46,46,2016,Schleswig-Holstein,No,1.0,492,14140,0.90471,1.09523
47,47,2016,Hamburg,No,1.0,262,14140,0.8609,1.09859
48,48,2016,Lower Saxony,No,1.0,1323,14140,0.93607,1.05388
49,49,2016,Bremen,No,1.0,105,14140,0.79406,1.24361
50,50,2016,North Rhine-Westphalia,No,1.0,2879,14140,0.96052,1.03568
51,51,2016,Hesse,No,1.0,963,14140,0.94674,1.06435
52,52,2016,"Rhineland-Palatinate, Saarland",No,1.0,840,14140,0.92517,1.06197
53,53,2016,Baden-Wuerttemberg,No,1.0,1610,14140,0.94538,1.05169
54,54,2016,Bavaria,No,1.0,2274,14140,0.95235,1.03761
55,55,2016,Berlin,No,1.0,608,14140,0.92977,1.06714
56,56,2016,Brandenburg,No,1.0,553,14140,0.91332,1.11621
57,57,2016,Mecklenburg-Western Pomerania,No,1.0,323,14140,0.89738,1.13373
58,58,2016,Saxony,No,1.0,857,14140,0.9333,1.07051
59,59,2016,Saxony-Anhalt,No,1.0,510,14140,0.9038,1.09758
60,60,2016,Thuringa,No,1.0,541,14140,0.89574,1.08547
61,61,2021,Schleswig-Holstein,No,1.0,408,10909,0.89095,1.13479
62,62,2021,Hamburg,No,1.0,267,10909,0.86428,1.13564
63,63,2021,Lower Saxony,No,1.0,1037,10909,0.92677,1.07601
64,64,2021,Bremen,No,1.0,79,10909,0.74689,1.27344
65,65,2021,North Rhine-Westphalia,No,1.0,2254,10909,0.95347,1.04462
66,66,2021,Hesse,No,1.0,676,10909,0.9132,1.09623
