year,rentown,sampreg,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Owner,West,Yes,0.01896,80,4164,0.01482,0.02311
2001,Owner,West,No,0.98104,4084,4164,0.97689,0.98518
2001,Owner,East,No,0.98411,1085,1085,0.97666,0.99155
2001,Tenant,West,No,0.99413,4643,4643,0.99193,0.99633
2001,Tenant,East,No,0.99589,1734,1734,0.99288,0.99890
2006,Owner,West,Yes,0.02001,97,4794,0.01605,0.02398
2006,Owner,West,No,0.97999,4697,4794,0.97602,0.98395
2006,Owner,East,No,0.97792,1187,1187,0.96956,0.98629
2006,Tenant,West,No,0.99458,4516,4516,0.99244,0.99672
2006,Tenant,East,No,0.99683,1709,1709,0.99417,0.99950
2011,Owner,West,Yes,0.01483,70,4782,0.01140,0.01826
2011,Owner,West,No,0.98517,4712,4782,0.98174,0.98860
2011,Owner,East,No,0.97940,1140,1140,0.97115,0.98765
2011,Tenant,West,Yes,0.00793,38,4410,0.00531,0.01055
2011,Tenant,West,No,0.99207,4372,4410,0.98945,0.99469
2011,Tenant,East,No,0.99878,1726,1726,0.99713,1.00043
2016,Owner,West,Yes,0.01841,98,5146,0.01474,0.02208
2016,Owner,West,No,0.98159,5048,5146,0.97792,0.98526
2016,Owner,East,No,0.98660,1134,1134,0.97991,0.99330
2016,Tenant,West,Yes,0.00581,34,6081,0.00390,0.00772
2016,Tenant,West,No,0.99419,6047,6081,0.99228,0.99610
2016,Tenant,East,No,0.99758,1910,1910,0.99537,0.99978
2021,Owner,West,Yes,0.02103,93,4127,0.01665,0.02541
2021,Owner,West,No,0.97897,4034,4127,0.97459,0.98335
2021,Owner,East,No,0.98466,936,936,0.97678,0.99254
2021,Tenant,West,Yes,0.00674,33,4534,0.00435,0.00912
2021,Tenant,West,No,0.99326,4501,4534,0.99088,0.99565
2021,Tenant,East,No,0.99872,1435,1435,0.99688,1.00057
