,Unnamed: 0,year,bula_h,sampreg,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Schleswig-Holstein,West,No,1.0,352,11546,0.94282,1.05721
1,1,2001,Hamburg,West,No,1.0,178,11546,0.92833,1.07451
2,2,2001,Lower Saxony,West,No,1.0,932,11546,0.96206,1.03673
3,3,2001,Bremen,West,No,1.0,98,11546,0.90076,1.10831
4,4,2001,North Rhine-Westphalia,West,No,1.0,2472,11546,0.97892,1.01861
5,5,2001,Hesse,West,No,1.0,773,11546,0.9633,1.04897
6,6,2001,"Rhineland-Palatinate, Saarland",West,No,1.0,706,11546,0.96767,1.04005
7,7,2001,Baden-Wuerttemberg,West,No,1.0,1350,11546,0.97008,1.04042
8,8,2001,Bavaria,West,No,1.0,1597,11546,0.96994,1.03485
9,9,2001,Berlin,West,No,1.0,269,11546,0.9384,1.05482
10,10,2001,Berlin,East,No,1.0,210,11546,0.93438,1.07374
11,11,2001,Brandenburg,East,No,1.0,493,11546,0.94909,1.05324
12,12,2001,Mecklenburg-Western Pomerania,East,No,1.0,277,11546,0.935,1.06505
13,13,2001,Saxony,East,No,1.0,846,11546,0.95957,1.03389
14,14,2001,Saxony-Anhalt,East,No,1.0,501,11546,0.95408,1.04222
15,15,2001,Thuringa,East,No,1.0,492,11546,0.94558,1.05807
16,16,2006,Schleswig-Holstein,West,No,1.0,381,12147,0.92669,1.05878
17,17,2006,Hamburg,West,No,1.0,192,12147,0.90068,1.09248
18,18,2006,Lower Saxony,West,Yes,0.02918,36,12147,0.02256,0.03762
19,19,2006,Lower Saxony,West,No,0.97082,1038,12147,0.92863,1.01034
20,20,2006,Bremen,West,No,1.0,90,12147,0.81633,1.15514
21,21,2006,North Rhine-Westphalia,West,No,1.0,2515,12147,0.97489,1.03031
22,22,2006,Hesse,West,No,1.0,835,12147,0.93651,1.05217
23,23,2006,"Rhineland-Palatinate, Saarland",West,No,1.0,715,12147,0.94846,1.05329
24,24,2006,Baden-Wuerttemberg,West,No,1.0,1462,12147,0.96039,1.0416
25,25,2006,Bavaria,West,No,1.0,1710,12147,0.96243,1.02917
26,26,2006,Berlin,West,No,1.0,276,12147,0.93089,1.07059
27,27,2006,Berlin,East,No,1.0,206,12147,0.90729,1.09756
28,28,2006,Brandenburg,East,No,1.0,524,12147,0.9271,1.0573
29,29,2006,Mecklenburg-Western Pomerania,East,No,1.0,296,12147,0.9072,1.08813
30,30,2006,Saxony,East,No,1.0,874,12147,0.9544,1.04801
31,31,2006,Saxony-Anhalt,East,No,1.0,488,12147,0.92535,1.07532
32,32,2006,Thuringa,East,No,1.0,509,12147,0.94192,1.07712
33,33,2011,Schleswig-Holstein,West,No,1.0,399,11950,0.90837,1.08199
34,34,2011,Hamburg,West,No,1.0,192,11950,0.89965,1.0947
35,35,2011,Lower Saxony,West,No,1.0,1064,11950,0.94495,1.04968
36,36,2011,Bremen,West,No,1.0,80,11950,0.82741,1.17127
37,37,2011,North Rhine-Westphalia,West,No,1.0,2333,11950,0.96243,1.02996
38,38,2011,Hesse,West,No,1.0,817,11950,0.94147,1.05747
39,39,2011,"Rhineland-Palatinate, Saarland",West,No,1.0,700,11950,0.94337,1.06722
40,40,2011,Baden-Wuerttemberg,West,No,1.0,1388,11950,0.95066,1.05712
41,41,2011,Bavaria,West,No,1.0,1821,11950,0.95921,1.03702
42,42,2011,Berlin,West,No,1.0,290,11950,0.9094,1.09192
43,43,2011,Berlin,East,No,1.0,222,11950,0.90552,1.11827
44,44,2011,Brandenburg,East,No,1.0,512,11950,0.91845,1.08242
45,45,2011,Mecklenburg-Western Pomerania,East,No,1.0,308,11950,0.90252,1.09305
46,46,2011,Saxony,East,No,1.0,806,11950,0.94625,1.05241
47,47,2011,Saxony-Anhalt,East,No,1.0,503,11950,0.91714,1.07204
48,48,2011,Thuringa,East,No,1.0,515,11950,0.91869,1.0849
49,49,2016,Schleswig-Holstein,West,No,1.0,492,14140,0.92492,1.09155
50,50,2016,Hamburg,West,No,1.0,262,14140,0.88957,1.12349
51,51,2016,Lower Saxony,West,No,1.0,1323,14140,0.9342,1.06322
52,52,2016,Bremen,West,No,1.0,105,14140,0.79427,1.19669
53,53,2016,North Rhine-Westphalia,West,No,1.0,2879,14140,0.96264,1.04079
54,54,2016,Hesse,West,No,1.0,963,14140,0.93683,1.06255
55,55,2016,"Rhineland-Palatinate, Saarland",West,No,1.0,840,14140,0.92872,1.05992
56,56,2016,Baden-Wuerttemberg,West,No,1.0,1610,14140,0.94707,1.0441
57,57,2016,Bavaria,West,No,1.0,2274,14140,0.95696,1.05157
58,58,2016,Berlin,West,No,1.0,348,14140,0.90448,1.09718
59,59,2016,Berlin,East,No,1.0,260,14140,0.8841,1.1162
60,60,2016,Brandenburg,East,No,1.0,553,14140,0.91027,1.0932
61,61,2016,Mecklenburg-Western Pomerania,East,No,1.0,323,14140,0.88214,1.115
62,62,2016,Saxony,East,No,1.0,857,14140,0.92866,1.07297
63,63,2016,Saxony-Anhalt,East,No,1.0,510,14140,0.90371,1.10026
64,64,2016,Thuringa,East,No,1.0,541,14140,0.91011,1.10504
65,65,2021,Schleswig-Holstein,West,No,1.0,408,10909,0.8961,1.13234
66,66,2021,Hamburg,West,No,1.0,267,10909,0.87657,1.13449
67,67,2021,Lower Saxony,West,No,1.0,1037,10909,0.91993,1.08128
68,68,2021,Bremen,West,No,1.0,79,10909,0.75509,1.32489
69,69,2021,North Rhine-Westphalia,West,No,1.0,2254,10909,0.95548,1.05038
70,70,2021,Hesse,West,No,1.0,676,10909,0.91344,1.07994
71,71,2021,"Rhineland-Palatinate, Saarland",West,No,1.0,530,10909,0.90349,1.09847
72,72,2021,Baden-Wuerttemberg,West,No,1.0,1202,10909,0.94234,1.06415
73,73,2021,Bavaria,West,No,1.0,1730,10909,0.94544,1.06108
74,74,2021,Berlin,West,No,1.0,354,10909,0.88032,1.16228
75,75,2021,Berlin,East,No,1.0,199,10909,0.84836,1.17268
76,76,2021,Brandenburg,East,No,1.0,439,10909,0.89928,1.10429
77,77,2021,Mecklenburg-Western Pomerania,East,No,1.0,259,10909,0.86324,1.15439
78,78,2021,Saxony,East,No,1.0,730,10909,0.92328,1.08297
79,79,2021,Saxony-Anhalt,East,No,1.0,364,10909,0.87211,1.13931
80,80,2021,Thuringa,East,No,1.0,381,10909,0.87306,1.12514
