,Unnamed: 0,year,quintil_oecd_hh,sampreg,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,1st Quintile,West,No,1.0,1513,11578,0.96767,1.03194
1,1,2001,1st Quintile,East,No,1.0,685,11578,0.95348,1.04376
2,2,2001,2nd Quintile,West,No,1.0,1666,11578,0.96733,1.02562
3,3,2001,2nd Quintile,East,No,1.0,781,11578,0.96076,1.03682
4,4,2001,3rd Quintile,West,No,1.0,1757,11578,0.97093,1.02937
5,5,2001,3rd Quintile,East,No,1.0,674,11578,0.96398,1.03831
6,6,2001,4th Quintile,West,No,1.0,1885,11578,0.973,1.02697
7,7,2001,4th Quintile,East,No,1.0,449,11578,0.94752,1.05751
8,8,2001,5th Quintile,West,Yes,0.01728,34,11578,0.01437,0.0198
9,9,2001,5th Quintile,West,No,0.98272,1904,11578,0.95923,1.00879
10,10,2001,5th Quintile,East,No,1.0,230,11578,0.92611,1.08279
11,11,2006,1st Quintile,West,No,1.0,1414,12190,0.96771,1.03429
12,12,2006,1st Quintile,East,No,1.0,656,12190,0.94361,1.0389
13,13,2006,2nd Quintile,West,No,1.0,1476,12190,0.96998,1.03101
14,14,2006,2nd Quintile,East,No,1.0,737,12190,0.94925,1.05735
15,15,2006,3rd Quintile,West,No,1.0,1719,12190,0.97267,1.03228
16,16,2006,3rd Quintile,East,No,1.0,663,12190,0.94274,1.06143
17,17,2006,4th Quintile,West,Yes,0.01109,34,12190,0.00879,0.01378
18,18,2006,4th Quintile,West,No,0.98891,1944,12190,0.95518,1.01355
19,19,2006,4th Quintile,East,No,1.0,500,12190,0.92395,1.06741
20,20,2006,5th Quintile,West,Yes,0.01947,51,12190,0.01505,0.02425
21,21,2006,5th Quintile,West,No,0.98053,2656,12190,0.94661,1.01515
22,22,2006,5th Quintile,East,No,1.0,340,12190,0.89452,1.10862
23,23,2011,1st Quintile,West,No,1.0,1517,11991,0.95947,1.04138
24,24,2011,1st Quintile,East,No,1.0,713,11991,0.93715,1.06616
25,25,2011,2nd Quintile,West,No,1.0,1510,11991,0.95178,1.03527
26,26,2011,2nd Quintile,East,No,1.0,737,11991,0.94906,1.06642
27,27,2011,3rd Quintile,West,No,1.0,1707,11991,0.95836,1.03534
28,28,2011,3rd Quintile,East,No,1.0,646,11991,0.94275,1.0663
29,29,2011,4th Quintile,West,No,1.0,1926,11991,0.95868,1.03705
30,30,2011,4th Quintile,East,No,1.0,455,11991,0.91319,1.08582
31,31,2011,5th Quintile,West,Yes,0.01818,44,11991,0.01338,0.02347
32,32,2011,5th Quintile,West,No,0.98182,2421,11991,0.94699,1.02201
33,33,2011,5th Quintile,East,No,1.0,315,11991,0.89205,1.11634
34,34,2016,1st Quintile,West,No,1.0,2245,14188,0.94848,1.04635
35,35,2016,1st Quintile,East,No,1.0,808,14188,0.91506,1.07842
36,36,2016,2nd Quintile,West,No,1.0,2274,14188,0.95523,1.04198
37,37,2016,2nd Quintile,East,No,1.0,800,14188,0.92456,1.07777
38,38,2016,3rd Quintile,West,No,1.0,2050,14188,0.95144,1.0419
39,39,2016,3rd Quintile,East,No,1.0,670,14188,0.90808,1.08022
40,40,2016,4th Quintile,West,No,1.0,2183,14188,0.96169,1.03679
41,41,2016,4th Quintile,East,No,1.0,441,14188,0.90909,1.12539
42,42,2016,5th Quintile,West,Yes,0.02372,53,14188,0.01666,0.03039
43,43,2016,5th Quintile,West,No,0.97628,2339,14188,0.93423,1.02063
44,44,2016,5th Quintile,East,No,1.0,325,14188,0.86984,1.16577
45,45,2021,1st Quintile,West,No,1.0,1522,10973,0.94189,1.06025
46,46,2021,1st Quintile,East,No,1.0,533,10973,0.89862,1.09953
47,47,2021,2nd Quintile,West,No,1.0,1592,10973,0.94677,1.05465
48,48,2021,2nd Quintile,East,No,1.0,593,10973,0.89175,1.08434
49,49,2021,3rd Quintile,West,No,1.0,1529,10973,0.94306,1.06566
50,50,2021,3rd Quintile,East,No,1.0,457,10973,0.89548,1.10212
51,51,2021,4th Quintile,West,Yes,0.02042,32,10973,0.01278,0.02978
52,52,2021,4th Quintile,West,No,0.97958,1672,10973,0.92109,1.0457
53,53,2021,4th Quintile,East,No,1.0,376,10973,0.87321,1.12289
54,54,2021,5th Quintile,West,Yes,0.02065,50,10973,0.01468,0.02845
55,55,2021,5th Quintile,West,No,0.97935,2208,10973,0.93167,1.03654
56,56,2021,5th Quintile,East,No,1.0,409,10973,0.87824,1.13772
