,Unnamed: 0,year,quintil_oecd_hh,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,1st Quintile,No,1.0,2198,11619,0.97855,1.0256
1,1,2001,2nd Quintile,No,1.0,2447,11619,0.98052,1.02529
2,2,2001,3rd Quintile,No,1.0,2431,11619,0.97574,1.0242
3,3,2001,4th Quintile,Yes,0.01322,34,11619,0.0109,0.01584
4,4,2001,4th Quintile,No,0.98678,2334,11619,0.96307,1.00936
5,5,2001,5th Quintile,Yes,0.01836,41,11619,0.01557,0.02087
6,6,2001,5th Quintile,No,0.98164,2134,11619,0.96009,1.00542
7,7,2006,1st Quintile,No,1.0,2070,12201,0.97741,1.02813
8,8,2006,2nd Quintile,No,1.0,2213,12201,0.97283,1.02612
9,9,2006,3rd Quintile,No,1.0,2382,12201,0.97536,1.02938
10,10,2006,4th Quintile,Yes,0.01093,37,12201,0.00882,0.01351
11,11,2006,4th Quintile,No,0.98907,2444,12201,0.95843,1.01739
12,12,2006,5th Quintile,Yes,0.01922,59,12201,0.01393,0.02401
13,13,2006,5th Quintile,No,0.98078,2996,12201,0.95016,1.01023
14,14,2011,1st Quintile,No,1.0,2230,12031,0.96086,1.03329
15,15,2011,2nd Quintile,No,1.0,2247,12031,0.96711,1.03808
16,16,2011,3rd Quintile,No,1.0,2353,12031,0.96252,1.03038
17,17,2011,4th Quintile,Yes,0.01474,33,12031,0.01002,0.02036
18,18,2011,4th Quintile,No,0.98526,2381,12031,0.94805,1.02257
19,19,2011,5th Quintile,Yes,0.018,51,12031,0.01367,0.02315
20,20,2011,5th Quintile,No,0.982,2736,12031,0.94543,1.01699
21,21,2016,1st Quintile,No,1.0,3053,14257,0.96223,1.04707
22,22,2016,2nd Quintile,No,1.0,3074,14257,0.95998,1.04082
23,23,2016,3rd Quintile,Yes,0.01365,31,14257,0.0088,0.01842
24,24,2016,3rd Quintile,No,0.98635,2720,14257,0.94876,1.02873
25,25,2016,4th Quintile,Yes,0.01146,34,14257,0.00697,0.01612
26,26,2016,4th Quintile,No,0.98854,2624,14257,0.95407,1.02427
27,27,2016,5th Quintile,Yes,0.0225,57,14257,0.01613,0.02924
28,28,2016,5th Quintile,No,0.9775,2664,14257,0.94239,1.02383
29,29,2021,1st Quintile,No,1.0,2055,10980,0.94784,1.05902
30,30,2021,2nd Quintile,No,1.0,2185,10980,0.94771,1.05833
31,31,2021,3rd Quintile,No,1.0,1986,10980,0.94833,1.04489
32,32,2021,4th Quintile,Yes,0.01823,35,10980,0.01224,0.02531
33,33,2021,4th Quintile,No,0.98177,2048,10980,0.93154,1.02371
34,34,2021,5th Quintile,Yes,0.01946,54,10980,0.01409,0.02556
35,35,2021,5th Quintile,No,0.98054,2617,10980,0.93696,1.03331
