,Unnamed: 0,year,bula_h,regtyp,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Schleswig-Holstein,Urban regions,No,1.0,154,11546,0.92162,1.08027
1,1,2001,Schleswig-Holstein,Rural regions,No,1.0,198,11546,0.92302,1.08398
2,2,2001,Hamburg,Urban regions,No,1.0,178,11546,0.92686,1.06578
3,3,2001,Lower Saxony,Urban regions,No,1.0,471,11546,0.94913,1.04793
4,4,2001,Lower Saxony,Rural regions,No,1.0,461,11546,0.94468,1.05082
5,5,2001,Bremen,Urban regions,No,1.0,98,11546,0.88817,1.10323
6,6,2001,North Rhine-Westphalia,Urban regions,No,1.0,2412,11546,0.97362,1.02239
7,7,2001,North Rhine-Westphalia,Rural regions,No,1.0,60,11546,0.85079,1.16007
8,8,2001,Hesse,Urban regions,No,1.0,625,11546,0.95941,1.05438
9,9,2001,Hesse,Rural regions,No,1.0,148,11546,0.89517,1.0868
10,10,2001,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,543,11546,0.95904,1.04497
11,11,2001,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,163,11546,0.92778,1.08072
12,12,2001,Baden-Wuerttemberg,Urban regions,No,1.0,1216,11546,0.96177,1.03017
13,13,2001,Baden-Wuerttemberg,Rural regions,No,1.0,134,11546,0.8997,1.12671
14,14,2001,Bavaria,Urban regions,No,1.0,781,11546,0.95962,1.04309
15,15,2001,Bavaria,Rural regions,No,1.0,816,11546,0.96572,1.03767
16,16,2001,Berlin,Urban regions,No,1.0,479,11546,0.95445,1.04363
17,17,2001,Brandenburg,Urban regions,No,1.0,37,11546,0.87263,1.15752
18,18,2001,Brandenburg,Rural regions,No,1.0,456,11546,0.95025,1.05453
19,19,2001,Mecklenburg-Western Pomerania,Urban regions,No,1.0,40,11546,0.84441,1.15681
20,20,2001,Mecklenburg-Western Pomerania,Rural regions,No,1.0,237,11546,0.93372,1.08354
21,21,2001,Saxony,Urban regions,No,1.0,420,11546,0.94968,1.05548
22,22,2001,Saxony,Rural regions,No,1.0,426,11546,0.95034,1.05549
23,23,2001,Saxony-Anhalt,Urban regions,No,1.0,104,11546,0.90886,1.09349
24,24,2001,Saxony-Anhalt,Rural regions,No,1.0,397,11546,0.93686,1.04894
25,25,2001,Thuringa,Urban regions,No,1.0,144,11546,0.90334,1.09407
26,26,2001,Thuringa,Rural regions,No,1.0,348,11546,0.93954,1.0656
27,27,2006,Schleswig-Holstein,Urban regions,No,1.0,157,12111,0.88555,1.11603
28,28,2006,Schleswig-Holstein,Rural regions,No,1.0,224,12111,0.92057,1.07519
29,29,2006,Hamburg,Urban regions,No,1.0,192,12111,0.9121,1.12098
30,30,2006,Lower Saxony,Urban regions,No,1.0,514,12111,0.93689,1.04625
31,31,2006,Lower Saxony,Rural regions,No,1.0,524,12111,0.94005,1.05292
32,32,2006,Bremen,Urban regions,No,1.0,90,12111,0.87331,1.14598
33,33,2006,North Rhine-Westphalia,Urban regions,No,1.0,2452,12111,0.97046,1.03472
34,34,2006,North Rhine-Westphalia,Rural regions,No,1.0,63,12111,0.84411,1.20446
35,35,2006,Hesse,Urban regions,No,1.0,683,12111,0.94176,1.05889
36,36,2006,Hesse,Rural regions,No,1.0,152,12111,0.87328,1.12053
37,37,2006,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,544,12111,0.93533,1.05572
38,38,2006,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,171,12111,0.91198,1.08793
39,39,2006,Baden-Wuerttemberg,Urban regions,No,1.0,1338,12111,0.96271,1.04374
40,40,2006,Baden-Wuerttemberg,Rural regions,No,1.0,124,12111,0.89424,1.12353
41,41,2006,Bavaria,Urban regions,No,1.0,840,12111,0.94873,1.04433
42,42,2006,Bavaria,Rural regions,No,1.0,870,12111,0.95082,1.05271
43,43,2006,Berlin,Urban regions,No,1.0,482,12111,0.9384,1.06552
44,44,2006,Brandenburg,Urban regions,No,1.0,46,12111,0.8195,1.19843
45,45,2006,Brandenburg,Rural regions,No,1.0,478,12111,0.93253,1.0697
46,46,2006,Mecklenburg-Western Pomerania,Urban regions,No,1.0,40,12111,0.7388,1.3023
47,47,2006,Mecklenburg-Western Pomerania,Rural regions,No,1.0,256,12111,0.9308,1.08266
48,48,2006,Saxony,Urban regions,No,1.0,455,12111,0.92635,1.07459
49,49,2006,Saxony,Rural regions,No,1.0,419,12111,0.91792,1.07635
50,50,2006,Saxony-Anhalt,Urban regions,No,1.0,96,12111,0.85977,1.1511
51,51,2006,Saxony-Anhalt,Rural regions,No,1.0,392,12111,0.91728,1.09876
52,52,2006,Thuringa,Urban regions,No,1.0,147,12111,0.86992,1.12467
53,53,2006,Thuringa,Rural regions,No,1.0,362,12111,0.91211,1.0946
54,54,2011,Schleswig-Holstein,Urban regions,No,1.0,118,11920,0.83477,1.18302
55,55,2011,Schleswig-Holstein,Rural regions,No,1.0,281,11920,0.91947,1.08924
56,56,2011,Hamburg,Urban regions,No,1.0,192,11920,0.89251,1.10538
57,57,2011,Lower Saxony,Urban regions,No,1.0,504,11920,0.92627,1.07325
58,58,2011,Lower Saxony,Rural regions,No,1.0,560,11920,0.92012,1.06271
59,59,2011,Bremen,Urban regions,No,1.0,80,11920,0.80706,1.17476
60,60,2011,North Rhine-Westphalia,Urban regions,No,1.0,2269,11920,0.96836,1.03173
61,61,2011,North Rhine-Westphalia,Rural regions,No,1.0,64,11920,0.79743,1.16794
62,62,2011,Hesse,Urban regions,No,1.0,668,11920,0.9335,1.06902
63,63,2011,Hesse,Rural regions,No,1.0,149,11920,0.84703,1.10909
64,64,2011,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,519,11920,0.92713,1.08493
65,65,2011,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,181,11920,0.87955,1.10942
66,66,2011,Baden-Wuerttemberg,Urban regions,No,1.0,1242,11920,0.95133,1.04816
67,67,2011,Baden-Wuerttemberg,Rural regions,No,1.0,146,11920,0.86678,1.14218
68,68,2011,Bavaria,Urban regions,No,1.0,886,11920,0.95009,1.05572
69,69,2011,Bavaria,Rural regions,No,1.0,935,11920,0.93823,1.06379
70,70,2011,Berlin,Urban regions,No,1.0,512,11920,0.93584,1.06178
71,71,2011,Brandenburg,Urban regions,No,1.0,45,11920,0.77201,1.22533
72,72,2011,Brandenburg,Rural regions,No,1.0,467,11920,0.91319,1.07837
73,73,2011,Mecklenburg-Western Pomerania,Rural regions,No,1.0,278,11920,0.89353,1.12521
74,74,2011,Saxony,Urban regions,No,1.0,425,11920,0.9217,1.086
75,75,2011,Saxony,Rural regions,No,1.0,381,11920,0.90719,1.08635
76,76,2011,Saxony-Anhalt,Urban regions,No,1.0,130,11920,0.85444,1.17556
77,77,2011,Saxony-Anhalt,Rural regions,No,1.0,373,11920,0.91489,1.08558
78,78,2011,Thuringa,Urban regions,No,1.0,169,11920,0.84017,1.14095
79,79,2011,Thuringa,Rural regions,No,1.0,346,11920,0.90091,1.10476
80,80,2016,Schleswig-Holstein,Urban regions,No,1.0,138,14140,0.83907,1.19283
81,81,2016,Schleswig-Holstein,Rural regions,No,1.0,354,14140,0.8889,1.10598
82,82,2016,Hamburg,Urban regions,No,1.0,262,14140,0.88303,1.09781
83,83,2016,Lower Saxony,Urban regions,No,1.0,554,14140,0.90473,1.0794
84,84,2016,Lower Saxony,Rural regions,No,1.0,769,14140,0.9164,1.09053
85,85,2016,Bremen,Urban regions,No,1.0,105,14140,0.77929,1.18079
86,86,2016,North Rhine-Westphalia,Urban regions,No,1.0,2828,14140,0.95862,1.03988
87,87,2016,North Rhine-Westphalia,Rural regions,No,1.0,51,14140,0.75139,1.27518
