year,bula_h,rentown,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Owner,No,0.96613,201,201,0.94106,0.99120
2001,Schleswig-Holstein,Tenant,No,0.98236,151,151,0.96130,1.00343
2001,Hamburg,Owner,No,0.95029,36,36,0.87829,1.02230
2001,Hamburg,Tenant,No,0.99350,142,142,0.98024,1.00676
2001,Lower Saxony,Owner,No,0.95680,498,498,0.93892,0.97467
2001,Lower Saxony,Tenant,No,0.99065,434,434,0.98159,0.99972
2001,Bremen,Tenant,No,0.99568,60,60,0.97893,1.01242
2001,North Rhine-Westphalia,Owner,No,0.98924,1037,1037,0.98295,0.99552
2001,North Rhine-Westphalia,Tenant,No,0.99754,1435,1435,0.99497,1.00010
2001,Hesse,Owner,No,0.98880,354,354,0.97783,0.99978
2001,Hesse,Tenant,No,0.99771,419,419,0.99313,1.00229
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.98147,402,402,0.96828,0.99467
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.98224,304,304,0.96737,0.99711
2001,Baden-Wuerttemberg,Owner,No,0.98458,622,622,0.97489,0.99427
2001,Bavaria,Owner,No,0.98446,853,853,0.97615,0.99276
2001,Bavaria,Tenant,No,0.99164,744,744,0.98509,0.99819
2001,Berlin,Tenant,No,0.99342,419,419,0.98566,1.00117
2001,Brandenburg,Owner,No,0.98041,196,196,0.96095,0.99986
2001,Brandenburg,Tenant,No,0.98713,297,297,0.97429,0.99997
2001,Mecklenburg-Western Pomerania,Owner,No,0.94487,96,96,0.89898,0.99077
2001,Mecklenburg-Western Pomerania,Tenant,No,0.98511,181,181,0.96741,1.00280
2001,Saxony,Owner,No,0.99109,306,306,0.98054,1.00164
2001,Saxony-Anhalt,Owner,No,0.98721,229,229,0.97262,1.00179
2001,Thuringa,Owner,No,0.99684,241,241,0.98974,1.00394
2001,Thuringa,Tenant,No,0.99778,251,251,0.99195,1.00361
2006,Schleswig-Holstein,Owner,No,0.96451,208,208,0.93930,0.98971
2006,Schleswig-Holstein,Tenant,No,0.98583,173,173,0.96816,1.00349
2006,Hamburg,Owner,No,0.93303,47,47,0.86080,1.00527
2006,Hamburg,Tenant,No,0.99635,145,145,0.98650,1.00620
2006,Lower Saxony,Owner,No,0.95787,612,612,0.94194,0.97380
2006,Lower Saxony,Tenant,No,0.98517,426,426,0.97368,0.99666
2006,North Rhine-Westphalia,Owner,No,0.98361,1183,1183,0.97637,0.99085
2006,North Rhine-Westphalia,Tenant,No,0.99969,1332,1332,0.99875,1.00064
2006,Hesse,Owner,No,0.98262,417,417,0.97007,0.99518
2006,Hesse,Tenant,No,0.99732,417,417,0.99235,1.00229
2006,"Rhineland-Palatinate, Saarland",Owner,No,0.98300,399,399,0.97030,0.99570
2006,"Rhineland-Palatinate, Saarland",Tenant,No,0.98128,316,316,0.96631,0.99625
2006,Baden-Wuerttemberg,Owner,No,0.99210,778,778,0.98588,0.99833
2006,Baden-Wuerttemberg,Tenant,No,0.99251,684,684,0.98604,0.99897
2006,Bavaria,Owner,No,0.98283,956,956,0.97460,0.99107
2006,Bavaria,Tenant,No,0.99647,754,754,0.99224,1.00071
2006,Berlin,Owner,No,0.99773,85,85,0.98756,1.00791
2006,Berlin,Tenant,No,0.99956,396,396,0.99748,1.00163
2006,Brandenburg,Owner,No,0.96025,212,212,0.93389,0.98661
2006,Brandenburg,Tenant,No,0.98996,312,312,0.97887,1.00104
2006,Mecklenburg-Western Pomerania,Owner,No,0.95927,132,132,0.92542,0.99312
2006,Mecklenburg-Western Pomerania,Tenant,No,0.99147,164,164,0.97735,1.00559
2006,Saxony,Owner,No,0.98641,340,340,0.97409,0.99874
2006,Saxony-Anhalt,Owner,No,0.98692,219,219,0.97183,1.00200
2006,Saxony-Anhalt,Tenant,No,0.99904,269,269,0.99533,1.00275
2006,Thuringa,Owner,No,0.98664,260,260,0.97265,1.00062
2006,Thuringa,Tenant,No,0.99787,249,249,0.99214,1.00361
2011,Schleswig-Holstein,Owner,No,0.89603,191,191,0.85263,0.93943
2011,Schleswig-Holstein,Tenant,No,0.90217,208,208,0.86170,0.94264
2011,Hamburg,Owner,No,0.88308,46,46,0.78920,0.97697
2011,Hamburg,Tenant,No,0.92947,146,146,0.88780,0.97115
2011,Lower Saxony,Owner,No,0.91040,640,640,0.88825,0.93254
2011,Lower Saxony,Tenant,No,0.88879,424,424,0.85883,0.91875
2011,Bremen,Tenant,No,0.88642,53,53,0.80017,0.97266
2011,North Rhine-Westphalia,Owner,No,0.93584,1124,1124,0.92151,0.95017
2011,North Rhine-Westphalia,Tenant,No,0.90300,1209,1209,0.88631,0.91969
2011,Hesse,Owner,No,0.92869,427,427,0.90425,0.95313
2011,Hesse,Tenant,No,0.88515,390,390,0.85347,0.91684
2011,"Rhineland-Palatinate, Saarland",Owner,No,0.92788,403,403,0.90260,0.95317
2011,"Rhineland-Palatinate, Saarland",Tenant,No,0.89262,297,297,0.85735,0.92789
2011,Baden-Wuerttemberg,Owner,No,0.92975,793,793,0.91195,0.94755
2011,Baden-Wuerttemberg,Tenant,No,0.88848,595,595,0.86317,0.91379
2011,Bavaria,Owner,No,0.92143,1003,1003,0.90477,0.93809
2011,Bavaria,Tenant,No,0.90341,818,818,0.88315,0.92366
2011,Berlin,Owner,No,0.94182,98,98,0.89524,0.98841
2011,Berlin,Tenant,No,0.92979,414,414,0.90515,0.95444
