year,rentown,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Owner,Yes,0.01851,98,5267,0.01487,0.02215
2001,Owner,No,0.98149,5169,5267,0.97785,0.98513
2001,Tenant,Yes,0.00549,36,6413,0.00368,0.00730
2001,Tenant,No,0.99451,6377,6413,0.99270,0.99632
2006,Owner,Yes,0.02032,119,6003,0.01675,0.02389
2006,Owner,No,0.97968,5884,6003,0.97611,0.98325
2006,Tenant,Yes,0.00493,35,6260,0.00320,0.00667
2006,Tenant,No,0.99507,6225,6260,0.99333,0.99680
2011,Owner,Yes,0.01564,92,5944,0.01249,0.01880
2011,Owner,No,0.98436,5852,5944,0.98120,0.98751
2011,Tenant,Yes,0.00644,42,6140,0.00444,0.00844
2011,Tenant,No,0.99356,6098,6140,0.99156,0.99556
2016,Owner,Yes,0.01770,120,6302,0.01444,0.02095
2016,Owner,No,0.98230,6182,6302,0.97905,0.98556
2016,Tenant,Yes,0.00509,42,7999,0.00353,0.00665
2016,Tenant,No,0.99491,7957,7999,0.99335,0.99647
2021,Owner,Yes,0.02023,110,5080,0.01636,0.02410
2021,Owner,No,0.97977,4970,5080,0.97590,0.98364
2021,Tenant,Yes,0.00562,35,5971,0.00373,0.00752
2021,Tenant,No,0.99438,5936,5971,0.99248,0.99627
