year,bula_h,regtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Urban regions,No,0.93037,135,135,0.88727,0.97346
2016,Schleswig-Holstein,Rural regions,No,0.97497,351,351,0.95861,0.99134
2016,Hamburg,Urban regions,No,0.98989,259,259,0.97768,1.00210
2016,Lower Saxony,Urban regions,No,0.98070,558,558,0.96928,0.99213
2016,Lower Saxony,Rural regions,No,0.97160,751,751,0.95971,0.98349
2016,Bremen,Urban regions,No,0.98427,103,103,0.96011,1.00842
2016,North Rhine-Westphalia,Urban regions,Yes,0.01295,72,2855,0.00880,0.01710
2016,North Rhine-Westphalia,Urban regions,No,0.98100,2783,2855,0.97599,0.98601
2016,North Rhine-Westphalia,Rural regions,No,0.94790,49,49,0.88502,1.01077
2016,Hesse,Urban regions,No,0.97984,784,784,0.97000,0.98969
2016,Hesse,Rural regions,No,0.98855,175,175,0.97275,1.00436
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97785,611,611,0.96617,0.98953
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.98435,220,220,0.96791,1.00079
2016,Baden-Wuerttemberg,Urban regions,Yes,0.01427,38,1454,0.00817,0.02037
2016,Baden-Wuerttemberg,Urban regions,No,0.98205,1416,1454,0.97522,0.98888
2016,Baden-Wuerttemberg,Rural regions,No,0.97623,169,169,0.95320,0.99927
2016,Bavaria,Urban regions,No,0.98565,1073,1073,0.97853,0.99277
2016,Bavaria,Rural regions,Yes,0.01457,31,1200,0.00779,0.02136
2016,Bavaria,Rural regions,No,0.98111,1169,1200,0.97340,0.98881
2016,Berlin,Urban regions,No,0.98833,597,597,0.97971,0.99695
2016,Brandenburg,Urban regions,No,0.97972,42,42,0.93657,1.02287
2016,Brandenburg,Rural regions,No,0.97339,500,500,0.95927,0.98751
2016,Mecklenburg-Western Pomerania,Urban regions,No,0.94838,43,43,0.88146,1.01529
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.96996,271,271,0.94960,0.99032
2016,Saxony,Urban regions,No,0.96769,447,447,0.95128,0.98410
2016,Saxony,Rural regions,No,0.94203,382,382,0.91857,0.96550
2016,Saxony-Anhalt,Urban regions,No,0.97583,122,122,0.94846,1.00319
2016,Saxony-Anhalt,Rural regions,No,0.97198,374,374,0.95523,0.98873
2016,Thuringa,Urban regions,No,0.97941,176,176,0.95837,1.00045
2016,Thuringa,Rural regions,No,0.96720,351,351,0.94854,0.98586
2021,Schleswig-Holstein,Urban regions,No,0.97194,152,152,0.94560,0.99828
2021,Schleswig-Holstein,Rural regions,No,0.96050,264,264,0.93696,0.98404
2021,Hamburg,Urban regions,No,0.95053,261,261,0.92418,0.97689
2021,Lower Saxony,Urban regions,No,0.97471,466,466,0.96043,0.98898
2021,Lower Saxony,Rural regions,No,0.97545,573,573,0.96277,0.98813
2021,Bremen,Urban regions,No,0.98587,79,79,0.95968,1.01206
2021,North Rhine-Westphalia,Urban regions,Yes,0.01286,48,2234,0.00819,0.01753
2021,North Rhine-Westphalia,Urban regions,No,0.97449,2186,2234,0.96795,0.98103
2021,North Rhine-Westphalia,Rural regions,No,0.93349,46,46,0.86069,1.00629
2021,Hesse,Urban regions,No,0.97352,548,548,0.96006,0.98697
2021,Hesse,Rural regions,No,0.96324,138,138,0.93173,0.99475
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.96798,404,404,0.95079,0.98517
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.98385,118,118,0.96100,1.00669
2021,Baden-Wuerttemberg,Urban regions,No,0.97198,1074,1074,0.96210,0.98185
2021,Baden-Wuerttemberg,Rural regions,No,0.98307,113,113,0.95917,1.00696
2021,Bavaria,Urban regions,No,0.97815,859,859,0.96836,0.98793
2021,Bavaria,Rural regions,No,0.97756,851,851,0.96760,0.98751
2021,Berlin,Urban regions,No,0.98019,549,549,0.96853,0.99186
2021,Brandenburg,Urban regions,No,0.98167,39,39,0.93901,1.02432
2021,Brandenburg,Rural regions,No,0.98403,398,398,0.97170,0.99636
2021,Mecklenburg-Western Pomerania,Urban regions,No,0.97035,48,48,0.92186,1.01884
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.99378,211,211,0.98314,1.00441
2021,Saxony,Urban regions,No,0.96322,373,373,0.94410,0.98235
2021,Saxony,Rural regions,No,0.96346,329,329,0.94315,0.98376
2021,Saxony-Anhalt,Urban regions,No,0.96614,79,79,0.92600,1.00628
2021,Saxony-Anhalt,Rural regions,No,0.97569,279,279,0.95758,0.99379
2021,Thuringa,Urban regions,No,0.98038,136,136,0.95699,1.00378
2021,Thuringa,Rural regions,No,0.97851,239,239,0.96009,0.99693
