year,hhtyp,rentown,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Owner,No,0.99995,931,931,0.99948,1.00041
2016,Single-person household,Tenant,No,0.99414,2440,2440,0.99111,0.99717
2016,Couple without children,Owner,No,0.99279,2207,2207,0.98926,0.99632
2016,Couple without children,Tenant,Yes,0.01154,31,1875,0.00671,0.01638
2016,Couple without children,Tenant,No,0.98846,1844,1875,0.98362,0.99329
2016,Single parent,Owner,No,0.97011,368,368,0.95268,0.98753
2016,Single parent,Tenant,Yes,0.04308,63,1142,0.03130,0.05486
2016,Single parent,Tenant,No,0.95692,1079,1142,0.94514,0.96870
2016,Couple with children,Owner,Yes,0.04358,137,2662,0.03583,0.05134
2016,Couple with children,Owner,No,0.95642,2525,2662,0.94866,0.96417
2016,Couple with children,Tenant,Yes,0.04257,105,2328,0.03436,0.05077
2016,Couple with children,Tenant,No,0.95743,2223,2328,0.94923,0.96564
2016,Multi-generational household,Owner,No,0.99312,51,51,0.97020,1.01603
2016,Multi-generational household,Tenant,No,0.94759,53,53,0.88702,1.00816
2016,Other Combinations,Tenant,No,0.93871,137,137,0.89840,0.97903
2021,Single-person household,Owner,No,0.99909,860,860,0.99707,1.00111
2021,Single-person household,Tenant,No,0.97881,2307,2307,0.97293,0.98469
2021,Couple without children,Owner,No,0.99434,1912,1912,0.99098,0.99771
2021,Couple without children,Tenant,No,0.97737,1467,1467,0.96975,0.98498
2021,Single parent,Owner,No,0.94743,239,239,0.91907,0.97578
2021,Single parent,Tenant,Yes,0.08052,37,647,0.05954,0.10151
2021,Single parent,Tenant,No,0.89716,610,647,0.87373,0.92058
2021,Couple with children,Owner,Yes,0.02703,87,1881,0.01970,0.03436
2021,Couple with children,Owner,No,0.96947,1794,1881,0.96170,0.97725
2021,Couple with children,Tenant,Yes,0.02961,48,1278,0.02031,0.03891
2021,Couple with children,Tenant,No,0.91749,1230,1278,0.90240,0.93258
2021,Multi-generational household,Owner,No,0.98565,39,39,0.94783,1.02347
2021,Multi-generational household,Tenant,No,0.93783,32,32,0.85284,1.02283
2021,Other Combinations,Owner,No,0.99228,105,105,0.97545,1.00910
2021,Other Combinations,Tenant,No,0.94454,155,155,0.90839,0.98069
