year,quintil_oecd_hh,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Yes,0.02014,102,3096,0.01519,0.02509
2016,1st Quintile,No,0.95355,2994,3096,0.94613,0.96096
2016,2nd Quintile,Yes,0.01856,108,3041,0.01376,0.02335
2016,2nd Quintile,No,0.98144,2933,3041,0.97665,0.98624
2016,3rd Quintile,Yes,0.01982,70,2743,0.01460,0.02503
2016,3rd Quintile,No,0.98018,2673,2743,0.97497,0.98540
2016,4th Quintile,Yes,0.01582,65,2662,0.01108,0.02056
2016,4th Quintile,No,0.98418,2597,2662,0.97944,0.98892
2016,5th Quintile,Yes,0.00796,46,2755,0.00464,0.01127
2016,5th Quintile,No,0.99204,2709,2755,0.98873,0.99536
2021,1st Quintile,Yes,0.01424,48,2042,0.00910,0.01939
2021,1st Quintile,No,0.94475,1994,2042,0.93483,0.95466
2021,2nd Quintile,Yes,0.02494,59,2184,0.01840,0.03148
2021,2nd Quintile,No,0.96835,2125,2184,0.96100,0.97569
2021,3rd Quintile,Yes,0.00813,45,2024,0.00421,0.01204
2021,3rd Quintile,No,0.99015,1979,2024,0.98585,0.99446
2021,4th Quintile,Yes,0.01570,41,2078,0.01036,0.02105
2021,4th Quintile,No,0.98340,2037,2078,0.97791,0.98890
2021,5th Quintile,Yes,0.01087,50,2709,0.00696,0.01477
2021,5th Quintile,No,0.98497,2659,2709,0.98038,0.98955
