year,regtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Yes,0.01371,228,9377,0.01135,0.01606
2016,Urban regions,No,0.98081,9149,9377,0.97804,0.98359
2016,Rural regions,Yes,0.02238,163,4925,0.01825,0.02652
2016,Rural regions,No,0.97270,4762,4925,0.96815,0.97725
2021,Urban regions,Yes,0.01393,156,7409,0.01126,0.01660
2021,Urban regions,No,0.97332,7253,7409,0.96965,0.97699
2021,Rural regions,Yes,0.01659,87,3646,0.01244,0.02073
2021,Rural regions,No,0.97531,3559,3646,0.97027,0.98035
