year,quintil_oecd_hh,rentown,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Owner,No,0.97442,379,379,0.95850,0.99033
2016,1st Quintile,Tenant,Yes,0.01984,85,2699,0.01458,0.02511
2016,1st Quintile,Tenant,No,0.98016,2614,2699,0.97489,0.98542
2016,2nd Quintile,Owner,Yes,0.02129,36,1026,0.01246,0.03013
2016,2nd Quintile,Owner,No,0.97871,990,1026,0.96987,0.98754
2016,2nd Quintile,Tenant,Yes,0.01699,72,2015,0.01135,0.02264
2016,2nd Quintile,Tenant,No,0.98301,1943,2015,0.97736,0.98865
2016,3rd Quintile,Owner,Yes,0.02211,46,1341,0.01423,0.02998
2016,3rd Quintile,Owner,No,0.97789,1295,1341,0.97002,0.98577
2016,3rd Quintile,Tenant,No,0.98256,1378,1378,0.97565,0.98947
2016,4th Quintile,Owner,Yes,0.01414,34,1561,0.00828,0.02000
2016,4th Quintile,Owner,No,0.98586,1527,1561,0.98000,0.99172
2016,4th Quintile,Tenant,Yes,0.01811,31,1101,0.01023,0.02599
2016,4th Quintile,Tenant,No,0.98189,1070,1101,0.97401,0.98977
2016,5th Quintile,Owner,Yes,0.00883,35,1978,0.00471,0.01295
2016,5th Quintile,Owner,No,0.99117,1943,1978,0.98705,0.99529
2016,5th Quintile,Tenant,No,0.99417,766,766,0.98877,0.99956
2021,1st Quintile,Owner,No,0.99086,265,265,0.97937,1.00234
2021,1st Quintile,Tenant,Yes,0.01556,43,1771,0.00979,0.02132
2021,1st Quintile,Tenant,No,0.93521,1728,1771,0.92374,0.94668
2021,2nd Quintile,Owner,No,0.98321,661,661,0.97341,0.99301
2021,2nd Quintile,Tenant,Yes,0.02907,41,1503,0.02057,0.03756
2021,2nd Quintile,Tenant,No,0.96084,1462,1503,0.95103,0.97065
2021,3rd Quintile,Owner,Yes,0.01048,31,927,0.00392,0.01704
2021,3rd Quintile,Owner,No,0.98931,896,927,0.98269,0.99593
2021,3rd Quintile,Tenant,No,0.99096,1083,1083,0.98532,0.99660
2021,4th Quintile,Owner,No,0.98272,1184,1184,0.97529,0.99015
2021,4th Quintile,Tenant,No,0.98443,853,853,0.97612,0.99275
2021,5th Quintile,Owner,Yes,0.00622,34,1988,0.00277,0.00968
2021,5th Quintile,Owner,No,0.99108,1954,1988,0.98694,0.99521
2021,5th Quintile,Tenant,No,0.96746,703,703,0.95433,0.98058
