year,rentown,sampreg,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,West,Yes,0.01403,122,5146,0.01082,0.01724
2016,Owner,West,No,0.98597,5024,5146,0.98276,0.98918
2016,Owner,East,Yes,0.02868,46,1156,0.01905,0.03831
2016,Owner,East,No,0.97132,1110,1156,0.96169,0.98095
2016,Tenant,West,Yes,0.01491,160,6081,0.01186,0.01795
2016,Tenant,West,No,0.98509,5921,6081,0.98205,0.98814
2016,Tenant,East,Yes,0.02433,63,1918,0.01743,0.03123
2016,Tenant,East,No,0.97567,1855,1918,0.96877,0.98257
2021,Owner,West,Yes,0.01088,86,4127,0.00771,0.01404
2021,Owner,West,No,0.98802,4041,4127,0.98470,0.99134
2021,Owner,East,No,0.98377,924,924,0.97562,0.99192
2021,Tenant,West,Yes,0.01798,92,4534,0.01412,0.02185
2021,Tenant,West,No,0.96038,4442,4534,0.95470,0.96606
2021,Tenant,East,Yes,0.01585,36,1437,0.00939,0.02230
2021,Tenant,East,No,0.96900,1401,1437,0.96004,0.97797
