year,bula_h,hhtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Single-person household,No,0.94801,125,125,0.90893,0.98708
2016,Schleswig-Holstein,Couple without children,No,0.98992,130,130,0.97268,1.00716
2016,Schleswig-Holstein,Single parent,No,0.96268,54,54,0.91166,1.01371
2016,Schleswig-Holstein,Couple with children,No,0.94605,166,166,0.91158,0.98052
2016,Hamburg,Single-person household,No,0.99315,71,71,0.97382,1.01247
2016,Hamburg,Couple without children,No,0.98362,66,66,0.95276,1.01448
2016,Hamburg,Couple with children,No,0.98981,88,88,0.96871,1.01091
2016,Lower Saxony,Single-person household,No,0.99032,287,287,0.97898,1.00167
2016,Lower Saxony,Couple without children,No,0.98834,390,390,0.97767,0.99901
2016,Lower Saxony,Single parent,No,0.90829,144,144,0.86099,0.95560
2016,Lower Saxony,Couple with children,No,0.95290,457,457,0.93345,0.97234
2016,Bremen,Couple with children,No,0.96041,35,35,0.89486,1.02595
2016,North Rhine-Westphalia,Single-person household,No,0.99119,604,604,0.98372,0.99865
2016,North Rhine-Westphalia,Couple without children,No,0.99099,775,775,0.98433,0.99765
2016,North Rhine-Westphalia,Single parent,No,0.97291,300,300,0.95451,0.99131
2016,North Rhine-Westphalia,Couple with children,Yes,0.03780,47,1139,0.02672,0.04888
2016,North Rhine-Westphalia,Couple with children,No,0.95373,1092,1139,0.94152,0.96593
2016,North Rhine-Westphalia,Other Combinations,No,0.95856,44,44,0.89899,1.01813
2016,Hesse,Single-person household,No,0.99497,209,209,0.98536,1.00458
2016,Hesse,Couple without children,No,0.99665,280,280,0.98987,1.00343
2016,Hesse,Single parent,No,0.95907,103,103,0.92062,0.99752
2016,Hesse,Couple with children,No,0.94685,334,334,0.92275,0.97094
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.99098,205,205,0.97801,1.00395
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99928,239,239,0.99586,1.00269
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.96922,79,79,0.93088,1.00755
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94095,282,282,0.91339,0.96851
2016,Baden-Wuerttemberg,Single-person household,No,0.99168,347,347,0.98210,1.00125
2016,Baden-Wuerttemberg,Couple without children,No,0.99722,426,426,0.99222,1.00223
2016,Baden-Wuerttemberg,Single parent,No,0.95205,139,139,0.91640,0.98770
2016,Baden-Wuerttemberg,Couple with children,No,0.95732,641,641,0.94166,0.97298
2016,Bavaria,Single-person household,No,0.99422,514,514,0.98766,1.00078
2016,Bavaria,Couple without children,No,0.98024,626,626,0.96933,0.99115
2016,Bavaria,Single parent,No,0.98441,230,230,0.96837,1.00046
2016,Bavaria,Couple with children,Yes,0.02589,35,866,0.01530,0.03647
2016,Bavaria,Couple with children,No,0.96924,831,866,0.95774,0.98075
2016,Berlin,Single-person household,No,0.99781,227,227,0.99172,1.00390
2016,Berlin,Couple without children,No,0.99936,166,166,0.99549,1.00323
2016,Berlin,Single parent,No,0.93359,63,63,0.87160,0.99557
2016,Berlin,Couple with children,No,0.95492,130,130,0.91912,0.99072
2016,Brandenburg,Single-person household,No,0.98960,133,133,0.97230,1.00691
2016,Brandenburg,Couple without children,No,0.99741,211,211,0.99053,1.00429
2016,Brandenburg,Single parent,No,0.90791,48,48,0.82524,0.99058
2016,Brandenburg,Couple with children,No,0.91422,139,139,0.86750,0.96094
2016,Mecklenburg-Western Pomerania,Single-person household,No,0.98622,101,101,0.96337,1.00907
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.99863,106,106,0.99154,1.00571
2016,Mecklenburg-Western Pomerania,Single parent,No,0.86772,35,35,0.75384,0.98160
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.87177,68,68,0.79171,0.95183
2016,Saxony,Single-person household,No,0.97399,225,225,0.95314,0.99483
2016,Saxony,Couple without children,No,0.97712,282,282,0.95964,0.99460
2016,Saxony,Single parent,No,0.95146,89,89,0.90656,0.99636
2016,Saxony,Couple with children,No,0.89526,222,222,0.85489,0.93564
2016,Saxony-Anhalt,Single-person household,No,0.99228,148,148,0.97812,1.00643
2016,Saxony-Anhalt,Couple without children,No,0.98661,151,151,0.96821,1.00500
2016,Saxony-Anhalt,Single parent,No,0.92863,67,67,0.86653,0.99074
2016,Saxony-Anhalt,Couple with children,No,0.89998,122,122,0.84653,0.95344
