year,hhtyp,sampreg,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,West,No,0.99070,2523,2523,0.98695,0.99445
2016,Single-person household,East,No,0.98645,849,849,0.97867,0.99423
2016,Couple without children,West,Yes,0.00843,33,3085,0.00521,0.01166
2016,Couple without children,West,No,0.99081,3052,3085,0.98744,0.99418
2016,Couple without children,East,No,0.98756,999,999,0.98069,0.99444
2016,Single parent,West,Yes,0.03326,56,1188,0.02306,0.04346
2016,Single parent,West,No,0.96119,1132,1188,0.95021,0.97218
2016,Single parent,East,No,0.92396,315,315,0.89464,0.95328
2016,Couple with children,West,Yes,0.03628,173,4169,0.03060,0.04195
2016,Couple with children,West,No,0.95644,3996,4169,0.95024,0.96263
2016,Couple with children,East,Yes,0.08060,69,821,0.06197,0.09923
2016,Couple with children,East,No,0.91018,752,821,0.89061,0.92975
2016,Multi-generational household,West,No,0.96953,81,81,0.93186,1.00719
2016,Other Combinations,West,No,0.92448,162,162,0.88366,0.96529
2021,Single-person household,West,No,0.98544,2463,2463,0.98071,0.99017
2021,Single-person household,East,No,0.98665,705,705,0.97817,0.99513
2021,Couple without children,West,No,0.98776,2570,2570,0.98351,0.99202
2021,Couple without children,East,No,0.98697,810,810,0.97915,0.99478
2021,Single parent,West,Yes,0.07356,33,657,0.05358,0.09354
2021,Single parent,West,No,0.90937,624,657,0.88740,0.93133
2021,Single parent,East,No,0.92248,225,225,0.88746,0.95750
2021,Couple with children,West,Yes,0.02636,100,2611,0.02021,0.03251
2021,Couple with children,West,No,0.95039,2511,2611,0.94206,0.95872
2021,Couple with children,East,Yes,0.03818,35,551,0.02217,0.05420
2021,Couple with children,East,No,0.94141,516,551,0.92178,0.96104
2021,Multi-generational household,West,No,0.96215,56,56,0.91171,1.01258
2021,Other Combinations,West,No,0.96207,217,217,0.93660,0.98755
2021,Other Combinations,East,No,0.97985,43,43,0.93736,1.02235
