year,quintil_oecd_hh,sampreg,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,West,Yes,0.01626,68,2276,0.01106,0.02146
2016,1st Quintile,West,No,0.95535,2208,2276,0.94686,0.96383
2016,1st Quintile,East,Yes,0.03212,34,820,0.02004,0.04419
2016,1st Quintile,East,No,0.94799,786,820,0.93278,0.96319
2016,2nd Quintile,West,Yes,0.01869,79,2242,0.01308,0.02430
2016,2nd Quintile,West,No,0.98131,2163,2242,0.97570,0.98692
2016,2nd Quintile,East,No,0.98191,770,770,0.97249,0.99133
2016,3rd Quintile,West,Yes,0.01675,48,2071,0.01122,0.02228
2016,3rd Quintile,West,No,0.98325,2023,2071,0.97772,0.98878
2016,3rd Quintile,East,No,0.96863,650,650,0.95522,0.98204
2016,4th Quintile,West,Yes,0.01482,52,2205,0.00977,0.01986
2016,4th Quintile,West,No,0.98518,2153,2205,0.98014,0.99023
2016,4th Quintile,East,No,0.97774,444,444,0.96400,0.99148
2016,5th Quintile,West,Yes,0.00686,35,2429,0.00358,0.01015
2016,5th Quintile,West,No,0.99314,2394,2429,0.98985,0.99642
2016,5th Quintile,East,No,0.98029,315,315,0.96492,0.99567
2021,1st Quintile,West,Yes,0.01481,34,1508,0.00871,0.02091
2021,1st Quintile,West,No,0.94074,1474,1508,0.92882,0.95266
2021,1st Quintile,East,No,0.95891,520,520,0.94183,0.97599
2021,2nd Quintile,West,Yes,0.02888,47,1617,0.02071,0.03705
2021,2nd Quintile,West,No,0.96386,1570,1617,0.95477,0.97296
2021,2nd Quintile,East,No,0.98500,555,555,0.97487,0.99512
2021,3rd Quintile,West,No,0.99322,1525,1525,0.98910,0.99734
2021,3rd Quintile,East,No,0.97695,454,454,0.96313,0.99077
2021,4th Quintile,West,Yes,0.01386,33,1688,0.00828,0.01944
2021,4th Quintile,West,No,0.98532,1655,1688,0.97958,0.99106
2021,4th Quintile,East,No,0.97202,382,382,0.95546,0.98858
2021,5th Quintile,West,Yes,0.01087,40,2288,0.00662,0.01512
2021,5th Quintile,West,No,0.98452,2248,2288,0.97946,0.98958
2021,5th Quintile,East,No,0.98889,411,411,0.97875,0.99904
