year,hhtyp,quintil_oecd_hh,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,1st Quintile,No,0.97107,982,982,0.96058,0.98156
2016,Single-person household,2nd Quintile,No,0.99523,723,723,0.99021,1.00026
2016,Single-person household,3rd Quintile,No,0.99559,632,632,0.99042,1.00076
2016,Single-person household,4th Quintile,No,0.99856,551,551,0.99540,1.00173
2016,Couple without children,1st Quintile,No,0.98613,429,429,0.97504,0.99721
2016,Couple without children,2nd Quintile,No,0.99514,705,705,0.99000,1.00028
2016,Couple without children,3rd Quintile,No,0.98373,751,751,0.97467,0.99278
2016,Couple without children,4th Quintile,No,0.98468,909,909,0.97669,0.99267
2016,Couple without children,5th Quintile,No,0.99735,1257,1257,0.99451,1.00019
2016,Single parent,1st Quintile,Yes,0.05400,41,653,0.03665,0.07135
2016,Single parent,1st Quintile,No,0.92973,612,653,0.91011,0.94935
2016,Single parent,2nd Quintile,No,0.96387,383,383,0.94516,0.98258
2016,Single parent,3rd Quintile,No,0.96924,226,226,0.94667,0.99180
2016,Single parent,4th Quintile,No,0.97843,146,146,0.95478,1.00208
2016,Single parent,5th Quintile,No,0.99185,80,80,0.97201,1.01168
2016,Couple with children,1st Quintile,Yes,0.05576,45,926,0.04097,0.07055
2016,Couple with children,1st Quintile,No,0.89085,881,926,0.87075,0.91094
2016,Couple with children,2nd Quintile,Yes,0.04954,70,1112,0.03678,0.06230
2016,Couple with children,2nd Quintile,No,0.95046,1042,1112,0.93770,0.96322
2016,Couple with children,3rd Quintile,Yes,0.04726,53,1057,0.03446,0.06005
2016,Couple with children,3rd Quintile,No,0.95274,1004,1057,0.93995,0.96554
2016,Couple with children,4th Quintile,Yes,0.03725,38,993,0.02546,0.04903
2016,Couple with children,4th Quintile,No,0.96275,955,993,0.95097,0.97454
2016,Couple with children,5th Quintile,Yes,0.02911,36,901,0.01813,0.04009
2016,Couple with children,5th Quintile,No,0.97089,865,901,0.95991,0.98187
2016,Multi-generational household,1st Quintile,No,0.94015,33,33,0.85797,1.02234
2016,Other Combinations,1st Quintile,No,0.77164,57,57,0.66169,0.88158
2016,Other Combinations,2nd Quintile,No,0.88876,44,44,0.79478,0.98274
2021,Single-person household,1st Quintile,No,0.96970,921,921,0.95862,0.98077
2021,Single-person household,2nd Quintile,No,0.98932,622,622,0.98124,0.99741
2021,Single-person household,3rd Quintile,No,0.99678,557,557,0.99208,1.00149
2021,Single-person household,4th Quintile,No,0.99734,512,512,0.99288,1.00181
2021,Single-person household,5th Quintile,No,0.98968,540,540,0.98115,0.99821
2021,Couple without children,1st Quintile,No,0.97587,336,336,0.95944,0.99231
2021,Couple without children,2nd Quintile,No,0.98206,554,554,0.97100,0.99313
2021,Couple without children,3rd Quintile,No,0.99645,559,559,0.99151,1.00138
2021,Couple without children,4th Quintile,No,0.98357,691,691,0.97408,0.99305
2021,Couple without children,5th Quintile,No,0.99160,1238,1238,0.98651,0.99669
2021,Single parent,1st Quintile,No,0.88826,256,256,0.84959,0.92693
2021,Single parent,2nd Quintile,No,0.87805,259,259,0.83813,0.91798
2021,Single parent,3rd Quintile,No,0.98720,138,138,0.96837,1.00602
2021,Single parent,4th Quintile,No,0.94167,121,121,0.89974,0.98361
2021,Single parent,5th Quintile,No,0.97984,74,74,0.94760,1.01208
2021,Couple with children,1st Quintile,No,0.83449,390,390,0.79756,0.87142
2021,Couple with children,2nd Quintile,No,0.94619,604,604,0.92819,0.96420
2021,Couple with children,3rd Quintile,Yes,0.02511,35,688,0.01341,0.03682
2021,Couple with children,3rd Quintile,No,0.97283,653,688,0.96067,0.98499
2021,Couple with children,4th Quintile,No,0.96667,642,642,0.95277,0.98056
2021,Couple with children,5th Quintile,Yes,0.02287,31,769,0.01230,0.03344
2021,Couple with children,5th Quintile,No,0.96789,738,769,0.95542,0.98036
2021,Other Combinations,1st Quintile,No,0.88870,54,54,0.80402,0.97337
2021,Other Combinations,2nd Quintile,No,0.99079,54,54,0.96508,1.01651
2021,Other Combinations,3rd Quintile,No,0.99664,50,50,0.98043,1.01285
2021,Other Combinations,4th Quintile,No,0.98552,50,50,0.95206,1.01897
2021,Other Combinations,5th Quintile,No,0.96142,52,52,0.90857,1.01428
