year,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Yes,0.01645,391,14302,0.01437,0.01854
2016,No,0.97825,13911,14302,0.97586,0.98064
2021,Yes,0.01476,243,11056,0.01251,0.01700
2021,No,0.97396,10813,11056,0.97099,0.97692
