year,bula_h,quintil_oecd_hh,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Saxony,1st Quintile,No,0.94487,152,152,0.90847,0.98128
2021,Saxony,2nd Quintile,No,0.98487,169,169,0.96642,1.00333
2021,Saxony,3rd Quintile,No,0.97480,159,159,0.95037,0.99924
2021,Saxony,4th Quintile,No,0.92865,108,108,0.87988,0.97743
2021,Saxony,5th Quintile,No,0.96813,112,112,0.93545,1.00081
2021,Saxony-Anhalt,1st Quintile,No,0.96513,90,90,0.92702,1.00324
2021,Saxony-Anhalt,2nd Quintile,No,0.97947,86,86,0.94932,1.00962
2021,Saxony-Anhalt,3rd Quintile,No,0.99645,73,73,0.98270,1.01019
2021,Saxony-Anhalt,4th Quintile,No,0.93782,56,56,0.87400,1.00164
2021,Saxony-Anhalt,5th Quintile,No,0.99962,52,52,0.99424,1.00499
2021,Thuringa,1st Quintile,No,0.95626,92,92,0.91424,0.99828
2021,Thuringa,2nd Quintile,No,0.99649,96,96,0.98460,1.00838
2021,Thuringa,3rd Quintile,No,0.95310,63,63,0.90047,1.00573
2021,Thuringa,4th Quintile,No,0.99961,63,63,0.99470,1.00452
2021,Thuringa,5th Quintile,No,0.99826,61,61,0.98771,1.00881
