year,age_gr,quintil_oecd,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Full-time,0.27614,218,360,0.22989,0.32238
1984,17-29 y.,1st Quintile,Part-time,0.10891,80,360,0.07669,0.14114
1984,17-29 y.,1st Quintile,Either,0.09065,62,360,0.06095,0.12035
1984,17-29 y.,2nd Quintile,Full-time,0.25755,161,246,0.20279,0.31231
1984,17-29 y.,2nd Quintile,Part-time,0.07960,54,246,0.04571,0.11350
1984,17-29 y.,2nd Quintile,Either,0.05103,31,246,0.02348,0.07859
1984,17-29 y.,3rd Quintile,Full-time,0.20493,136,174,0.14478,0.26508
1984,17-29 y.,3rd Quintile,Part-time,0.06186,38,174,0.02596,0.09776
1984,17-29 y.,4th Quintile,Full-time,0.17441,119,119,0.10594,0.24288
1984,17-29 y.,5th Quintile,Full-time,0.16180,82,82,0.08160,0.24199
1984,30-45 y.,1st Quintile,Full-time,0.11799,87,197,0.07283,0.16315
1984,30-45 y.,1st Quintile,Part-time,0.18508,110,197,0.13071,0.23945
1984,30-45 y.,2nd Quintile,Full-time,0.03908,41,125,0.00497,0.07319
1984,30-45 y.,2nd Quintile,Part-time,0.12582,84,125,0.06745,0.18420
1984,30-45 y.,3rd Quintile,Part-time,0.10433,68,68,0.03113,0.17753
1984,30-45 y.,4th Quintile,Part-time,0.08029,53,53,0.00643,0.15415
1984,30-45 y.,5th Quintile,Part-time,0.06022,45,45,-0.01007,0.13051
1984,46-65 y.,1st Quintile,Full-time,0.04987,39,39,-0.01934,0.11909
1985,17-29 y.,1st Quintile,Full-time,0.27450,211,311,0.22482,0.32418
1985,17-29 y.,1st Quintile,Part-time,0.08814,68,311,0.05658,0.11970
1985,17-29 y.,1st Quintile,Either,0.04934,32,311,0.02523,0.07345
1985,17-29 y.,2nd Quintile,Full-time,0.21523,123,165,0.15233,0.27813
1985,17-29 y.,2nd Quintile,Part-time,0.07236,42,165,0.03271,0.11201
1985,17-29 y.,3rd Quintile,Full-time,0.20264,133,133,0.13406,0.27121
1985,17-29 y.,4th Quintile,Full-time,0.13534,90,90,0.06427,0.20641
1985,17-29 y.,5th Quintile,Full-time,0.16371,75,75,0.07941,0.24802
1985,30-45 y.,1st Quintile,Full-time,0.10019,66,140,0.05027,0.15011
1985,30-45 y.,1st Quintile,Part-time,0.12942,74,140,0.07362,0.18522
1985,30-45 y.,2nd Quintile,Full-time,0.04250,37,107,0.00410,0.08091
1985,30-45 y.,2nd Quintile,Part-time,0.10737,70,107,0.04843,0.16630
1985,30-45 y.,3rd Quintile,Part-time,0.07459,42,42,-0.00583,0.15502
1985,30-45 y.,4th Quintile,Part-time,0.05525,35,35,-0.02155,0.13205
1985,30-45 y.,5th Quintile,Part-time,0.04858,33,33,-0.02591,0.12307
1985,46-65 y.,1st Quintile,Full-time,0.06729,38,38,-0.01344,0.14801
1986,17-29 y.,1st Quintile,Full-time,0.28459,198,257,0.22931,0.33986
1986,17-29 y.,1st Quintile,Part-time,0.09382,59,257,0.05810,0.12954
1986,17-29 y.,2nd Quintile,Full-time,0.19969,129,168,0.13906,0.26032
1986,17-29 y.,2nd Quintile,Part-time,0.06115,39,168,0.02481,0.09750
1986,17-29 y.,3rd Quintile,Full-time,0.16625,111,111,0.09668,0.23583
1986,17-29 y.,4th Quintile,Full-time,0.14840,95,95,0.07653,0.22027
1986,17-29 y.,5th Quintile,Full-time,0.15967,79,79,0.07838,0.24096
1986,30-45 y.,1st Quintile,Full-time,0.12354,59,126,0.06585,0.18122
1986,30-45 y.,1st Quintile,Part-time,0.12467,67,126,0.06676,0.18258
1986,30-45 y.,2nd Quintile,Full-time,0.04398,32,98,0.00317,0.08478
1986,30-45 y.,2nd Quintile,Part-time,0.11720,66,98,0.05319,0.18121
1986,30-45 y.,3rd Quintile,Part-time,0.07540,46,46,-0.00174,0.15255
1986,30-45 y.,4th Quintile,Part-time,0.06345,38,38,-0.01510,0.14200
1986,30-45 y.,5th Quintile,Part-time,0.04563,32,32,-0.02783,0.11909
1986,46-65 y.,1st Quintile,Full-time,0.06619,43,43,-0.00900,0.14138
1987,17-29 y.,1st Quintile,Full-time,0.30821,188,274,0.25344,0.36299
1987,17-29 y.,1st Quintile,Part-time,0.09674,54,274,0.06168,0.13181
1987,17-29 y.,1st Quintile,Either,0.04237,32,274,0.01848,0.06627
1987,17-29 y.,2nd Quintile,Full-time,0.17545,121,164,0.11706,0.23384
1987,17-29 y.,2nd Quintile,Part-time,0.06948,43,164,0.03045,0.10852
1987,17-29 y.,3rd Quintile,Full-time,0.14466,101,101,0.07571,0.21360
1987,17-29 y.,4th Quintile,Full-time,0.13507,100,100,0.06774,0.20240
1987,17-29 y.,5th Quintile,Full-time,0.13399,69,69,0.05303,0.21496
1987,30-45 y.,1st Quintile,Full-time,0.12570,58,124,0.06711,0.18428
1987,30-45 y.,1st Quintile,Part-time,0.11964,66,124,0.06228,0.17699
1987,30-45 y.,2nd Quintile,Part-time,0.12133,71,71,0.04484,0.19782
1987,30-45 y.,3rd Quintile,Part-time,0.09727,52,52,0.01594,0.17860
1987,30-45 y.,4th Quintile,Part-time,0.07467,41,41,-0.00679,0.15613
1987,30-45 y.,5th Quintile,Part-time,0.04883,31,31,-0.02829,0.12595
1987,46-65 y.,1st Quintile,Full-time,0.06639,39,39,-0.01277,0.14555
1988,17-29 y.,1st Quintile,Full-time,0.28078,174,227,0.22219,0.33937
1988,17-29 y.,1st Quintile,Part-time,0.09108,53,227,0.05356,0.12859
1988,17-29 y.,2nd Quintile,Full-time,0.21232,116,150,0.14666,0.27799
1988,17-29 y.,2nd Quintile,Part-time,0.07981,34,150,0.03629,0.12332
