year,age_gr,bula_h,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Lower Saxony,Full-time,0.25222,87,87,0.16043,0.34400
1984,17-29 y.,North Rhine-Westphalia,Full-time,0.25573,241,380,0.21180,0.29965
1984,17-29 y.,North Rhine-Westphalia,Part-time,0.04848,51,380,0.02685,0.07010
1984,17-29 y.,North Rhine-Westphalia,Either,0.04992,51,380,0.02800,0.07185
1984,17-29 y.,North Rhine-Westphalia,I'm not sure yet,0.03777,37,380,0.01857,0.05696
1984,17-29 y.,Hesse,Full-time,0.22014,78,110,0.14235,0.29792
1984,17-29 y.,Hesse,Part-time,0.08737,32,110,0.03436,0.14038
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Full-time,0.17787,42,42,0.06081,0.29492
1984,17-29 y.,Baden-Wuerttemberg,Full-time,0.21128,121,155,0.14680,0.27575
1984,17-29 y.,Baden-Wuerttemberg,Part-time,0.05711,34,155,0.02046,0.09376
1984,17-29 y.,Bavaria,Full-time,0.16589,97,129,0.10145,0.23033
1984,17-29 y.,Bavaria,Either,0.05191,32,129,0.01347,0.09034
1984,30-45 y.,Lower Saxony,Part-time,0.08751,33,33,-0.01040,0.18541
1984,30-45 y.,North Rhine-Westphalia,Full-time,0.04639,53,166,0.01429,0.07848
1984,30-45 y.,North Rhine-Westphalia,Part-time,0.12186,113,166,0.07194,0.17177
1984,30-45 y.,Baden-Wuerttemberg,Full-time,0.03506,31,100,-0.00117,0.07129
1984,30-45 y.,Baden-Wuerttemberg,Part-time,0.11689,69,100,0.05360,0.18018
1984,30-45 y.,Bavaria,Part-time,0.11252,68,68,0.03685,0.18818
1985,17-29 y.,Lower Saxony,Full-time,0.28232,89,89,0.18827,0.37637
1985,17-29 y.,North Rhine-Westphalia,Full-time,0.21807,184,230,0.16459,0.27155
1985,17-29 y.,North Rhine-Westphalia,Part-time,0.05294,46,230,0.02394,0.08194
1985,17-29 y.,Hesse,Full-time,0.17616,64,64,0.08208,0.27023
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Full-time,0.15669,39,39,0.04111,0.27227
1985,17-29 y.,Baden-Wuerttemberg,Full-time,0.19372,114,114,0.12085,0.26659
1985,17-29 y.,Bavaria,Full-time,0.15037,87,87,0.07482,0.22591
1985,30-45 y.,North Rhine-Westphalia,Full-time,0.04000,41,113,0.00371,0.07629
1985,30-45 y.,North Rhine-Westphalia,Part-time,0.07749,72,113,0.02798,0.12701
1985,30-45 y.,Baden-Wuerttemberg,Part-time,0.11081,58,58,0.02932,0.19230
1985,30-45 y.,Bavaria,Part-time,0.06210,37,37,-0.01673,0.14094
1986,17-29 y.,Lower Saxony,Full-time,0.19220,67,67,0.09713,0.28726
1986,17-29 y.,North Rhine-Westphalia,Full-time,0.23039,197,238,0.17678,0.28400
1986,17-29 y.,North Rhine-Westphalia,Part-time,0.05196,41,238,0.02371,0.08022
1986,17-29 y.,Hesse,Full-time,0.13533,54,54,0.04323,0.22743
1986,17-29 y.,"Rhineland-Palatinate, Saarland",Full-time,0.16213,40,40,0.04646,0.27781
1986,17-29 y.,Baden-Wuerttemberg,Full-time,0.19668,116,116,0.12403,0.26933
1986,17-29 y.,Bavaria,Full-time,0.19270,94,94,0.11254,0.27286
1986,30-45 y.,North Rhine-Westphalia,Full-time,0.05274,45,120,0.01258,0.09290
1986,30-45 y.,North Rhine-Westphalia,Part-time,0.08501,75,120,0.03490,0.13511
1986,30-45 y.,Baden-Wuerttemberg,Part-time,0.08560,46,46,0.00386,0.16735
1986,30-45 y.,Bavaria,Part-time,0.06932,40,40,-0.01040,0.14904
1986,46-65 y.,North Rhine-Westphalia,Part-time,0.03817,35,35,-0.02624,0.10258
1987,17-29 y.,Lower Saxony,Full-time,0.19232,69,69,0.09864,0.28600
1987,17-29 y.,North Rhine-Westphalia,Full-time,0.24232,198,240,0.18800,0.29665
1987,17-29 y.,North Rhine-Westphalia,Part-time,0.04642,42,240,0.01974,0.07309
1987,17-29 y.,Hesse,Full-time,0.13062,47,47,0.03324,0.22801
1987,17-29 y.,"Rhineland-Palatinate, Saarland",Full-time,0.13699,31,31,0.01395,0.26002
1987,17-29 y.,Baden-Wuerttemberg,Full-time,0.16732,113,113,0.09819,0.23645
1987,17-29 y.,Bavaria,Full-time,0.13721,79,79,0.06085,0.21357
1987,30-45 y.,North Rhine-Westphalia,Full-time,0.03884,38,126,0.00497,0.07272
1987,30-45 y.,North Rhine-Westphalia,Part-time,0.10455,88,126,0.05091,0.15818
1987,30-45 y.,Baden-Wuerttemberg,Part-time,0.08720,50,50,0.00820,0.16619
1987,30-45 y.,Bavaria,Part-time,0.07559,41,41,-0.00633,0.15751
1987,46-65 y.,North Rhine-Westphalia,Part-time,0.03847,32,32,-0.02923,0.10618
1988,17-29 y.,Lower Saxony,Full-time,0.18122,59,59,0.08209,0.28036
1988,17-29 y.,North Rhine-Westphalia,Full-time,0.22378,184,227,0.16945,0.27812
1988,17-29 y.,North Rhine-Westphalia,Part-time,0.05864,43,227,0.02801,0.08927
1988,17-29 y.,Hesse,Full-time,0.20710,54,54,0.09800,0.31619
1988,17-29 y.,"Rhineland-Palatinate, Saarland",Full-time,0.17410,41,41,0.05658,0.29161
1988,17-29 y.,Baden-Wuerttemberg,Full-time,0.19848,117,117,0.12590,0.27106
1988,17-29 y.,Bavaria,Full-time,0.17201,76,76,0.08660,0.25742
1988,30-45 y.,North Rhine-Westphalia,Full-time,0.05481,38,114,0.01284,0.09678
1988,30-45 y.,North Rhine-Westphalia,Part-time,0.09259,76,114,0.03915,0.14603
1988,30-45 y.,Baden-Wuerttemberg,Part-time,0.08585,40,40,-0.00207,0.17377
1988,30-45 y.,Bavaria,Part-time,0.06189,35,35,-0.01910,0.14289
1988,46-65 y.,North Rhine-Westphalia,Part-time,0.03934,32,32,-0.02910,0.10777
1989,17-29 y.,Lower Saxony,Full-time,0.19897,56,56,0.09346,0.30448
1989,17-29 y.,North Rhine-Westphalia,Full-time,0.18434,154,196,0.12991,0.23877
1989,17-29 y.,North Rhine-Westphalia,Part-time,0.05319,42,196,0.02169,0.08469
1989,17-29 y.,Hesse,Full-time,0.19838,51,51,0.08784,0.30892
1989,17-29 y.,"Rhineland-Palatinate, Saarland",Full-time,0.14047,35,35,0.02367,0.25727
1989,17-29 y.,Baden-Wuerttemberg,Full-time,0.16830,87,87,0.08923,0.24738
1989,17-29 y.,Bavaria,Full-time,0.17418,75,75,0.08776,0.26059
