year,migback,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Full-time,0.05566,607,1393,0.04362,0.06771
1984,No migration background,Part-time,0.04438,525,1393,0.03356,0.05519
1984,No migration background,Either,0.01351,157,1393,0.00745,0.01958
1984,No migration background,I'm not sure yet,0.00919,104,1393,0.00417,0.01420
1984,Direct migration background,Full-time,0.08585,346,610,0.06360,0.10811
1984,Direct migration background,Part-time,0.04198,137,610,0.02606,0.05791
1984,Direct migration background,Either,0.01979,72,610,0.00873,0.03085
1984,Direct migration background,I'm not sure yet,0.01238,55,610,0.00360,0.02116
1985,No migration background,Full-time,0.05524,549,1062,0.04149,0.06899
1985,No migration background,Part-time,0.03233,356,1062,0.02168,0.04297
1985,No migration background,Either,0.00904,87,1062,0.00335,0.01474
1985,No migration background,I'm not sure yet,0.00675,70,1062,0.00182,0.01167
1985,Direct migration background,Full-time,0.07734,291,440,0.05235,0.10233
1985,Direct migration background,Part-time,0.04530,118,440,0.02585,0.06475
1985,Direct migration background,Either,0.00928,31,440,0.00031,0.01825
1986,No migration background,Full-time,0.05388,534,1030,0.04008,0.06767
1986,No migration background,Part-time,0.03273,341,1030,0.02185,0.04360
1986,No migration background,Either,0.00824,83,1030,0.00271,0.01376
1986,No migration background,I'm not sure yet,0.00666,72,1030,0.00169,0.01162
1986,Direct migration background,Full-time,0.08211,287,407,0.05540,0.10881
1986,Direct migration background,Part-time,0.03570,120,407,0.01765,0.05374
1987,No migration background,Full-time,0.04865,494,1050,0.03563,0.06166
1987,No migration background,Part-time,0.03801,373,1050,0.02643,0.04958
1987,No migration background,Either,0.01086,109,1050,0.00459,0.01714
1987,No migration background,I'm not sure yet,0.00628,74,1050,0.00150,0.01106
1987,Direct migration background,Full-time,0.07171,255,469,0.04833,0.09508
1987,Direct migration background,Part-time,0.04003,113,469,0.02227,0.05779
1987,Direct migration background,Either,0.01725,60,469,0.00545,0.02904
1987,Direct migration background,I'm not sure yet,0.00853,41,469,0.00020,0.01686
1987,Indirect migration background,Full-time,0.01375,36,36,-0.02483,0.05234
1988,No migration background,Full-time,0.05193,482,995,0.03813,0.06572
1988,No migration background,Part-time,0.03780,363,995,0.02595,0.04966
1988,No migration background,Either,0.00992,87,995,0.00376,0.01608
1988,No migration background,I'm not sure yet,0.00626,63,995,0.00135,0.01116
1988,Direct migration background,Full-time,0.07650,243,441,0.05167,0.10134
1988,Direct migration background,Part-time,0.03495,104,441,0.01779,0.05211
1988,Direct migration background,Either,0.01627,51,441,0.00445,0.02809
1988,Direct migration background,I'm not sure yet,0.01425,43,441,0.00317,0.02532
1988,Indirect migration background,Full-time,0.02941,47,47,-0.01942,0.07823
1989,No migration background,Full-time,0.04492,402,858,0.03106,0.05879
1989,No migration background,Part-time,0.03585,332,858,0.02340,0.04830
1989,No migration background,Either,0.00600,56,858,0.00083,0.01117
1989,No migration background,I'm not sure yet,0.00758,68,858,0.00177,0.01338
1989,Direct migration background,Full-time,0.06349,183,369,0.03857,0.08840
1989,Direct migration background,Part-time,0.03326,108,369,0.01494,0.05158
1989,Direct migration background,Either,0.01714,41,369,0.00388,0.03041
1989,Direct migration background,I'm not sure yet,0.01078,37,369,0.00023,0.02133
1989,Indirect migration background,Full-time,0.04088,67,67,-0.00689,0.08865
1990,No migration background,Full-time,0.00566,152,300,-0.00284,0.01417
1990,No migration background,Part-time,0.00410,99,300,-0.00314,0.01135
1990,No migration background,Either,0.00200,49,300,-0.00306,0.00706
1991,No migration background,Full-time,0.03891,584,1249,0.02818,0.04964
1991,No migration background,Part-time,0.03162,421,1249,0.02191,0.04133
1991,No migration background,Either,0.01013,169,1249,0.00457,0.01568
1991,No migration background,I'm not sure yet,0.00550,75,1249,0.00139,0.00960
1991,Direct migration background,Full-time,0.04774,149,292,0.02324,0.07224
1991,Direct migration background,Part-time,0.03785,106,292,0.01592,0.05977
1991,Direct migration background,Either,0.01398,37,292,0.00049,0.02746
1991,Indirect migration background,Full-time,0.03008,68,68,-0.01082,0.07098
1992,No migration background,Full-time,0.04801,731,1443,0.03697,0.05904
1992,No migration background,Part-time,0.03333,449,1443,0.02406,0.04259
1992,No migration background,Either,0.01044,183,1443,0.00519,0.01568
1992,No migration background,I'm not sure yet,0.00622,80,1443,0.00216,0.01028
1992,Direct migration background,Full-time,0.05522,153,311,0.02979,0.08064
1992,Direct migration background,Part-time,0.04001,108,311,0.01819,0.06182
1992,Direct migration background,I'm not sure yet,0.01492,50,311,0.00143,0.02842
1992,Indirect migration background,Full-time,0.06495,105,105,0.01758,0.11231
1993,No migration background,Full-time,0.04955,738,1451,0.03838,0.06072
1993,No migration background,Part-time,0.03156,411,1451,0.02256,0.04056
1993,No migration background,Either,0.01266,209,1451,0.00690,0.01841
1993,No migration background,I'm not sure yet,0.00741,93,1451,0.00299,0.01182
