year,bula_h,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,Full-time,0.06416,114,186,0.02885,0.09947
1984,Lower Saxony,Part-time,0.04432,72,186,0.01466,0.07398
1984,North Rhine-Westphalia,Full-time,0.06935,315,630,0.04950,0.08921
1984,North Rhine-Westphalia,Part-time,0.04583,191,630,0.02949,0.06218
1984,North Rhine-Westphalia,Either,0.01444,71,630,0.00512,0.02377
1984,North Rhine-Westphalia,I'm not sure yet,0.01041,53,630,0.00248,0.01834
1984,Hesse,Full-time,0.05902,108,180,0.02450,0.09354
1984,Hesse,Part-time,0.04686,72,180,0.01590,0.07782
1984,"Rhineland-Palatinate, Saarland",Full-time,0.05219,58,106,0.00965,0.09473
1984,"Rhineland-Palatinate, Saarland",Part-time,0.04858,48,106,0.00746,0.08970
1984,Baden-Wuerttemberg,Full-time,0.05134,163,283,0.02558,0.07710
1984,Baden-Wuerttemberg,Part-time,0.04309,120,283,0.01939,0.06679
1984,Bavaria,Full-time,0.04432,131,285,0.02038,0.06825
1984,Bavaria,Part-time,0.04120,111,285,0.01808,0.06432
1984,Bavaria,Either,0.01334,43,285,-0.00000,0.02669
1985,Lower Saxony,Full-time,0.07863,119,165,0.03743,0.11982
1985,Lower Saxony,Part-time,0.03422,46,165,0.00639,0.06204
1985,North Rhine-Westphalia,Full-time,0.06223,249,426,0.03927,0.08520
1985,North Rhine-Westphalia,Part-time,0.03630,144,426,0.01852,0.05408
1985,North Rhine-Westphalia,I'm not sure yet,0.00755,33,426,-0.00068,0.01579
1985,Hesse,Full-time,0.04814,85,143,0.01293,0.08335
1985,Hesse,Part-time,0.03557,58,143,0.00511,0.06604
1985,"Rhineland-Palatinate, Saarland",Full-time,0.04524,47,78,-0.00118,0.09166
1985,"Rhineland-Palatinate, Saarland",Part-time,0.02940,31,78,-0.00833,0.06714
1985,Baden-Wuerttemberg,Full-time,0.04896,151,236,0.02137,0.07656
1985,Baden-Wuerttemberg,Part-time,0.03370,85,236,0.01063,0.05677
1985,Bavaria,Full-time,0.04624,122,194,0.01661,0.07587
1985,Bavaria,Part-time,0.02778,72,194,0.00459,0.05096
1985,Berlin,Full-time,0.04295,32,32,-0.02842,0.11431
1986,Lower Saxony,Full-time,0.05707,90,137,0.01809,0.09606
1986,Lower Saxony,Part-time,0.03176,47,137,0.00229,0.06123
1986,North Rhine-Westphalia,Full-time,0.06633,269,496,0.04441,0.08825
1986,North Rhine-Westphalia,Part-time,0.04058,151,496,0.02320,0.05796
1986,North Rhine-Westphalia,Either,0.00845,35,496,0.00038,0.01651
