year,sampreg,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Full-time,0.05728,983,2048,0.04722,0.06735
1984,West,Part-time,0.04324,666,2048,0.03443,0.05206
1984,West,Either,0.01374,233,2048,0.00870,0.01879
1984,West,I'm not sure yet,0.00940,166,2048,0.00522,0.01358
1985,West,Full-time,0.05601,869,1573,0.04465,0.06738
1985,West,Part-time,0.03290,481,1573,0.02408,0.04172
1985,West,Either,0.00883,120,1573,0.00420,0.01345
1985,West,I'm not sure yet,0.00665,103,1573,0.00263,0.01067
1986,West,Full-time,0.05533,850,1534,0.04388,0.06677
1986,West,Part-time,0.03209,464,1534,0.02327,0.04091
1986,West,Either,0.00805,111,1534,0.00358,0.01253
1986,West,I'm not sure yet,0.00664,109,1534,0.00258,0.01071
1987,West,Full-time,0.04959,785,1577,0.03887,0.06030
1987,West,Part-time,0.03749,499,1577,0.02811,0.04687
1987,West,Either,0.01114,173,1577,0.00596,0.01632
1987,West,I'm not sure yet,0.00640,120,1577,0.00246,0.01033
1988,West,Full-time,0.05334,772,1511,0.04201,0.06467
1988,West,Part-time,0.03645,474,1511,0.02700,0.04591
1988,West,Either,0.01019,141,1511,0.00512,0.01525
1988,West,I'm not sure yet,0.00708,124,1511,0.00285,0.01131
1989,West,Full-time,0.04654,652,1323,0.03518,0.05789
1989,West,Part-time,0.03441,447,1323,0.02458,0.04423
1989,West,Either,0.00704,101,1323,0.00253,0.01154
1989,West,I'm not sure yet,0.00814,123,1323,0.00330,0.01299
1990,East,Full-time,0.02539,158,308,0.00779,0.04298
1990,East,Part-time,0.01797,101,308,0.00311,0.03284
1990,East,Either,0.00847,49,308,-0.00178,0.01872
1991,West,Full-time,0.03727,531,1153,0.02633,0.04821
1991,West,Part-time,0.03348,420,1153,0.02310,0.04387
1991,West,Either,0.00788,110,1153,0.00278,0.01299
1991,West,I'm not sure yet,0.00627,92,1153,0.00171,0.01083
1991,East,Full-time,0.04732,270,497,0.02863,0.06600
1991,East,Part-time,0.02251,117,497,0.00946,0.03557
1991,East,Either,0.02014,110,497,0.00777,0.03250
1992,West,Full-time,0.04096,568,1232,0.02989,0.05203
1992,West,Part-time,0.03593,456,1232,0.02553,0.04632
1992,West,Either,0.00682,94,1232,0.00222,0.01142
1992,West,I'm not sure yet,0.00755,114,1232,0.00271,0.01238
1992,East,Full-time,0.08219,421,657,0.06117,0.10321
1992,East,Part-time,0.02091,109,657,0.00996,0.03186
1992,East,Either,0.02362,127,657,0.01200,0.03524
1993,West,Full-time,0.04207,570,1264,0.03100,0.05314
1993,West,Part-time,0.03449,442,1264,0.02442,0.04455
1993,West,Either,0.00905,119,1264,0.00383,0.01427
1993,West,I'm not sure yet,0.00967,133,1264,0.00428,0.01507
1993,East,Full-time,0.08326,415,642,0.06188,0.10465
1993,East,Part-time,0.01775,89,642,0.00753,0.02797
1993,East,Either,0.02541,138,642,0.01323,0.03759
1994,West,Full-time,0.04703,617,1352,0.03574,0.05832
1994,West,Part-time,0.03560,457,1352,0.02572,0.04548
1994,West,Either,0.00996,131,1352,0.00466,0.01525
1994,West,I'm not sure yet,0.01081,147,1352,0.00529,0.01632
1994,East,Full-time,0.08086,396,668,0.06017,0.10155
1994,East,Part-time,0.01971,95,668,0.00916,0.03025
1994,East,Either,0.02891,139,668,0.01619,0.04162
1994,East,I'm not sure yet,0.00723,38,668,0.00080,0.01366
1995,West,Full-time,0.04965,704,1530,0.03876,0.06054
1995,West,Part-time,0.03823,512,1530,0.02862,0.04784
1995,West,Either,0.01283,187,1530,0.00719,0.01847
1995,West,I'm not sure yet,0.00894,127,1530,0.00422,0.01366
1995,East,Full-time,0.06867,354,605,0.04850,0.08884
1995,East,Part-time,0.02021,98,605,0.00898,0.03143
1995,East,Either,0.02591,122,605,0.01324,0.03858
1995,East,I'm not sure yet,0.00478,31,605,-0.00072,0.01028
1996,West,Full-time,0.04689,659,1483,0.03613,0.05766
1996,West,Part-time,0.04003,501,1483,0.03005,0.05001
1996,West,Either,0.01276,180,1483,0.00705,0.01847
1996,West,I'm not sure yet,0.01021,143,1483,0.00509,0.01533
1996,East,Full-time,0.07500,385,656,0.05483,0.09517
1996,East,Part-time,0.02069,89,656,0.00979,0.03159
1996,East,Either,0.03403,148,656,0.02015,0.04792
1996,East,I'm not sure yet,0.00508,34,656,-0.00036,0.01053
1997,West,Full-time,0.04811,643,1480,0.03721,0.05902
1997,West,Part-time,0.03940,525,1480,0.02948,0.04931
1997,West,Either,0.01462,198,1480,0.00850,0.02073
1997,West,I'm not sure yet,0.00967,114,1480,0.00468,0.01466
1997,East,Full-time,0.07320,349,640,0.05300,0.09339
1997,East,Part-time,0.01985,92,640,0.00903,0.03066
1997,East,Either,0.03763,160,640,0.02287,0.05238
1997,East,I'm not sure yet,0.00738,39,640,0.00074,0.01401
1998,West,Full-time,0.04474,642,1527,0.03436,0.05511
1998,West,Part-time,0.03679,542,1527,0.02734,0.04623
1998,West,Either,0.01406,181,1527,0.00815,0.01997
1998,West,I'm not sure yet,0.01007,162,1527,0.00506,0.01508
1998,East,Full-time,0.07618,398,699,0.05650,0.09587
1998,East,Part-time,0.02024,96,699,0.00980,0.03069
1998,East,Either,0.03607,172,699,0.02224,0.04990
1998,East,I'm not sure yet,0.00561,33,699,0.00007,0.01115
1999,West,Full-time,0.03887,537,1305,0.02838,0.04936
1999,West,Part-time,0.03188,444,1305,0.02235,0.04142
1999,West,Either,0.01357,181,1305,0.00729,0.01985
1999,West,I'm not sure yet,0.00923,143,1305,0.00404,0.01442
1999,East,Full-time,0.07515,363,626,0.05448,0.09582
1999,East,Part-time,0.01915,90,626,0.00840,0.02989
1999,East,Either,0.02495,130,626,0.01272,0.03718
1999,East,I'm not sure yet,0.00833,43,626,0.00120,0.01545
2000,West,Full-time,0.03876,991,2396,0.03103,0.04649
2000,West,Part-time,0.03410,914,2396,0.02683,0.04137
2000,West,Either,0.01215,287,2396,0.00776,0.01653
2000,West,I'm not sure yet,0.00832,204,2396,0.00468,0.01196
2000,East,Full-time,0.07612,585,978,0.05949,0.09275
2000,East,Part-time,0.01596,123,978,0.00810,0.02382
2000,East,Either,0.02744,207,978,0.01719,0.03768
2000,East,I'm not sure yet,0.00772,63,978,0.00223,0.01320
2001,West,Full-time,0.04135,905,2104,0.03284,0.04986
2001,West,Part-time,0.03309,774,2104,0.02545,0.04074
2001,West,Either,0.00965,201,2104,0.00547,0.01382
2001,West,I'm not sure yet,0.00931,224,2104,0.00520,0.01341
2001,East,Full-time,0.08259,566,901,0.06461,0.10058
2001,East,Part-time,0.01476,112,901,0.00688,0.02264
2001,East,Either,0.02338,165,901,0.01351,0.03325
2001,East,I'm not sure yet,0.00718,58,901,0.00166,0.01269
2002,West,Full-time,0.04539,1010,2272,0.03683,0.05395
2002,West,Part-time,0.03624,806,2272,0.02855,0.04393
2002,West,Either,0.01158,252,2272,0.00718,0.01598
2002,West,I'm not sure yet,0.00759,204,2272,0.00402,0.01115
2002,East,Full-time,0.09139,568,928,0.07284,0.10995
2002,East,Part-time,0.01893,121,928,0.01016,0.02770
2002,East,Either,0.02792,193,928,0.01731,0.03852
2002,East,I'm not sure yet,0.00716,46,928,0.00173,0.01258
2003,West,Full-time,0.04645,982,2154,0.03756,0.05534
2003,West,Part-time,0.03297,727,2154,0.02543,0.04051
2003,West,Either,0.01277,245,2154,0.00802,0.01751
2003,West,I'm not sure yet,0.00787,200,2154,0.00414,0.01160
2003,East,Full-time,0.09196,573,952,0.07360,0.11033
2003,East,Part-time,0.01817,114,952,0.00968,0.02666
2003,East,Either,0.03181,206,952,0.02065,0.04296
2003,East,I'm not sure yet,0.00868,59,952,0.00279,0.01458
2004,West,Full-time,0.05130,1038,2247,0.04217,0.06042
2004,West,Part-time,0.03294,716,2247,0.02556,0.04032
2004,West,Either,0.01622,301,2247,0.01100,0.02144
2004,West,I'm not sure yet,0.00797,192,2247,0.00429,0.01165
2004,East,Full-time,0.09027,557,948,0.07201,0.10852
2004,East,Part-time,0.02063,121,948,0.01158,0.02968
2004,East,Either,0.03711,212,948,0.02507,0.04915
2004,East,I'm not sure yet,0.00962,58,948,0.00340,0.01584
2005,West,Full-time,0.05120,984,2146,0.04187,0.06052
2005,West,Part-time,0.03159,650,2146,0.02419,0.03899
2005,West,Either,0.01908,321,2146,0.01329,0.02487
2005,West,I'm not sure yet,0.00841,191,2146,0.00455,0.01228
2005,East,Full-time,0.09723,537,935,0.07823,0.11623
2005,East,Part-time,0.02195,131,935,0.01256,0.03135
2005,East,Either,0.04035,213,935,0.02773,0.05297
2005,East,I'm not sure yet,0.00893,54,935,0.00289,0.01496
2006,West,Full-time,0.04724,935,2193,0.03836,0.05612
2006,West,Part-time,0.03789,782,2193,0.02990,0.04588
2006,West,Either,0.01836,334,2193,0.01274,0.02398
2006,West,I'm not sure yet,0.00528,142,2193,0.00224,0.00831
2006,East,Full-time,0.08241,494,879,0.06422,0.10060
2006,East,Part-time,0.02428,138,879,0.01410,0.03446
2006,East,Either,0.03838,211,879,0.02567,0.05109
2006,East,I'm not sure yet,0.00600,36,879,0.00089,0.01111
2007,West,Full-time,0.04029,762,1836,0.03129,0.04929
2007,West,Part-time,0.03304,632,1836,0.02486,0.04122
2007,West,Either,0.01858,293,1836,0.01240,0.02476
2007,West,I'm not sure yet,0.00635,149,1836,0.00271,0.00998
2007,East,Full-time,0.06959,391,744,0.05129,0.08789
2007,East,Part-time,0.01961,110,744,0.00964,0.02958
2007,East,Either,0.03839,202,744,0.02458,0.05221
2007,East,I'm not sure yet,0.00904,41,744,0.00223,0.01584
2008,West,Full-time,0.03864,691,1607,0.02921,0.04807
2008,West,Part-time,0.02842,545,1607,0.02030,0.03655
2008,West,Either,0.01498,233,1607,0.00904,0.02092
2008,West,I'm not sure yet,0.00676,138,1607,0.00275,0.01076
2008,East,Full-time,0.06897,356,677,0.04987,0.08808
2008,East,Part-time,0.01803,100,677,0.00800,0.02806
2008,East,Either,0.03659,175,677,0.02244,0.05075
2008,East,I'm not sure yet,0.00690,46,677,0.00066,0.01314
2009,West,Full-time,0.04211,657,1472,0.03185,0.05238
2009,West,Part-time,0.02697,471,1472,0.01869,0.03524
2009,West,Either,0.01640,229,1472,0.00991,0.02289
2009,West,I'm not sure yet,0.00615,115,1472,0.00216,0.01015
2009,East,Full-time,0.06262,328,607,0.04333,0.08191
2009,East,Part-time,0.01796,99,607,0.00738,0.02853
2009,East,Either,0.03390,143,607,0.01949,0.04831
2009,East,I'm not sure yet,0.00606,37,607,-0.00012,0.01224
2010,West,Full-time,0.04634,1093,3417,0.03929,0.05339
