year,quintil_oecd,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Full-time,0.08608,344,709,0.06542,0.10674
1984,1st Quintile,Part-time,0.06401,216,709,0.04598,0.08204
1984,1st Quintile,Either,0.02620,97,709,0.01444,0.03797
1984,1st Quintile,I'm not sure yet,0.01147,52,709,0.00362,0.01931
1984,2nd Quintile,Full-time,0.06506,224,470,0.04274,0.08738
1984,2nd Quintile,Part-time,0.04919,159,470,0.02961,0.06876
1984,2nd Quintile,Either,0.01355,46,470,0.00309,0.02402
1984,2nd Quintile,I'm not sure yet,0.01055,41,470,0.00130,0.01979
1984,3rd Quintile,Full-time,0.05130,165,322,0.02716,0.07543
1984,3rd Quintile,Part-time,0.04273,121,322,0.02060,0.06486
1984,3rd Quintile,Either,0.01124,36,322,-0.00029,0.02277
1984,4th Quintile,Full-time,0.04905,152,283,0.02385,0.07426
1984,4th Quintile,Part-time,0.03545,99,283,0.01387,0.05703
1984,4th Quintile,I'm not sure yet,0.00991,32,283,-0.00165,0.02148
1984,5th Quintile,Full-time,0.03330,93,162,0.00559,0.06102
1984,5th Quintile,Part-time,0.02436,69,162,0.00055,0.04818
1985,1st Quintile,Full-time,0.09222,315,563,0.06830,0.11614
1985,1st Quintile,Part-time,0.04807,159,563,0.03038,0.06575
1985,1st Quintile,Either,0.01903,54,563,0.00773,0.03032
1985,1st Quintile,I'm not sure yet,0.00960,35,563,0.00154,0.01767
1985,2nd Quintile,Full-time,0.05490,178,312,0.02958,0.08021
1985,2nd Quintile,Part-time,0.04635,134,312,0.02298,0.06971
1985,3rd Quintile,Full-time,0.05928,172,251,0.03000,0.08855
1985,3rd Quintile,Part-time,0.02850,79,251,0.00787,0.04913
1985,4th Quintile,Full-time,0.03690,112,169,0.00839,0.06540
1985,4th Quintile,Part-time,0.02057,57,169,-0.00089,0.04204
1985,5th Quintile,Full-time,0.03552,89,139,0.00464,0.06641
1985,5th Quintile,Part-time,0.02023,50,139,-0.00326,0.04372
1986,1st Quintile,Full-time,0.09424,300,537,0.06951,0.11898
1986,1st Quintile,Part-time,0.04858,150,537,0.03038,0.06678
1986,1st Quintile,Either,0.01822,49,537,0.00690,0.02954
1986,1st Quintile,I'm not sure yet,0.00964,38,537,0.00137,0.01792
1986,2nd Quintile,Full-time,0.05036,177,296,0.02541,0.07532
1986,2nd Quintile,Part-time,0.04101,119,296,0.01838,0.06364
1986,3rd Quintile,Full-time,0.04859,149,225,0.02044,0.07675
1986,3rd Quintile,Part-time,0.02668,76,225,0.00558,0.04778
1986,4th Quintile,Full-time,0.04329,121,188,0.01412,0.07245
1986,4th Quintile,Part-time,0.02445,67,188,0.00232,0.04659
1986,5th Quintile,Full-time,0.03835,99,151,0.00762,0.06908
1986,5th Quintile,Part-time,0.01977,52,151,-0.00251,0.04206
1987,1st Quintile,Full-time,0.09110,285,530,0.06658,0.11562
1987,1st Quintile,Part-time,0.04877,149,530,0.03042,0.06713
1987,1st Quintile,Either,0.01776,58,530,0.00650,0.02901
1987,1st Quintile,I'm not sure yet,0.01003,38,530,0.00154,0.01853
1987,2nd Quintile,Full-time,0.04511,161,332,0.02275,0.06746
1987,2nd Quintile,Part-time,0.04917,136,332,0.02588,0.07247
1987,2nd Quintile,Either,0.00913,35,332,-0.00112,0.01938
1987,3rd Quintile,Full-time,0.04199,136,265,0.01780,0.06619
1987,3rd Quintile,Part-time,0.03789,93,265,0.01486,0.06092
1987,3rd Quintile,Either,0.01284,36,265,-0.00074,0.02641
1987,4th Quintile,Full-time,0.03908,121,193,0.01167,0.06649
1987,4th Quintile,Part-time,0.03082,72,193,0.00638,0.05527
1987,5th Quintile,Full-time,0.03012,81,130,0.00062,0.05961
1987,5th Quintile,Part-time,0.02081,49,130,-0.00382,0.04545
1988,1st Quintile,Full-time,0.08668,266,506,0.06214,0.11123
1988,1st Quintile,Part-time,0.05144,140,506,0.03218,0.07071
1988,1st Quintile,Either,0.02305,59,506,0.00996,0.03613
1988,1st Quintile,I'm not sure yet,0.00913,41,506,0.00083,0.01742
1988,2nd Quintile,Full-time,0.04903,155,309,0.02491,0.07314
1988,2nd Quintile,Part-time,0.04274,117,309,0.02015,0.06533
1988,2nd Quintile,I'm not sure yet,0.01057,37,309,-0.00085,0.02200
1988,3rd Quintile,Full-time,0.05049,143,229,0.02207,0.07891
1988,3rd Quintile,Part-time,0.03304,86,229,0.00984,0.05624
1988,4th Quintile,Full-time,0.05053,137,222,0.02165,0.07940
1988,4th Quintile,Part-time,0.03520,85,222,0.01090,0.05950
1988,5th Quintile,Full-time,0.03001,71,116,-0.00117,0.06119
1988,5th Quintile,Part-time,0.01877,45,116,-0.00603,0.04358
1989,1st Quintile,Full-time,0.08213,242,438,0.05639,0.10788
1989,1st Quintile,Part-time,0.03752,117,438,0.01970,0.05534
1989,1st Quintile,Either,0.01285,37,438,0.00229,0.02341
1989,1st Quintile,I'm not sure yet,0.01109,42,438,0.00127,0.02091
1989,2nd Quintile,Full-time,0.04389,144,296,0.02052,0.06727
1989,2nd Quintile,Part-time,0.04332,116,296,0.02009,0.06656
1989,2nd Quintile,I'm not sure yet,0.01036,36,296,-0.00120,0.02191
1989,3rd Quintile,Full-time,0.04228,106,193,0.01382,0.07074
1989,3rd Quintile,Part-time,0.03582,87,193,0.00953,0.06211
1989,4th Quintile,Full-time,0.04053,104,172,0.01097,0.07008
1989,4th Quintile,Part-time,0.02857,68,172,0.00360,0.05354
1989,5th Quintile,Full-time,0.02385,56,115,-0.00416,0.05186
1989,5th Quintile,Part-time,0.02681,59,115,-0.00284,0.05646
1991,1st Quintile,Full-time,0.05341,171,321,0.02877,0.07805
1991,1st Quintile,Part-time,0.04403,109,321,0.02155,0.06651
1991,1st Quintile,Either,0.01444,41,321,0.00137,0.02752
1991,2nd Quintile,Full-time,0.04031,118,224,0.01450,0.06613
1991,2nd Quintile,Part-time,0.03704,106,224,0.01225,0.06183
1991,3rd Quintile,Full-time,0.03384,92,186,0.00778,0.05989
1991,3rd Quintile,Part-time,0.03746,94,186,0.01009,0.06482
1991,4th Quintile,Full-time,0.03298,89,148,0.00411,0.06185
1991,4th Quintile,Part-time,0.02623,59,148,0.00040,0.05207
1991,5th Quintile,Full-time,0.02557,58,108,-0.00434,0.05547
1991,5th Quintile,Part-time,0.02258,50,108,-0.00557,0.05074
1992,1st Quintile,Full-time,0.08353,347,611,0.06157,0.10549
1992,1st Quintile,Part-time,0.03605,133,611,0.02126,0.05084
1992,1st Quintile,Either,0.01955,91,611,0.00857,0.03054
1992,1st Quintile,I'm not sure yet,0.01024,40,611,0.00225,0.01823
1992,2nd Quintile,Full-time,0.04930,231,471,0.02973,0.06887
1992,2nd Quintile,Part-time,0.03572,141,471,0.01894,0.05250
