year,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Full-time,0.05728,983,2048,0.04722,0.06735
1984,Part-time,0.04324,666,2048,0.03443,0.05206
1984,Either,0.01374,233,2048,0.00870,0.01879
1984,I'm not sure yet,0.00940,166,2048,0.00522,0.01358
1985,Full-time,0.05601,869,1573,0.04465,0.06738
1985,Part-time,0.03290,481,1573,0.02408,0.04172
1985,Either,0.00883,120,1573,0.00420,0.01345
1985,I'm not sure yet,0.00665,103,1573,0.00263,0.01067
1986,Full-time,0.05533,850,1534,0.04388,0.06677
1986,Part-time,0.03209,464,1534,0.02327,0.04091
1986,Either,0.00805,111,1534,0.00358,0.01253
1986,I'm not sure yet,0.00664,109,1534,0.00258,0.01071
1987,Full-time,0.04959,785,1577,0.03887,0.06030
1987,Part-time,0.03749,499,1577,0.02811,0.04687
1987,Either,0.01114,173,1577,0.00596,0.01632
1987,I'm not sure yet,0.00640,120,1577,0.00246,0.01033
1988,Full-time,0.05334,772,1511,0.04201,0.06467
1988,Part-time,0.03645,474,1511,0.02700,0.04591
1988,Either,0.01019,141,1511,0.00512,0.01525
1988,I'm not sure yet,0.00708,124,1511,0.00285,0.01131
1989,Full-time,0.04654,652,1323,0.03518,0.05789
1989,Part-time,0.03441,447,1323,0.02458,0.04423
1989,Either,0.00704,101,1323,0.00253,0.01154
1989,I'm not sure yet,0.00814,123,1323,0.00330,0.01299
1990,Full-time,0.00526,158,308,-0.00283,0.01336
1990,Part-time,0.00373,101,308,-0.00309,0.01054
1990,Either,0.00176,49,308,-0.00293,0.00644
1991,Full-time,0.03936,801,1675,0.03004,0.04867
1991,Part-time,0.03121,537,1675,0.02288,0.03953
1991,Either,0.01043,220,1675,0.00556,0.01529
1991,I'm not sure yet,0.00598,117,1675,0.00228,0.00967
1992,Full-time,0.04937,989,1916,0.03967,0.05907
1992,Part-time,0.03286,565,1916,0.02488,0.04085
1992,Either,0.01025,221,1916,0.00574,0.01476
1992,I'm not sure yet,0.00702,141,1916,0.00328,0.01076
1993,Full-time,0.05041,985,1928,0.04064,0.06017
1993,Part-time,0.03110,531,1928,0.02335,0.03885
1993,Either,0.01236,257,1928,0.00743,0.01729
1993,I'm not sure yet,0.00863,155,1928,0.00450,0.01276
1994,Full-time,0.05376,1013,2020,0.04393,0.06360
1994,Part-time,0.03244,552,2020,0.02471,0.04017
1994,Either,0.01373,270,2020,0.00865,0.01880
1994,I'm not sure yet,0.01009,185,2020,0.00573,0.01445
1995,Full-time,0.05332,1058,2135,0.04379,0.06285
1995,Part-time,0.03475,610,2135,0.02698,0.04252
1995,Either,0.01535,309,2135,0.01014,0.02057
1995,I'm not sure yet,0.00814,158,2135,0.00433,0.01195
1996,Full-time,0.05221,1044,2139,0.04278,0.06164
1996,Part-time,0.03636,590,2139,0.02843,0.04430
1996,Either,0.01679,328,2139,0.01134,0.02223
1996,I'm not sure yet,0.00924,177,2139,0.00519,0.01330
1997,Full-time,0.05282,992,2120,0.04330,0.06235
1997,Part-time,0.03573,617,2120,0.02782,0.04363
1997,Either,0.01894,358,2120,0.01313,0.02474
1997,I'm not sure yet,0.00924,153,2120,0.00516,0.01331
1998,Full-time,0.05069,1040,2226,0.04158,0.05981
1998,Part-time,0.03365,638,2226,0.02616,0.04115
1998,Either,0.01823,353,2226,0.01267,0.02379
1998,I'm not sure yet,0.00923,195,2226,0.00525,0.01320
1999,Full-time,0.04559,900,1931,0.03628,0.05489
1999,Part-time,0.02953,534,1931,0.02197,0.03708
1999,Either,0.01568,311,1931,0.01014,0.02122
1999,I'm not sure yet,0.00906,186,1931,0.00484,0.01329
2000,Full-time,0.04572,1576,3374,0.03867,0.05277
2000,Part-time,0.03072,1037,3374,0.02490,0.03654
2000,Either,0.01500,494,3374,0.01090,0.01910
2000,I'm not sure yet,0.00821,267,3374,0.00516,0.01125
2001,Full-time,0.04890,1471,3005,0.04119,0.05661
2001,Part-time,0.02973,886,3005,0.02366,0.03581
2001,Either,0.01216,366,3005,0.00824,0.01608
2001,I'm not sure yet,0.00892,282,3005,0.00556,0.01228
2002,Full-time,0.05377,1578,3200,0.04595,0.06159
2002,Part-time,0.03309,927,3200,0.02689,0.03928
2002,Either,0.01456,445,3200,0.01041,0.01871
2002,I'm not sure yet,0.00751,250,3200,0.00452,0.01050
2003,Full-time,0.05469,1555,3106,0.04670,0.06269
2003,Part-time,0.03029,841,3106,0.02426,0.03632
2003,Either,0.01621,451,3106,0.01177,0.02066
2003,I'm not sure yet,0.00802,259,3106,0.00488,0.01116
2004,Full-time,0.05827,1595,3195,0.05015,0.06639
2004,Part-time,0.03074,837,3195,0.02475,0.03672
2004,Either,0.01996,513,3195,0.01511,0.02481
2004,I'm not sure yet,0.00827,250,3195,0.00513,0.01141
2005,Full-time,0.05948,1521,3081,0.05113,0.06784
2005,Part-time,0.02986,781,3081,0.02385,0.03587
2005,Either,0.02291,534,3081,0.01762,0.02819
2005,I'm not sure yet,0.00850,245,3081,0.00526,0.01175
2006,Full-time,0.05360,1429,3072,0.04564,0.06157
2006,Part-time,0.03543,920,3072,0.02889,0.04197
2006,Either,0.02198,545,3072,0.01679,0.02717
2006,I'm not sure yet,0.00541,178,3072,0.00281,0.00800
2007,Full-time,0.04559,1153,2580,0.03754,0.05365
2007,Part-time,0.03061,742,2580,0.02396,0.03726
2007,Either,0.02217,495,2580,0.01649,0.02785
2007,I'm not sure yet,0.00683,190,2580,0.00365,0.01001
2008,Full-time,0.04406,1047,2284,0.03564,0.05247
2008,Part-time,0.02657,645,2284,0.01997,0.03316
2008,Either,0.01884,408,2284,0.01326,0.02441
2008,I'm not sure yet,0.00678,184,2284,0.00341,0.01015
2009,Full-time,0.04585,985,2079,0.03686,0.05485
2009,Part-time,0.02532,570,2079,0.01857,0.03208
2009,Either,0.01959,372,2079,0.01363,0.02555
2009,I'm not sure yet,0.00614,152,2079,0.00278,0.00949
2010,Full-time,0.05057,1598,4402,0.04410,0.05704
2010,Part-time,0.02868,1993,4402,0.02375,0.03361
2010,Either,0.01773,619,4402,0.01383,0.02163
2010,I'm not sure yet,0.00641,192,4402,0.00405,0.00877
2011,Full-time,0.04596,1693,4313,0.03971,0.05221
2011,Part-time,0.02791,1794,4313,0.02300,0.03283
2011,Either,0.01417,608,4313,0.01064,0.01770
2011,I'm not sure yet,0.00532,218,4313,0.00315,0.00750
2012,Full-time,0.04528,1586,3985,0.03882,0.05174
2012,Part-time,0.02990,1627,3985,0.02461,0.03519
2012,Either,0.01496,512,3985,0.01119,0.01873
2012,I'm not sure yet,0.00749,260,3985,0.00481,0.01017
2013,Full-time,0.04620,2010,4789,0.04026,0.05215
2013,Part-time,0.03013,1831,4789,0.02529,0.03497
2013,Either,0.01497,680,4789,0.01153,0.01841
2013,I'm not sure yet,0.00715,268,4789,0.00476,0.00953
2014,Full-time,0.04297,1553,3916,0.03662,0.04933
