year,hhtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,Owner,256,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Single-person household,Tenant,1032,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Couple without children,Owner,510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Couple without children,Tenant,841,0.00037,-0.00093,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Single parent,Owner,88,0.35473,0.22761,0.48184,0.00000,0.00000,1.00000,0,2.50000,,,
1984,Single parent,Tenant,238,0.95898,0.84544,1.07252,0.00000,1.00000,1.00000,0,2.50000,,,
1984,Couple with children,Owner,1028,1.16266,1.10291,1.22240,0.00000,1.00000,2.00000,0,5.00000,,,
1984,Couple with children,Tenant,1608,1.37059,1.32340,1.41779,1.00000,1.00000,2.00000,0,3.50000,,,
1984,Multi-generational household,Owner,70,1.09326,0.85229,1.33423,0.00000,1.00000,2.00000,0,4,,,
1984,Multi-generational household,Tenant,58,0.91563,0.67721,1.15406,0.00000,1.00000,1.00000,0,2.50000,,,
1984,Other Combinations,Owner,53,0.07122,-0.04333,0.18577,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Other Combinations,Tenant,81,0.13637,0.05099,0.22176,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Single-person household,Owner,217,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Single-person household,Tenant,923,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Couple without children,Owner,460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Couple without children,Tenant,765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Single parent,Owner,85,0.32811,0.19533,0.46089,0.00000,0.00000,1.00000,0,2.50000,,,
1985,Single parent,Tenant,208,0.87547,0.76226,0.98867,0.00000,1.00000,1.00000,0,2.50000,,,
1985,Couple with children,Owner,986,1.11631,1.05718,1.17544,0.00000,1.00000,2.00000,0,5.00000,,,
1985,Couple with children,Tenant,1389,1.31958,1.26848,1.37067,1.00000,1.00000,2.00000,0,3.50000,,,
1985,Multi-generational household,Owner,69,1.03336,0.79415,1.27258,0.00000,1.00000,2.00000,0,4,,,
1985,Multi-generational household,Tenant,47,0.85058,0.60726,1.09390,0.00000,1.00000,1.00000,0,2.50000,,,
1985,Other Combinations,Owner,48,0.10095,-0.01492,0.21683,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Other Combinations,Tenant,75,0.22857,0.10154,0.35559,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Single-person household,No answer / don't know,,,,,,,,,,,,
1986,Single-person household,Owner,222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Single-person household,Tenant,856,0.00077,-0.00109,0.00264,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Couple without children,Owner,455,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Couple without children,Tenant,750,0.00186,-0.00123,0.00496,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Single parent,No answer / don't know,,,,,,,,,,,,
1986,Single parent,Owner,86,0.34943,0.20656,0.49231,0.00000,0.00000,1.00000,0,2.50000,,,
1986,Single parent,Tenant,194,0.92994,0.81064,1.04924,0.00000,1.00000,1.00000,0,2.50000,,,
1986,Couple with children,No answer / don't know,,,,,,,,,,,,
1986,Couple with children,Owner,960,1.05453,0.99477,1.11430,0.00000,1.00000,2.00000,0,4,,,
1986,Couple with children,Tenant,1276,1.33177,1.27511,1.38843,1.00000,1.00000,2.00000,0,3.50000,,,
1986,Multi-generational household,Owner,64,1.01960,0.79203,1.24716,0.00000,1.00000,2.00000,0,4,,,
1986,Multi-generational household,Tenant,53,0.91233,0.66266,1.16201,0.00000,1.00000,1.00000,0,2.50000,,,
1986,Other Combinations,Owner,49,0.15700,0.02924,0.28476,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Other Combinations,Tenant,70,0.25260,0.11688,0.38831,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Single-person household,No answer / don't know,,,,,,,,,,,,
1987,Single-person household,Owner,225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Single-person household,Tenant,852,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Couple without children,Owner,473,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Couple without children,Tenant,719,0.00032,-0.00099,0.00163,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Single parent,Owner,89,0.33493,0.19837,0.47148,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Single parent,Tenant,189,0.87645,0.75362,0.99928,0.00000,1.00000,1.00000,0,2.50000,,,
1987,Couple with children,No answer / don't know,,,,,,,,,,,,
1987,Couple with children,Owner,938,1.02062,0.95884,1.08240,0.00000,1.00000,2.00000,0,5.00000,,,
1987,Couple with children,Tenant,1254,1.31344,1.25706,1.36981,1.00000,1.00000,2.00000,0,3.50000,,,
1987,Multi-generational household,Owner,62,1.09515,0.84945,1.34084,0.00000,1.00000,2.00000,0,5.00000,,,
1987,Multi-generational household,Tenant,59,1.18577,0.90438,1.46715,0.00000,1.00000,2.00000,0,5.00000,,,
1987,Other Combinations,Owner,43,0.06931,-0.00885,0.14748,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Other Combinations,Tenant,70,0.26703,0.12333,0.41072,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Single-person household,Owner,226,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Single-person household,Tenant,811,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Couple without children,Owner,448,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Couple without children,Tenant,720,0.00067,-0.00122,0.00256,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Single parent,No answer / don't know,,,,,,,,,,,,
1988,Single parent,Owner,91,0.37177,0.21924,0.52431,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Single parent,Tenant,183,0.83844,0.70895,0.96794,0.00000,1.00000,1.00000,0,2.50000,,,
1988,Couple with children,Owner,903,0.99361,0.92993,1.05728,0.00000,1.00000,2.00000,0,5.00000,,,
1988,Couple with children,Tenant,1187,1.30607,1.24746,1.36468,1.00000,1.00000,2.00000,0,3.50000,,,
1988,Multi-generational household,Owner,47,1.03869,0.75186,1.32552,0.00000,1.00000,2.00000,0,5.00000,,,
1988,Multi-generational household,Tenant,57,1.34698,1.03707,1.65689,1.00000,1.00000,2.00000,0,3.50000,,,
1988,Other Combinations,Owner,33,0.12854,0.00986,0.24722,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Other Combinations,Tenant,63,0.30810,0.15498,0.46123,0.00000,0.00000,0.00512,0,0.01280,,,
1989,Single-person household,Owner,223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,Single-person household,Tenant,817,0.00079,-0.00114,0.00271,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,Couple without children,Owner,441,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,Couple without children,Tenant,717,0.00064,-0.00121,0.00250,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,Single parent,No answer / don't know,,,,,,,,,,,,
1989,Single parent,Owner,95,0.33975,0.19524,0.48425,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,Single parent,Tenant,161,0.87817,0.73883,1.01751,0.00000,1.00000,1.00000,0,2.50000,,,
1989,Couple with children,No answer / don't know,,,,,,,,,,,,
1989,Couple with children,Owner,869,0.99663,0.92975,1.06351,0.00000,1.00000,2.00000,0,5.00000,,,
1989,Couple with children,Tenant,1128,1.30174,1.24330,1.36018,1.00000,1.00000,2.00000,0,3.50000,,,
1989,Multi-generational household,Owner,52,0.92072,0.66683,1.17460,0.00000,1.00000,1.00000,0,2.50000,,,
1989,Multi-generational household,Tenant,57,1.39653,1.11379,1.67927,1.00000,1.00000,2.00000,0,3.50000,,,
1989,Other Combinations,Owner,33,0.17029,-0.01814,0.35872,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,Other Combinations,Tenant,55,0.42585,0.21550,0.63619,0.00000,0.00000,1.00000,0,2.50000,,,
1990,Single-person household,No answer / don't know,,,,,,,,,,,,
1990,Single-person household,Owner,272,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1990,Single-person household,Tenant,1052,0.00020,-0.00065,0.00105,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1990,Couple without children,No answer / don't know,,,,,,,,,,,,
1990,Couple without children,Owner,610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1990,Couple without children,Tenant,1053,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1990,Single parent,Owner,110,0.31591,0.18804,0.44378,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1990,Single parent,Tenant,276,0.85593,0.75466,0.95720,0.00000,1.00000,1.00000,0,2.50000,,,
1990,Couple with children,No answer / don't know,,,,,,,,,,,,
1990,Couple with children,Owner,1218,1.02935,0.97086,1.08783,0.00000,1.00000,2.00000,0,5.00000,,,
1990,Couple with children,Tenant,1841,1.30198,1.25829,1.34567,1.00000,1.00000,2.00000,0,3.50000,,,
1990,Multi-generational household,No answer / don't know,,,,,,,,,,,,
1990,Multi-generational household,Owner,88,1.01242,0.83553,1.18932,0.00000,1.00000,2.00000,0,5.00000,,,
1990,Multi-generational household,Tenant,82,1.23652,0.99355,1.47950,0.00000,1.00000,2.00000,0,5.00000,,,
1990,Other Combinations,Owner,64,0.20675,0.06625,0.34726,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1990,Other Combinations,Tenant,78,0.55123,0.33782,0.76463,0.00000,0.00000,1.00000,0,2.50000,,,
1991,Single-person household,Owner,264,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,Single-person household,Tenant,1029,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,Couple without children,Owner,614,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,Couple without children,Tenant,1040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,Single parent,Owner,118,0.26210,0.16096,0.36325,0.00000,0.00000,0.00000,0.00000,0.00000,,,
