year,regtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,Owner,1302,0.50939,0.45221,0.54975,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1985,Urban regions,Tenant,2891,0.37387,0.34605,0.40106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1985,Rural regions,Owner,563,0.61391,0.54546,0.69453,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1985,Rural regions,Tenant,516,0.40465,0.34146,0.47152,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1986,Urban regions,Owner,1289,0.47957,0.42878,0.52350,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1986,Urban regions,Tenant,2723,0.37452,0.34190,0.40454,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1986,Rural regions,Owner,547,0.57688,0.50416,0.64670,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1986,Rural regions,Tenant,476,0.43225,0.36229,0.49539,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1987,Urban regions,Owner,1299,0.45735,0.41146,0.50012,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1987,Urban regions,Tenant,2664,0.35965,0.32837,0.38952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1987,Rural regions,Owner,531,0.54443,0.47456,0.61425,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1987,Rural regions,Tenant,479,0.48472,0.38914,0.56338,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1988,Urban regions,Owner,1259,0.45323,0.41012,0.49923,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1988,Urban regions,Tenant,2556,0.34556,0.31698,0.37502,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1988,Rural regions,Owner,489,0.49081,0.42420,0.57250,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1988,Rural regions,Tenant,465,0.50668,0.42981,0.59381,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1989,Urban regions,Owner,1243,0.44724,0.40735,0.49144,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1989,Urban regions,Tenant,2491,0.33952,0.31035,0.37014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1989,Rural regions,Owner,470,0.48732,0.42088,0.56891,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1989,Rural regions,Tenant,444,0.49497,0.41039,0.57758,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1990,Urban regions,Owner,1339,0.46080,0.40131,0.50178,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1990,Urban regions,Tenant,3071,0.37659,0.34960,0.40391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1990,Rural regions,Owner,1021,0.50028,0.44500,0.54785,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1990,Rural regions,Tenant,1268,0.48205,0.42755,0.52787,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1991,Urban regions,Owner,1341,0.46237,0.41294,0.50623,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1991,Urban regions,Tenant,3016,0.37338,0.34730,0.40394,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1991,Rural regions,Owner,995,0.52340,0.46147,0.58898,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1991,Rural regions,Tenant,1230,0.48257,0.42856,0.53539,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1992,Urban regions,Owner,1370,0.48417,0.43594,0.52853,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1992,Urban regions,Tenant,3005,0.36839,0.33863,0.39967,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1992,Rural regions,Owner,962,0.53656,0.47729,0.59444,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1992,Rural regions,Tenant,1207,0.46981,0.41911,0.52534,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1993,Urban regions,Owner,1359,0.49606,0.45248,0.54187,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1993,Urban regions,Tenant,3009,0.36706,0.33775,0.39997,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1993,Rural regions,Owner,963,0.53549,0.48406,0.59603,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1993,Rural regions,Tenant,1238,0.43380,0.38346,0.48319,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1994,Urban regions,Owner,1347,0.50830,0.44157,0.56367,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1994,Urban regions,Tenant,2965,0.35881,0.32381,0.39003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1994,Rural regions,Owner,984,0.54822,0.49257,0.61606,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1994,Rural regions,Tenant,1197,0.41688,0.37062,0.46116,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
