"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","1.14","0.5","7105","1.11","1.17"
"1995","2","0.76","0","4950","0.73","0.79"
"1995","3","0.67","0","3017","0.64","0.7"
"1995","4","0.46","0","1795","0.42","0.5"
"1995","5 Einkommensstärkstes Quintil","0.33","0","845","0.28","0.38"
"1996","1 Einkommensschwächstes Quintil","1.05","0.5","6374","1.02","1.08"
"1996","2","0.88","0","4936","0.85","0.91"
"1996","3","0.64","0","3156","0.61","0.67"
"1996","4","0.53","0","1901","0.49","0.57"
"1996","5 Einkommensstärkstes Quintil","0.37","0","972","0.32","0.42"
"1997","1 Einkommensschwächstes Quintil","1.09","0.5","5987","1.06","1.12"
"1997","2","0.87","0","4827","0.84","0.9"
"1997","3","0.66","0","3291","0.63","0.69"
"1997","4","0.46","0","1935","0.42","0.5"
"1997","5 Einkommensstärkstes Quintil","0.38","0","967","0.33","0.43"
"1998","1 Einkommensschwächstes Quintil","1.09","0.5","6439","1.06","1.12"
"1998","2","0.85","0","5174","0.82","0.88"
"1998","3","0.66","0","3597","0.63","0.69"
"1998","4","0.55","0","2383","0.51","0.59"
"1998","5 Einkommensstärkstes Quintil","0.34","0","1163","0.3","0.38"
"1999","1 Einkommensschwächstes Quintil","1.06","0.5","5258","1.03","1.09"
"1999","2","0.9","0","5303","0.87","0.93"
"1999","3","0.75","0","3663","0.72","0.78"
"1999","4","0.45","0","2438","0.42","0.48"
"1999","5 Einkommensstärkstes Quintil","0.39","0","1326","0.35","0.43"
"2000","1 Einkommensschwächstes Quintil","1.1","0.5","8689","1.07","1.13"
"2000","2","0.88","0","8714","0.86","0.9"
"2000","3","0.69","0","6738","0.67","0.71"
"2000","4","0.49","0","4752","0.46","0.52"
"2000","5 Einkommensstärkstes Quintil","0.36","0","2914","0.33","0.39"
"2001","1 Einkommensschwächstes Quintil","1.09","0.5","7277","1.06","1.12"
"2001","2","0.91","0.5","7647","0.89","0.93"
"2001","3","0.67","0","6305","0.65","0.69"
"2001","4","0.51","0","4636","0.48","0.54"
"2001","5 Einkommensstärkstes Quintil","0.34","0","2863","0.31","0.37"
"2002","1 Einkommensschwächstes Quintil","1.06","0.5","6246","1.03","1.09"
"2002","2","0.93","0.5","6580","0.9","0.96"
"2002","3","0.74","0","5965","0.71","0.77"
"2002","4","0.43","0","5859","0.4","0.46"
"2002","5 Einkommensstärkstes Quintil","0.4","0","5466","0.37","0.43"
"2003","1 Einkommensschwächstes Quintil","1.04","0.5","5780","1.01","1.07"
"2003","2","0.93","0.5","6126","0.9","0.96"
"2003","3","0.75","0","6132","0.72","0.78"
"2003","4","0.45","0","5838","0.43","0.47"
"2003","5 Einkommensstärkstes Quintil","0.4","0","4916","0.37","0.43"
"2004","1 Einkommensschwächstes Quintil","1","0.5","5565","0.97","1.03"
"2004","2","0.91","0","5923","0.88","0.94"
"2004","3","0.71","0","5887","0.68","0.74"
