"year","mean","median","n","lower_confidence","upper_confidence"
"1984","0.86","0","16176","0.84","0.88"
"1985","0.8","0","14598","0.78","0.82"
"1986","0.79","0","13894","0.77","0.81"
"1987","0.77","0","13642","0.75","0.79"
"1988","0.76","0","13013","0.74","0.78"
"1989","0.75","0","12594","0.73","0.77"
"1990","0.78","0","18534","0.76","0.8"
"1991","0.78","0","18144","0.76","0.8"
"1992","0.8","0","17842","0.78","0.82"
"1993","0.79","0","17528","0.77","0.81"
"1994","0.8","0","17138","0.78","0.82"
"1995","0.81","0","17712","0.79","0.83"
"1996","0.8","0","17339","0.78","0.82"
"1997","0.8","0","17007","0.78","0.82"
"1998","0.8","0","18756","0.78","0.82"
"1999","0.79","0","17988","0.77","0.81"
"2000","0.78","0","31807","0.77","0.79"
"2001","0.77","0","28728","0.76","0.78"
"2002","0.77","0","30116","0.76","0.78"
"2003","0.76","0","28792","0.75","0.77"
"2004","0.73","0","27931","0.72","0.74"
"2005","0.71","0","26706","0.7","0.72"
"2006","0.7","0","28668","0.69","0.71"
"2007","0.68","0","26618","0.67","0.69"
"2008","0.65","0","24877","0.64","0.66"
"2009","0.63","0","23221","0.62","0.64"
"2010","0.62","0","37468","0.61","0.63"
"2011","0.64","0","44001","0.63","0.65"
"2012","0.63","0","42406","0.62","0.64"
"2013","0.63","0","47665","0.62","0.64"
"2014","0.63","0","41507","0.62","0.64"
"2015","0.63","0","41052","0.62","0.64"
"2016","0.64","0","45088","0.63","0.65"
"2017","0.65","0","50153","0.64","0.66"
"2018","0.64","0","48143","0.63","0.65"
"2019","0.65","0","48664","0.64","0.66"
"2020","0.66","0","49931","0.65","0.67"
