year,quintil_oecd_hh,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,1208,0.60785,0.55034,0.66537,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1984,2nd Quintile,1197,0.61397,0.56171,0.66623,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1984,3rd Quintile,1174,0.54025,0.49077,0.58973,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1984,4th Quintile,1185,0.42210,0.37895,0.46525,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1984,5th Quintile,1078,0.25522,0.21938,0.29107,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1985,1st Quintile,1077,0.56246,0.50372,0.62120,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1985,2nd Quintile,1076,0.57966,0.52558,0.63374,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1985,3rd Quintile,1084,0.48147,0.43316,0.52977,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1985,4th Quintile,1047,0.34810,0.30738,0.38882,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1985,5th Quintile,981,0.25216,0.21477,0.28955,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1986,1st Quintile,995,0.50821,0.44818,0.56824,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1986,2nd Quintile,1034,0.60594,0.54925,0.66262,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1986,3rd Quintile,1032,0.49332,0.44289,0.54375,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1986,4th Quintile,1021,0.32220,0.28277,0.36163,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1986,5th Quintile,952,0.24272,0.20432,0.28112,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1987,1st Quintile,952,0.47978,0.42073,0.53883,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1987,2nd Quintile,1013,0.57951,0.52069,0.63832,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1987,3rd Quintile,1032,0.48537,0.43572,0.53502,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1987,4th Quintile,1023,0.32471,0.28465,0.36477,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1987,5th Quintile,952,0.23962,0.20106,0.27817,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1988,1st Quintile,942,0.49373,0.43335,0.55412,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1988,2nd Quintile,969,0.55304,0.49417,0.61190,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1988,3rd Quintile,987,0.47361,0.42239,0.52483,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
1988,4th Quintile,980,0.31243,0.27072,0.35415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1988,5th Quintile,890,0.21505,0.17760,0.25250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1989,1st Quintile,912,0.47680,0.41425,0.53934,0.00000,0.00000,1.00000,0.00000,2.50000,0.00000,0.00000,0.00000
