year,regtyp,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,Urban regions,West,81.31083009617453,80.75814876551046,81.8635114268386,57.30920908334044,74.0,100.0,9.0,164.03618637498934,74.0,73.0,76.0,4039.0
1985,Rural regions,West,93.53360087180099,92.4461571614203,94.62104458218167,67.0,90.0,115.0,13.0,187.0,90.0,90.0,92.0,1035.0
1986,Urban regions,West,75.42198283091084,73.97896787388818,76.86499778793349,51.0,70.0,92.0,8.0,153.5,70.0,65.0,72.0,559.0
1986,Rural regions,West,90.85199205033653,87.15208686729673,94.55189723337634,60.28982098799356,76.0,115.36804258917198,16.0,197.9853749909396,76.0,66.0,82.0,122.0
1987,Urban regions,West,75.19230115809465,73.77407517306271,76.61052714312659,50.0,70.0,94.35277134424057,12.0,160.88192836060142,70.0,65.0,72.0,483.0
1987,Rural regions,West,87.90432801842005,84.52033922971923,91.28831680712086,63.13656932608742,80.0,106.3134863233499,20.0,171.07886181924363,80.0,76.94999999999999,85.0,109.0
1988,Urban regions,West,77.43037772554132,75.71940626187747,79.14134918920517,54.0,70.0,90.0,10.0,144.0,70.0,65.0,74.025,461.0
1988,Rural regions,West,83.0999689873121,78.6530204175428,87.54691755708139,55.988495636505526,71.64321666083305,96.0,25.0,156.0172565452417,73.0,65.87499999999997,80.0,98.0
1989,Urban regions,West,78.24155847427645,76.57902505305242,79.90409189550047,53.0,70.0,93.98573348383184,12.0,155.4643337095796,70.0,65.0,73.0,432.0
1989,Rural regions,West,87.29268872317414,83.25335556507392,91.33202188127436,56.46530341959046,80.17266180069907,110.0,15.0,190.3020448706143,80.0,70.0,88.0,100.0
1990,Urban regions,West,79.88721057399506,77.8913642811439,81.88305686684623,52.38720192015276,75.0,100.0,10.0,171.41919711977084,75.0,70.0,80.0,376.0
1990,Urban regions,East,61.47660367677378,60.59327060351388,62.359936750033675,45.0,58.77082466596356,72.0,10.0,112.5,58.0,56.0,61.0,748.0
1990,Rural regions,West,84.93411935842164,81.15953429637116,88.70870442047212,56.0,71.74970564672371,110.0,16.0,191.0,72.0,64.0,76.0,108.0
1990,Rural regions,East,67.21311318441008,66.40651515137878,68.01971121744137,47.0087575804787,60.0,80.0,13.0,129.48686362928194,60.0,60.0,61.0,1348.0
1991,Urban regions,West,79.70456777739508,77.90292358579369,81.50621196899648,53.0,70.0,100.0,9.0,170.5,70.0,65.0,75.0,390.0
1991,Urban regions,East,61.68088854124652,58.049723904840306,65.31205317765273,48.0,59.36583504756304,77.70945237369196,14.0,120.0,60.0,51.974999999999994,71.0,43.0
1991,Rural regions,West,93.06839787257148,88.77105380887303,97.36574193626993,60.0,93.0,120.0,15.0,210.0,93.0,86.0,106.125,102.0
1991,Rural regions,East,73.26768653794709,68.55952241029037,77.9758506656038,42.0,60.0,90.55301655332255,16.0,163.38254138330637,60.0,48.0,70.0,88.0
1992,Urban regions,West,79.08880608950074,77.20891513278013,80.96869704622134,54.0,71.61112364419523,100.0,12.0,169.0,72.0,68.0,79.0,374.0
1992,Urban regions,East,56.93233101720671,53.627116725998654,60.23754530841476,36.0,50.0,68.0,20.0,116.0,50.0,37.974999999999994,54.0,60.0
1992,Rural regions,West,92.88720835029655,88.64073855218844,97.13367814840466,60.0,80.0,120.0,30.0,210.0,80.0,67.87499999999997,90.0,103.0
1992,Rural regions,East,72.01907919992966,68.59030146392959,75.44785693592974,48.72628135721341,60.0,80.81625526351412,15.0,128.9512161229652,60.0,55.0,64.025,106.0
1993,Urban regions,West,86.51000163837162,84.53213903715249,88.48786423959075,60.0,80.0,102.39819736435084,18.0,165.9954934108771,80.0,75.0,88.0,426.0
1993,Urban regions,East,62.853504725305385,60.089126687941636,65.61788276266913,46.0,60.0,70.0,29.0,106.0,60.0,54.0,65.0,55.0
1993,Rural regions,West,92.07654190283755,88.06858642101326,96.08449738466183,60.0,86.40618619016396,120.0,10.0,210.0,87.0,74.0,104.0,123.0
1993,Rural regions,East,83.35237085309205,79.60929256330799,87.09544914287612,51.60987112121926,75.0,105.56043891048381,14.0,186.48629059438065,75.0,65.84999999999997,80.0,99.0
1994,Urban regions,West,78.78440120375072,77.02936979982903,80.53943260767241,52.0,70.0,100.0,15.0,172.0,70.0,62.0,77.0,436.0
1994,Urban regions,East,67.47914307888576,64.43507662178011,70.5232095359914,47.0,60.0,82.54266626650863,28.0,135.85666566627157,60.0,46.974999999999994,66.0,74.0
1994,Rural regions,West,91.08412644265962,87.64038607178406,94.52786681353518,53.0,85.0,120.80615460733821,20.0,222.51538651834554,85.0,80.0,94.0,138.0
1994,Rural regions,East,70.99327621367489,67.31010840692826,74.67644402042151,45.0,57.91756959240379,91.67450135794618,10.0,161.68625339486545,58.0,49.92499999999998,66.0,103.0
1995,Urban regions,West,80.41185972565829,78.94037510638225,81.88334434493433,55.0,72.0,100.0,12.0,167.5,72.0,65.94999999999999,74.0,616.0
1995,Urban regions,East,72.92857698027396,69.26475372095182,76.5924002395961,50.0,68.50284839467513,81.36020389375531,29.0,128.40050973438827,70.0,65.0,83.0,61.0
1995,Rural regions,West,98.87143086160671,95.36206259439794,102.38079912881548,64.4113083228083,90.0,120.0,18.0,203.38303751578755,90.0,80.0,100.0,170.0
