year,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,West,84.53311051186202,84.0798481110679,84.98637291265614,60.0,79.0,100.0,6.0,160.0,79.0,78.0,81.025,5827.0
1985,West,84.10864200350187,83.61125217204574,84.606031834958,60.0,78.0,100.0,9.0,160.0,78.0,76.0,81.0,5074.0
1986,West,78.52125006035556,77.13952264623717,79.90297747447394,55.0,72.0,95.86613995168643,8.0,157.16534987921608,72.0,69.0,75.0,681.0
1987,West,77.61263091121829,76.2829700345671,78.94229178786948,55.0,74.0,95.0,12.0,155.0,74.0,73.0,78.0,592.0
1988,West,78.48283435187987,76.86497708450993,80.10069161924982,54.0,70.0,93.0,10.0,151.5,70.0,65.0,73.0,559.0
1989,West,79.87454321825363,78.32102866582477,81.4280577706825,54.233042228735684,73.0,100.0,12.0,168.6504366568965,73.0,69.0,76.0,532.0
1990,West,81.02799375562417,79.26107930239063,82.7949082088577,54.30668537504334,75.0,100.0,10.0,168.53997193743498,75.0,71.975,80.0,484.0
1990,East,65.03802166764187,64.43961859617556,65.63642473910818,47.0,60.0,78.0,10.0,124.5,60.0,60.0,61.025,2141.0
1991,West,82.91195375236919,81.20192487760617,84.6219826271322,55.0,74.58267491538547,106.10490970920088,9.0,182.76227427300222,75.0,70.0,81.025,493.0
1991,East,68.97767888813105,65.73689846632728,72.21845930993483,45.0,60.0,82.88014739240128,14.0,139.7003684810032,60.0,55.0,65.0,136.0
1992,West,82.14515858849931,80.40620423272063,83.884112944278,55.0,74.38148652299785,100.0,12.0,167.5,74.0,70.0,78.0,482.0
1992,East,66.14095126517661,63.67707403376048,68.60482849659275,46.509880609870706,58.0,76.0,15.0,120.23517908519395,58.0,52.0,63.0,171.0
1993,West,87.81503302836289,86.03269184341536,89.59737421331042,60.0,80.0,105.0,10.0,172.5,80.0,75.0,86.0,549.0
1993,East,75.83511890386997,73.13759673351221,78.53264107422773,49.402589141777014,70.0,100.0,14.0,175.89611628733448,70.0,65.0,78.0,154.0
1994,West,82.14875697454323,80.5591608178254,83.73835313126106,52.0,75.0,102.0,15.0,177.0,75.0,70.0,84.025,574.0
