"year","mean","median","n","lower_confidence","upper_confidence"
"1984","94.83","89.5","16068","94.27","95.39"
"1985","94.46","89.5","14021","93.84","95.08"
"1986","90.72","79.5","1659","88.87","92.57"
"1987","87.48","81.5","1451","85.77","89.19"
"1988","91.47","79.5","1379","89.08","93.86"
"1989","90.79","81.5","1311","88.63","92.95"
"1990","77.31","69.5","7250","76.54","78.08"
"1991","92.2","89.5","1592","90.21","94.19"
"1992","91.2","80.5","1654","89.26","93.14"
"1993","97.3","89.5","1755","95.28","99.32"
"1994","93.64","87.5","1904","91.8","95.48"
"1995","94.48","85.5","2651","92.86","96.1"
"1996","94.92","84.5","2244","93.15","96.69"
"1997","92.24","84.5","2089","90.51","93.97"
"1998","98.64","89.5","18590","98.07","99.21"
"1999","98.64","86.5","2179","96.58","100.7"
"2000","101.23","92.5","16289","100.57","101.89"
"2001","99.52","89.5","3085","97.97","101.07"
"2002","100.41","92.5","29681","99.88","100.94"
"2003","100","91.5","28690","99.47","100.53"
"2004","100.79","93.5","27836","100.24","101.34"
"2005","101.18","93.5","26659","100.62","101.74"
"2006","101.01","91.5","28583","100.45","101.57"
"2007","102.35","94.5","26539","101.76","102.94"
"2008","103.41","95.5","24799","102.81","104.01"
"2009","104.19","97.5","23140","103.57","104.81"
"2010","104.92","97.5","37341","104.44","105.4"
"2011","105.3","97.5","43918","104.84","105.76"
"2012","105.97","99.5","42358","105.5","106.44"
"2013","104.76","97.5","47522","104.33","105.19"
"2014","105.46","97.5","41364","105","105.92"
"2015","105.53","99.5","40834","105.06","106"
"2016","105.89","99.5","43901","105.45","106.33"
"2017","106.38","99.5","48894","105.97","106.79"
"2018","107.09","99.5","46820","106.67","107.51"
"2019","108.02","99.5","48103","107.53","108.51"
"2020","109.29","99.5","49197","108.83","109.75"
