year,age_gr,migback,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,17-29 y.,No migration background,Very seldom,0.17274,538,2679,0.15842,0.18705
2007,17-29 y.,No migration background,Seldom,0.31269,913,2679,0.29513,0.33024
2007,17-29 y.,No migration background,Sometimes,0.29097,831,2679,0.27377,0.30817
2007,17-29 y.,No migration background,Often,0.09418,301,2679,0.08311,0.10524
2007,17-29 y.,No migration background,Very often,0.04234,96,2679,0.03471,0.04997
2007,17-29 y.,Direct migration background,Very seldom,0.22501,60,234,0.17139,0.27863
2007,17-29 y.,Direct migration background,Seldom,0.30453,95,234,0.24543,0.36362
2007,17-29 y.,Direct migration background,Sometimes,0.27068,79,234,0.21363,0.32773
2007,17-29 y.,Indirect migration background,Very seldom,0.16061,96,426,0.12571,0.19552
2007,17-29 y.,Indirect migration background,Seldom,0.23541,130,426,0.19507,0.27574
2007,17-29 y.,Indirect migration background,Sometimes,0.32163,137,426,0.27722,0.36604
2007,17-29 y.,Indirect migration background,Often,0.16009,63,426,0.12523,0.19496
2007,30-45 y.,No migration background,Very seldom,0.21810,1100,4740,0.20635,0.22986
2007,30-45 y.,No migration background,Seldom,0.31802,1605,4740,0.30476,0.33128
2007,30-45 y.,No migration background,Sometimes,0.31688,1431,4740,0.30363,0.33013
2007,30-45 y.,No migration background,Often,0.11031,465,4740,0.10139,0.11923
2007,30-45 y.,No migration background,Very often,0.03446,139,4740,0.02927,0.03965
2007,30-45 y.,Direct migration background,Very seldom,0.21127,161,656,0.18000,0.24253
2007,30-45 y.,Direct migration background,Seldom,0.28368,205,656,0.24916,0.31821
2007,30-45 y.,Direct migration background,Sometimes,0.30554,196,656,0.27026,0.34082
2007,30-45 y.,Direct migration background,Often,0.16256,94,656,0.13431,0.19082
2007,30-45 y.,Indirect migration background,Very seldom,0.18146,60,257,0.13425,0.22867
2007,30-45 y.,Indirect migration background,Seldom,0.31521,79,257,0.25830,0.37212
2007,30-45 y.,Indirect migration background,Sometimes,0.32101,85,257,0.26382,0.37820
2007,30-45 y.,Indirect migration background,Often,0.14336,33,257,0.10043,0.18629
