year,sex,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,male,Very seldom,0.21431,2709,9739,0.20616,0.22246
2007,male,Seldom,0.29050,3571,9739,0.28149,0.29952
2007,male,Sometimes,0.22733,2562,9739,0.21900,0.23565
2007,male,Often,0.07084,691,9739,0.06574,0.07593
2007,male,Very often,0.02000,206,9739,0.01722,0.02279
2007,female,Very seldom,0.13707,1819,10704,0.13055,0.14358
2007,female,Seldom,0.23798,3235,10704,0.22991,0.24605
2007,female,Sometimes,0.30823,3775,10704,0.29949,0.31698
2007,female,Often,0.11571,1402,10704,0.10965,0.12177
2007,female,Very often,0.04162,473,10704,0.03783,0.04540
2008,male,Very seldom,0.21648,2509,9172,0.20805,0.22491
2008,male,Seldom,0.30335,3478,9172,0.29394,0.31276
2008,male,Sometimes,0.21764,2348,9172,0.20920,0.22609
2008,male,Often,0.07302,687,9172,0.06769,0.07834
2008,male,Very often,0.01631,150,9172,0.01372,0.01890
2008,female,Very seldom,0.13657,1704,10082,0.12987,0.14327
2008,female,Seldom,0.25120,3190,10082,0.24273,0.25967
2008,female,Sometimes,0.30018,3490,10082,0.29124,0.30913
2008,female,Often,0.11668,1263,10082,0.11042,0.12295
2008,female,Very often,0.03977,435,10082,0.03596,0.04358
2009,male,Very seldom,0.21013,2298,8553,0.20150,0.21876
2009,male,Seldom,0.30806,3280,8553,0.29827,0.31784
2009,male,Sometimes,0.23033,2240,8553,0.22140,0.23925
2009,male,Often,0.06544,592,8553,0.06019,0.07068
2009,male,Very often,0.01562,143,8553,0.01300,0.01825
2009,female,Very seldom,0.13021,1504,9367,0.12339,0.13702
2009,female,Seldom,0.25621,2983,9367,0.24737,0.26505
2009,female,Sometimes,0.29722,3259,9367,0.28797,0.30648
2009,female,Often,0.11496,1201,9367,0.10850,0.12143
2009,female,Very often,0.04486,420,9367,0.04067,0.04905
2010,male,Very seldom,0.19087,2134,7897,0.18221,0.19954
2010,male,Seldom,0.28323,2997,7897,0.27329,0.29317
2010,male,Sometimes,0.20908,2072,7897,0.20011,0.21805
2010,male,Often,0.06623,576,7897,0.06075,0.07172
2010,male,Very often,0.01269,118,7897,0.01022,0.01516
2010,female,Very seldom,0.11912,1417,8687,0.11231,0.12594
2010,female,Seldom,0.23306,2813,8687,0.22417,0.24195
2010,female,Sometimes,0.26376,2977,8687,0.25449,0.27303
2010,female,Often,0.10441,1132,8687,0.09798,0.11084
2010,female,Very often,0.03688,348,8687,0.03292,0.04085
2011,male,Very seldom,0.19471,2585,9739,0.18685,0.20258
2011,male,Seldom,0.27594,3629,9739,0.26706,0.28481
2011,male,Sometimes,0.21851,2686,9739,0.21030,0.22672
2011,male,Often,0.06026,684,9739,0.05553,0.06499
2011,male,Very often,0.01256,155,9739,0.01035,0.01477
2011,female,Very seldom,0.11702,1732,10904,0.11098,0.12305
2011,female,Seldom,0.22414,3317,10904,0.21631,0.23196
2011,female,Sometimes,0.27933,3971,10904,0.27091,0.28775
2011,female,Often,0.10906,1450,10904,0.10321,0.11491
2011,female,Very often,0.03294,434,10904,0.02959,0.03629
