year,regtyp,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Very seldom,0.18096,3121,13404,0.17444,0.18748
2007,Urban regions,Seldom,0.25845,4374,13404,0.25104,0.26586
2007,Urban regions,Sometimes,0.26413,4070,13404,0.25667,0.27159
2007,Urban regions,Often,0.09547,1388,13404,0.09050,0.10045
2007,Urban regions,Very often,0.03057,451,13404,0.02766,0.03349
2007,Rural regions,Very seldom,0.16240,1407,7039,0.15378,0.17102
2007,Rural regions,Seldom,0.27501,2432,7039,0.26458,0.28544
2007,Rural regions,Sometimes,0.27774,2267,7039,0.26728,0.28820
2007,Rural regions,Often,0.08987,705,7039,0.08319,0.09655
2007,Rural regions,Very often,0.03191,228,7039,0.02781,0.03602
2008,Urban regions,Very seldom,0.17923,2907,12629,0.17254,0.18592
2008,Urban regions,Seldom,0.27122,4266,12629,0.26347,0.27898
2008,Urban regions,Sometimes,0.25596,3745,12629,0.24835,0.26357
2008,Urban regions,Often,0.09752,1326,12629,0.09234,0.10269
2008,Urban regions,Very often,0.02960,385,12629,0.02664,0.03255
2008,Rural regions,Very seldom,0.16851,1306,6625,0.15950,0.17753
2008,Rural regions,Seldom,0.28875,2402,6625,0.27784,0.29966
2008,Rural regions,Sometimes,0.26753,2093,6625,0.25687,0.27819
2008,Rural regions,Often,0.09037,624,6625,0.08347,0.09728
2008,Rural regions,Very often,0.02537,200,6625,0.02158,0.02916
2009,Urban regions,Very seldom,0.17333,2543,11621,0.16645,0.18021
2009,Urban regions,Seldom,0.27269,3954,11621,0.26459,0.28078
2009,Urban regions,Sometimes,0.26633,3573,11621,0.25829,0.27437
2009,Urban regions,Often,0.09149,1176,11621,0.08625,0.09673
2009,Urban regions,Very often,0.03143,375,11621,0.02826,0.03460
2009,Rural regions,Very seldom,0.16144,1259,6299,0.15235,0.17052
2009,Rural regions,Seldom,0.30054,2309,6299,0.28922,0.31187
2009,Rural regions,Sometimes,0.26019,1926,6299,0.24936,0.27103
2009,Rural regions,Often,0.08881,617,6299,0.08179,0.09584
2009,Rural regions,Very often,0.02853,188,6299,0.02442,0.03264
2010,Urban regions,Very seldom,0.15908,2426,10856,0.15220,0.16596
2010,Urban regions,Seldom,0.25380,3751,10856,0.24561,0.26199
2010,Urban regions,Sometimes,0.23380,3253,10856,0.22584,0.24176
2010,Urban regions,Often,0.08443,1114,10856,0.07920,0.08966
2010,Urban regions,Very often,0.02630,312,10856,0.02329,0.02931
2010,Rural regions,Very seldom,0.14430,1125,5728,0.13520,0.15340
2010,Rural regions,Seldom,0.26614,2059,5728,0.25470,0.27759
2010,Rural regions,Sometimes,0.24351,1796,5728,0.23239,0.25463
2010,Rural regions,Often,0.08827,594,5728,0.08092,0.09561
2010,Rural regions,Very often,0.02218,154,5728,0.01836,0.02599
2011,Urban regions,Very seldom,0.15729,2788,13290,0.15110,0.16348
2011,Urban regions,Seldom,0.24569,4423,13290,0.23837,0.25301
