year,bula_h,pgisced97,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Lower Saxony,Pre-primary Level,General education,0.89596,54,54,0.81377,0.97816
2014,Lower Saxony,Lower Secondary Level,Vocational training,0.86431,41,41,0.75819,0.97044
2014,Lower Saxony,Upper Secondary Level,University/ Technical university,0.51471,43,78,0.40308,0.62634
2014,Lower Saxony,Upper Secondary Level,Vocational training,0.32891,35,78,0.22397,0.43385
2014,North Rhine-Westphalia,No answer / don't know,Vocational training,0.40301,35,35,0.23813,0.56789
2014,North Rhine-Westphalia,Pre-primary Level,General education,0.98589,103,103,0.96300,1.00878
2014,North Rhine-Westphalia,Lower Secondary Level,Vocational training,0.63336,84,84,0.52968,0.73703
2014,North Rhine-Westphalia,Upper Secondary Level,University/ Technical university,0.65182,113,166,0.57913,0.72451
2014,North Rhine-Westphalia,Upper Secondary Level,Vocational training,0.21565,53,166,0.15290,0.27841
2014,North Rhine-Westphalia,Second Stage of Tertiary Education,University/ Technical university,0.78295,52,52,0.66981,0.89609
2014,Hesse,Pre-primary Level,General education,0.99819,39,39,0.98469,1.01169
2014,Hesse,Upper Secondary Level,University/ Technical university,0.57608,47,47,0.43327,0.71889
2014,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Vocational training,0.73607,32,32,0.58091,0.89123
2014,Baden-Wuerttemberg,Pre-primary Level,General education,0.98592,48,48,0.95224,1.01960
2014,Baden-Wuerttemberg,Lower Secondary Level,Vocational training,0.82253,58,58,0.72335,0.92172
2014,Baden-Wuerttemberg,Upper Secondary Level,University/ Technical university,0.59180,56,56,0.46190,0.72170
2014,Bavaria,Pre-primary Level,General education,0.98300,66,66,0.95158,1.01443
2014,Bavaria,Lower Secondary Level,Vocational training,0.69432,67,67,0.58317,0.80546
2014,Bavaria,Upper Secondary Level,University/ Technical university,0.54728,86,133,0.46237,0.63220
2014,Bavaria,Upper Secondary Level,Vocational training,0.27615,47,133,0.19988,0.35242
2014,Berlin,Upper Secondary Level,University/ Technical university,0.69784,32,32,0.53620,0.85949
2015,Lower Saxony,Lower Secondary Level,Vocational training,0.86205,43,43,0.75775,0.96634
2015,Lower Saxony,Upper Secondary Level,University/ Technical university,0.41822,37,37,0.25708,0.57935
2015,North Rhine-Westphalia,No answer / don't know,University/ Technical university,0.41502,34,75,0.30276,0.52729
2015,North Rhine-Westphalia,No answer / don't know,Vocational training,0.51271,41,75,0.39883,0.62660
2015,North Rhine-Westphalia,Lower Secondary Level,Vocational training,0.63487,72,72,0.52287,0.74686
2015,North Rhine-Westphalia,Upper Secondary Level,University/ Technical university,0.46229,111,197,0.39249,0.53209
2015,North Rhine-Westphalia,Upper Secondary Level,Vocational training,0.29316,55,197,0.22943,0.35689
2015,North Rhine-Westphalia,Upper Secondary Level,Further training/ Retraining,0.22698,31,197,0.16834,0.28562
2015,North Rhine-Westphalia,Second Stage of Tertiary Education,University/ Technical university,0.76506,47,47,0.64254,0.88758
2015,Hesse,Upper Secondary Level,University/ Technical university,0.69077,44,44,0.55262,0.82891
2015,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Vocational training,0.58912,31,31,0.41307,0.76518
2015,Baden-Wuerttemberg,Lower Secondary Level,Vocational training,0.58843,48,48,0.44774,0.72913
2015,Baden-Wuerttemberg,Upper Secondary Level,University/ Technical university,0.71812,55,55,0.59811,0.83812
2015,Baden-Wuerttemberg,Second Stage of Tertiary Education,University/ Technical university,0.67599,31,31,0.50852,0.84346
2015,Bavaria,Lower Secondary Level,Vocational training,0.88092,63,63,0.80030,0.96154
2015,Bavaria,Upper Secondary Level,University/ Technical university,0.58576,84,127,0.49975,0.67177
2015,Bavaria,Upper Secondary Level,Vocational training,0.27531,43,127,0.19732,0.35330
2016,Lower Saxony,Lower Secondary Level,Vocational training,0.67731,50,50,0.54641,0.80821
2016,Lower Saxony,Upper Secondary Level,University/ Technical university,0.55999,49,82,0.45189,0.66809
2016,Lower Saxony,Upper Secondary Level,Vocational training,0.33223,33,82,0.22965,0.43480
2016,North Rhine-Westphalia,No answer / don't know,University/ Technical university,0.36531,34,73,0.25409,0.47654
2016,North Rhine-Westphalia,No answer / don't know,Vocational training,0.56113,39,73,0.44650,0.67575
2016,North Rhine-Westphalia,Pre-primary Level,General education,0.98713,96,96,0.96446,1.00980
2016,North Rhine-Westphalia,Lower Secondary Level,Vocational training,0.70448,74,74,0.59981,0.80915
2016,North Rhine-Westphalia,Upper Secondary Level,University/ Technical university,0.57642,102,167,0.50125,0.65159
2016,North Rhine-Westphalia,Upper Secondary Level,Vocational training,0.33734,65,167,0.26541,0.40926
2016,North Rhine-Westphalia,Second Stage of Tertiary Education,University/ Technical university,0.77631,47,47,0.65588,0.89673
2016,Hesse,Upper Secondary Level,University/ Technical university,0.66989,47,47,0.53400,0.80579
2016,Baden-Wuerttemberg,Lower Secondary Level,Vocational training,0.61390,47,47,0.47321,0.75460
2016,Baden-Wuerttemberg,Upper Secondary Level,University/ Technical university,0.60846,51,51,0.47316,0.74375
2016,Bavaria,Pre-primary Level,General education,0.99177,47,47,0.96567,1.01788
2016,Bavaria,Lower Secondary Level,Vocational training,0.64769,60,60,0.52580,0.76958
2016,Bavaria,Upper Secondary Level,University/ Technical university,0.46551,57,92,0.36302,0.56799
2016,Bavaria,Upper Secondary Level,Vocational training,0.27771,35,92,0.18569,0.36974
2016,Bavaria,Second Stage of Tertiary Education,University/ Technical university,0.86600,32,32,0.74608,0.98592
2017,Lower Saxony,Pre-primary Level,General education,0.88401,31,31,0.76943,0.99860
2017,Lower Saxony,Lower Secondary Level,Vocational training,0.62060,51,51,0.48609,0.75510
2017,Lower Saxony,Upper Secondary Level,University/ Technical university,0.51518,58,95,0.41415,0.61622
2017,Lower Saxony,Upper Secondary Level,Vocational training,0.36151,37,95,0.26439,0.45864
2017,North Rhine-Westphalia,No answer / don't know,University/ Technical university,0.41828,35,73,0.30434,0.53223
2017,North Rhine-Westphalia,No answer / don't know,Vocational training,0.53213,38,73,0.41687,0.64739
2017,North Rhine-Westphalia,Pre-primary Level,General education,0.94818,110,110,0.90657,0.98979
2017,North Rhine-Westphalia,Lower Secondary Level,Vocational training,0.64747,70,70,0.53474,0.76020
2017,North Rhine-Westphalia,Upper Secondary Level,University/ Technical university,0.50564,121,204,0.43687,0.57442
2017,North Rhine-Westphalia,Upper Secondary Level,Vocational training,0.38225,83,204,0.31540,0.44909
2017,North Rhine-Westphalia,Second Stage of Tertiary Education,University/ Technical university,0.72449,64,64,0.61417,0.83481
2017,Hesse,Pre-primary Level,General education,0.99243,40,40,0.96523,1.01963
2017,Hesse,Lower Secondary Level,Vocational training,0.85840,31,31,0.73365,0.98316
2017,Hesse,Upper Secondary Level,University/ Technical university,0.67193,46,46,0.53474,0.80911
2017,"Rhineland-Palatinate, Saarland",Upper Secondary Level,University/ Technical university,0.62047,31,31,0.44681,0.79412
2017,Baden-Wuerttemberg,Pre-primary Level,General education,0.93073,36,36,0.84661,1.01485
2017,Baden-Wuerttemberg,Lower Secondary Level,Vocational training,0.77387,47,47,0.65298,0.89476
2017,Baden-Wuerttemberg,Upper Secondary Level,University/ Technical university,0.59239,59,92,0.49143,0.69335
2017,Baden-Wuerttemberg,Upper Secondary Level,Vocational training,0.25661,33,92,0.16687,0.34635
