year,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,1st Quintile,General education,0.13269,187,915,0.11069,0.15468
2014,1st Quintile,University/ Technical university,0.48872,321,915,0.45631,0.52113
2014,1st Quintile,Vocational training,0.31124,314,915,0.28122,0.34126
2014,1st Quintile,Further training/ Retraining,0.06735,93,915,0.05110,0.08360
2014,2nd Quintile,General education,0.15521,120,580,0.12571,0.18471
2014,2nd Quintile,University/ Technical university,0.39814,164,580,0.35827,0.43802
2014,2nd Quintile,Vocational training,0.30774,213,580,0.27014,0.34533
2014,2nd Quintile,Further training/ Retraining,0.13891,83,580,0.11074,0.16708
2014,3rd Quintile,General education,0.13877,81,476,0.10768,0.16986
2014,3rd Quintile,University/ Technical university,0.37697,152,476,0.33339,0.42056
2014,3rd Quintile,Vocational training,0.36895,189,476,0.32556,0.41235
2014,3rd Quintile,Further training/ Retraining,0.11531,54,476,0.08658,0.14403
2014,4th Quintile,General education,0.12682,79,462,0.09644,0.15719
2014,4th Quintile,University/ Technical university,0.39026,165,462,0.34573,0.43479
2014,4th Quintile,Vocational training,0.36799,167,462,0.32397,0.41202
2014,4th Quintile,Further training/ Retraining,0.11493,51,462,0.08581,0.14404
2014,5th Quintile,General education,0.16551,77,372,0.12769,0.20333
2014,5th Quintile,University/ Technical university,0.46849,171,372,0.41771,0.51927
2014,5th Quintile,Vocational training,0.19146,65,372,0.15142,0.23150
2014,5th Quintile,Further training/ Retraining,0.17454,59,372,0.13591,0.21316
2015,1st Quintile,General education,0.12484,146,804,0.10197,0.14770
2015,1st Quintile,University/ Technical university,0.44375,278,804,0.40938,0.47811
2015,1st Quintile,Vocational training,0.30474,287,804,0.27290,0.33658
2015,1st Quintile,Further training/ Retraining,0.12668,93,804,0.10367,0.14968
2015,2nd Quintile,General education,0.12529,111,524,0.09691,0.15366
2015,2nd Quintile,University/ Technical university,0.37467,155,524,0.33319,0.41615
2015,2nd Quintile,Vocational training,0.39650,203,524,0.35458,0.43843
2015,2nd Quintile,Further training/ Retraining,0.10354,55,524,0.07743,0.12965
2015,3rd Quintile,General education,0.16918,84,463,0.13499,0.20337
2015,3rd Quintile,University/ Technical university,0.35041,176,463,0.30691,0.39392
2015,3rd Quintile,Vocational training,0.32581,160,463,0.28307,0.36855
2015,3rd Quintile,Further training/ Retraining,0.15460,43,463,0.12163,0.18756
2015,4th Quintile,General education,0.11683,69,406,0.08555,0.14812
2015,4th Quintile,University/ Technical university,0.43883,156,406,0.39050,0.48716
2015,4th Quintile,Vocational training,0.31461,133,406,0.26938,0.35983
2015,4th Quintile,Further training/ Retraining,0.12973,48,406,0.09700,0.16245
2015,5th Quintile,General education,0.14428,61,336,0.10665,0.18190
2015,5th Quintile,University/ Technical university,0.47833,154,336,0.42484,0.53183
2015,5th Quintile,Vocational training,0.22993,72,336,0.18487,0.27499
2015,5th Quintile,Further training/ Retraining,0.14746,49,336,0.10949,0.18543
2016,1st Quintile,General education,0.10399,136,802,0.08285,0.12513
2016,1st Quintile,University/ Technical university,0.52049,304,802,0.48589,0.55509
2016,1st Quintile,Vocational training,0.30730,273,802,0.27534,0.33925
2016,1st Quintile,Further training/ Retraining,0.06823,89,802,0.05076,0.08569
2016,2nd Quintile,General education,0.13905,103,494,0.10851,0.16960
2016,2nd Quintile,University/ Technical university,0.44641,147,494,0.40252,0.49029
2016,2nd Quintile,Vocational training,0.33379,198,494,0.29216,0.37541
2016,2nd Quintile,Further training/ Retraining,0.08076,46,494,0.05670,0.10481
2016,3rd Quintile,General education,0.13897,71,408,0.10537,0.17258
2016,3rd Quintile,University/ Technical university,0.36018,134,408,0.31354,0.40681
2016,3rd Quintile,Vocational training,0.35170,154,408,0.30531,0.39809
2016,3rd Quintile,Further training/ Retraining,0.14915,49,408,0.11454,0.18376
2016,4th Quintile,General education,0.16480,69,376,0.12725,0.20235
2016,4th Quintile,University/ Technical university,0.46112,156,376,0.41066,0.51157
2016,4th Quintile,Vocational training,0.21734,98,376,0.17559,0.25908
2016,4th Quintile,Further training/ Retraining,0.15675,53,376,0.11995,0.19354
2016,5th Quintile,General education,0.14182,58,330,0.10413,0.17952
2016,5th Quintile,University/ Technical university,0.43822,151,330,0.38460,0.49183
2016,5th Quintile,Vocational training,0.26133,76,330,0.21385,0.30881
2016,5th Quintile,Further training/ Retraining,0.15863,45,330,0.11915,0.19811
2017,1st Quintile,General education,0.10623,168,894,0.08602,0.12644
2017,1st Quintile,University/ Technical university,0.53576,300,894,0.50305,0.56847
2017,1st Quintile,Vocational training,0.27866,309,894,0.24926,0.30807
2017,1st Quintile,Further training/ Retraining,0.07935,117,894,0.06162,0.09707
2017,2nd Quintile,General education,0.13311,95,490,0.10300,0.16322
2017,2nd Quintile,University/ Technical university,0.40415,160,490,0.36066,0.44765
2017,2nd Quintile,Vocational training,0.41821,200,490,0.37449,0.46193
2017,2nd Quintile,Further training/ Retraining,0.04453,35,490,0.02625,0.06282
2017,3rd Quintile,General education,0.17692,76,390,0.13900,0.21485
2017,3rd Quintile,University/ Technical university,0.42984,142,390,0.38065,0.47904
2017,3rd Quintile,Vocational training,0.27188,127,390,0.22767,0.31610
2017,3rd Quintile,Further training/ Retraining,0.12135,45,390,0.08890,0.15380
2017,4th Quintile,General education,0.19563,68,365,0.15487,0.23638
2017,4th Quintile,University/ Technical university,0.38388,137,365,0.33392,0.43384
2017,4th Quintile,Vocational training,0.31173,115,365,0.26414,0.35931
2017,4th Quintile,Further training/ Retraining,0.10877,45,365,0.07678,0.14075
2017,5th Quintile,General education,0.15265,59,321,0.11325,0.19206
2017,5th Quintile,University/ Technical university,0.40505,146,321,0.35127,0.45884
2017,5th Quintile,Vocational training,0.27049,67,321,0.22182,0.31916
2017,5th Quintile,Further training/ Retraining,0.17181,49,321,0.13048,0.21314
2018,1st Quintile,General education,0.09436,172,1023,0.07644,0.11228
2018,1st Quintile,University/ Technical university,0.50216,357,1023,0.47150,0.53281
2018,1st Quintile,Vocational training,0.33288,387,1023,0.30398,0.36177
2018,1st Quintile,Further training/ Retraining,0.07061,107,1023,0.05490,0.08631
2018,2nd Quintile,General education,0.16154,110,562,0.13108,0.19199
2018,2nd Quintile,University/ Technical university,0.38761,181,562,0.34730,0.42793
2018,2nd Quintile,Vocational training,0.33494,217,562,0.29589,0.37400
2018,2nd Quintile,Further training/ Retraining,0.11591,54,562,0.08942,0.14239
2018,3rd Quintile,General education,0.18203,87,423,0.14522,0.21885
2018,3rd Quintile,University/ Technical university,0.40669,162,423,0.35982,0.45356
2018,3rd Quintile,Vocational training,0.30420,129,423,0.26030,0.34809
2018,3rd Quintile,Further training/ Retraining,0.10708,45,423,0.07758,0.13658
2018,4th Quintile,General education,0.15731,65,385,0.12090,0.19373
2018,4th Quintile,University/ Technical university,0.46716,172,385,0.41726,0.51706
2018,4th Quintile,Vocational training,0.28225,109,385,0.23723,0.32727
2018,4th Quintile,Further training/ Retraining,0.09327,39,385,0.06418,0.12236
2018,5th Quintile,General education,0.13019,58,330,0.09383,0.16655
2018,5th Quintile,University/ Technical university,0.48374,156,330,0.42973,0.53774
2018,5th Quintile,Vocational training,0.23250,71,330,0.18686,0.27815
2018,5th Quintile,Further training/ Retraining,0.15357,45,330,0.11461,0.19253
2019,1st Quintile,General education,0.08587,152,967,0.06820,0.10354
2019,1st Quintile,University/ Technical university,0.53651,326,967,0.50506,0.56796
2019,1st Quintile,Vocational training,0.31337,395,967,0.28412,0.34262
2019,1st Quintile,Further training/ Retraining,0.06425,94,967,0.04878,0.07971
2019,2nd Quintile,General education,0.17119,97,526,0.13896,0.20341
2019,2nd Quintile,University/ Technical university,0.39685,165,526,0.35500,0.43870
2019,2nd Quintile,Vocational training,0.34177,223,526,0.30119,0.38234
