,Unnamed: 0,year,quintil_oecd,sampreg,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2014,1st Quintile,West,General education,0.15228,166,2560,0.1274,0.17615
1,1,2014,1st Quintile,West,University/ Technical university,0.48277,245,2560,0.40954,0.55347
2,2,2014,1st Quintile,West,Vocational training,0.2917,227,2560,0.24334,0.331
3,3,2014,1st Quintile,West,Further training/ Retraining,0.07325,77,2560,0.0558,0.09194
4,4,2014,1st Quintile,East,University/ Technical university,0.59278,76,2560,0.4564,0.75731
5,5,2014,1st Quintile,East,Vocational training,0.40722,88,2560,0.30553,0.53356
6,6,2014,2nd Quintile,West,General education,0.14543,105,2560,0.11951,0.17492
7,7,2014,2nd Quintile,West,University/ Technical university,0.38641,126,2560,0.29634,0.48979
8,8,2014,2nd Quintile,West,Vocational training,0.31936,170,2560,0.26776,0.38953
9,9,2014,2nd Quintile,West,Further training/ Retraining,0.1488,62,2560,0.10328,0.21348
10,10,2014,2nd Quintile,East,University/ Technical university,0.52173,35,2560,0.38204,0.66515
11,11,2014,2nd Quintile,East,Vocational training,0.47827,36,2560,0.29822,0.77045
12,12,2014,3rd Quintile,West,General education,0.13764,65,2560,0.10473,0.17139
13,13,2014,3rd Quintile,West,University/ Technical university,0.40751,137,2560,0.33803,0.49848
14,14,2014,3rd Quintile,West,Vocational training,0.34787,172,2560,0.27819,0.42242
15,15,2014,3rd Quintile,West,Further training/ Retraining,0.10699,40,2560,0.06989,0.14834
16,16,2014,4th Quintile,West,General education,0.17632,81,2560,0.13747,0.22526
17,17,2014,4th Quintile,West,University/ Technical university,0.39121,142,2560,0.31768,0.45617
18,18,2014,4th Quintile,West,Vocational training,0.32847,140,2560,0.27695,0.38569
19,19,2014,4th Quintile,West,Further training/ Retraining,0.10401,47,2560,0.0757,0.13624
20,20,2014,5th Quintile,West,General education,0.13946,61,2560,0.10089,0.18398
21,21,2014,5th Quintile,West,University/ Technical university,0.45226,151,2560,0.38631,0.53751
22,22,2014,5th Quintile,West,Vocational training,0.21266,58,2560,0.16852,0.27256
23,23,2014,5th Quintile,West,Further training/ Retraining,0.19563,53,2560,0.13935,0.26224
24,24,2015,1st Quintile,West,General education,0.12915,121,2304,0.10004,0.15474
25,25,2015,1st Quintile,West,University/ Technical university,0.45523,228,2304,0.38657,0.53558
26,26,2015,1st Quintile,West,Vocational training,0.30141,209,2304,0.24531,0.35689
27,27,2015,1st Quintile,West,Further training/ Retraining,0.11421,62,2304,0.07158,0.16989
28,28,2015,1st Quintile,East,University/ Technical university,0.54834,51,2304,0.398,0.71276
29,29,2015,1st Quintile,East,Vocational training,0.45166,76,2304,0.33615,0.58284
30,30,2015,2nd Quintile,West,General education,0.17602,101,2304,0.12801,0.24366
31,31,2015,2nd Quintile,West,University/ Technical university,0.35449,126,2304,0.27622,0.44961
32,32,2015,2nd Quintile,West,Vocational training,0.3445,167,2304,0.28825,0.41225
33,33,2015,2nd Quintile,West,Further training/ Retraining,0.12498,44,2304,0.07613,0.19279
34,34,2015,2nd Quintile,East,University/ Technical university,0.31206,31,2304,0.23168,0.42112
35,35,2015,2nd Quintile,East,Vocational training,0.68794,38,2304,0.3915,1.02223
36,36,2015,3rd Quintile,West,General education,0.13632,67,2304,0.10226,0.16971
37,37,2015,3rd Quintile,West,University/ Technical university,0.35801,149,2304,0.28822,0.43361
38,38,2015,3rd Quintile,West,Vocational training,0.33323,138,2304,0.26529,0.39882
39,39,2015,3rd Quintile,West,Further training/ Retraining,0.17243,37,2304,0.11434,0.24691
40,40,2015,4th Quintile,West,General education,0.11101,60,2304,0.0747,0.15169
41,41,2015,4th Quintile,West,University/ Technical university,0.43329,140,2304,0.35003,0.50689
42,42,2015,4th Quintile,West,Vocational training,0.32869,119,2304,0.26258,0.39396
43,43,2015,4th Quintile,West,Further training/ Retraining,0.127,40,2304,0.08391,0.18304
44,44,2015,5th Quintile,West,General education,0.14345,52,2304,0.10445,0.18628
45,45,2015,5th Quintile,West,University/ Technical university,0.49052,142,2304,0.40577,0.59166
46,46,2015,5th Quintile,West,Vocational training,0.21938,63,2304,0.17119,0.27776
47,47,2015,5th Quintile,West,Further training/ Retraining,0.14665,43,2304,0.09905,0.21147
48,48,2016,1st Quintile,West,General education,0.11439,117,2204,0.08601,0.14419
49,49,2016,1st Quintile,West,University/ Technical university,0.54228,243,2204,0.47645,0.62822
50,50,2016,1st Quintile,West,Vocational training,0.27347,195,2204,0.22669,0.33425
51,51,2016,1st Quintile,West,Further training/ Retraining,0.06985,75,2204,0.04817,0.10268
52,52,2016,1st Quintile,East,University/ Technical university,0.51168,64,2204,0.39565,0.64932
53,53,2016,1st Quintile,East,Vocational training,0.48832,69,2204,0.29702,0.66547
54,54,2016,2nd Quintile,West,General education,0.14928,90,2204,0.11353,0.18762
55,55,2016,2nd Quintile,West,University/ Technical university,0.40397,124,2204,0.3036,0.50154
56,56,2016,2nd Quintile,West,Vocational training,0.36689,179,2204,0.30891,0.43358
57,57,2016,2nd Quintile,West,Further training/ Retraining,0.07986,38,2204,0.05181,0.11519
58,58,2016,2nd Quintile,East,Vocational training,1.0,34,2204,0.58431,1.76775
59,59,2016,3rd Quintile,West,General education,0.13249,66,2204,0.08647,0.18176
60,60,2016,3rd Quintile,West,University/ Technical university,0.40408,113,2204,0.31302,0.51752
61,61,2016,3rd Quintile,West,Vocational training,0.32989,137,2204,0.27517,0.40254
62,62,2016,3rd Quintile,West,Further training/ Retraining,0.13353,35,2204,0.08224,0.21061
