year,pgisced97,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Pre-primary Level,1st Quintile,General education,0.53889,138,138,0.45541,0.62236
2014,Pre-primary Level,2nd Quintile,General education,0.49024,89,89,0.38579,0.59469
2014,Pre-primary Level,3rd Quintile,General education,0.55612,64,64,0.43343,0.67881
2014,Pre-primary Level,4th Quintile,General education,0.50268,65,65,0.38019,0.62518
2014,Pre-primary Level,5th Quintile,General education,0.56779,70,70,0.45090,0.68468
2014,Lower Secondary Level,1st Quintile,Vocational training,0.08972,134,134,0.04115,0.13829
2014,Lower Secondary Level,2nd Quintile,Vocational training,0.06511,81,81,0.01104,0.11917
2014,Lower Secondary Level,3rd Quintile,Vocational training,0.12675,87,87,0.05643,0.19707
2014,Lower Secondary Level,4th Quintile,Vocational training,0.16803,71,71,0.08044,0.25562
2014,Upper Secondary Level,1st Quintile,University/ Technical university,0.08955,170,292,0.05675,0.12236
2014,Upper Secondary Level,1st Quintile,Vocational training,0.02702,81,292,0.00839,0.04565
2014,Upper Secondary Level,1st Quintile,Further training/ Retraining,0.00941,41,292,-0.00168,0.02051
2014,Upper Secondary Level,2nd Quintile,University/ Technical university,0.03912,78,178,0.01055,0.06768
2014,Upper Secondary Level,2nd Quintile,Vocational training,0.01767,67,178,-0.00174,0.03708
2014,Upper Secondary Level,2nd Quintile,Further training/ Retraining,0.01154,33,178,-0.00419,0.02727
2014,Upper Secondary Level,3rd Quintile,University/ Technical university,0.03505,86,136,0.00403,0.06607
2014,Upper Secondary Level,3rd Quintile,Vocational training,0.01869,50,136,-0.00415,0.04154
2014,Upper Secondary Level,4th Quintile,University/ Technical university,0.02739,83,138,0.00006,0.05472
2014,Upper Secondary Level,4th Quintile,Vocational training,0.02311,55,138,-0.00205,0.04828
2014,Upper Secondary Level,5th Quintile,University/ Technical university,0.04089,81,81,-0.00251,0.08429
2014,Second Stage of Tertiary Education,1st Quintile,University/ Technical university,0.14165,66,66,0.05688,0.22642
2014,Second Stage of Tertiary Education,2nd Quintile,University/ Technical university,0.07236,41,41,-0.00793,0.15265
