,Unnamed: 0,year,bula_h,regtyp,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2014,Lower Saxony,Urban regions,General education,0.21147,32,1951,0.14321,0.28898
1,1,2014,Lower Saxony,Urban regions,University/ Technical university,0.4973,49,1951,0.34311,0.65964
2,2,2014,Lower Saxony,Urban regions,Vocational training,0.29123,33,1951,0.19914,0.44542
3,3,2014,Lower Saxony,Rural regions,University/ Technical university,0.37017,35,1951,0.26475,0.54649
4,4,2014,Lower Saxony,Rural regions,Vocational training,0.62983,68,1951,0.47351,0.79674
5,5,2014,North Rhine-Westphalia,Urban regions,General education,0.16984,126,1951,0.13554,0.20394
6,6,2014,North Rhine-Westphalia,Urban regions,University/ Technical university,0.47535,224,1951,0.39915,0.55763
7,7,2014,North Rhine-Westphalia,Urban regions,Vocational training,0.24264,187,1951,0.20422,0.28497
8,8,2014,North Rhine-Westphalia,Urban regions,Further training/ Retraining,0.11217,71,1951,0.08071,0.15037
9,9,2014,Hesse,Urban regions,General education,0.16385,39,1951,0.12312,0.20766
10,10,2014,Hesse,Urban regions,University/ Technical university,0.54611,72,1951,0.42536,0.69792
11,11,2014,Hesse,Urban regions,Vocational training,0.29004,50,1951,0.20552,0.43542
12,12,2014,"Rhineland-Palatinate, Saarland",Urban regions,University/ Technical university,0.45716,33,1951,0.29633,0.62402
13,13,2014,"Rhineland-Palatinate, Saarland",Urban regions,Vocational training,0.54284,58,1951,0.39248,0.73528
14,14,2014,Baden-Wuerttemberg,Urban regions,General education,0.12782,57,1951,0.08304,0.16884
15,15,2014,Baden-Wuerttemberg,Urban regions,University/ Technical university,0.41612,89,1951,0.33858,0.50925
16,16,2014,Baden-Wuerttemberg,Urban regions,Vocational training,0.45607,108,1951,0.3514,0.54387
17,17,2014,Bavaria,Urban regions,General education,0.11852,42,1951,0.08095,0.15754
18,18,2014,Bavaria,Urban regions,University/ Technical university,0.50067,90,1951,0.394,0.60794
19,19,2014,Bavaria,Urban regions,Vocational training,0.21502,62,1951,0.16149,0.2758
20,20,2014,Bavaria,Urban regions,Further training/ Retraining,0.1658,32,1951,0.10267,0.25358
21,21,2014,Bavaria,Rural regions,General education,0.11399,49,1951,0.09142,0.14024
22,22,2014,Bavaria,Rural regions,University/ Technical university,0.34058,65,1951,0.2345,0.46973
