year,bula_h,sampreg,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Schleswig-Holstein,West,University/ Technical university,0.03165,31,70,-0.00966,0.07296
2014,Schleswig-Holstein,West,Vocational training,0.02961,39,70,-0.01039,0.06960
2014,Lower Saxony,West,General education,0.01351,62,283,0.00003,0.02698
2014,Lower Saxony,West,University/ Technical university,0.02961,84,283,0.00983,0.04940
2014,Lower Saxony,West,Vocational training,0.03031,101,283,0.01030,0.05032
2014,Lower Saxony,West,Further training/ Retraining,0.00743,36,283,-0.00259,0.01746
2014,North Rhine-Westphalia,West,General education,0.01577,131,621,0.00596,0.02557
2014,North Rhine-Westphalia,West,University/ Technical university,0.04028,228,621,0.02480,0.05576
2014,North Rhine-Westphalia,West,Vocational training,0.02140,191,621,0.01001,0.03280
2014,North Rhine-Westphalia,West,Further training/ Retraining,0.00941,71,621,0.00181,0.01701
2014,Hesse,West,General education,0.01603,46,192,-0.00178,0.03384
2014,Hesse,West,University/ Technical university,0.04401,85,192,0.01492,0.07310
2014,Hesse,West,Vocational training,0.02389,61,192,0.00223,0.04554
2014,"Rhineland-Palatinate, Saarland",West,University/ Technical university,0.02880,42,112,-0.00231,0.05991
2014,"Rhineland-Palatinate, Saarland",West,Vocational training,0.03213,70,112,-0.00068,0.06493
2014,Baden-Wuerttemberg,West,General education,0.01207,69,314,-0.00003,0.02417
2014,Baden-Wuerttemberg,West,University/ Technical university,0.03358,101,314,0.01362,0.05354
2014,Baden-Wuerttemberg,West,Vocational training,0.03216,112,314,0.01261,0.05170
2014,Baden-Wuerttemberg,West,Further training/ Retraining,0.00772,32,314,-0.00198,0.01742
2014,Bavaria,West,General education,0.00964,91,470,0.00080,0.01849
2014,Bavaria,West,University/ Technical university,0.03612,155,470,0.01923,0.05300
2014,Bavaria,West,Vocational training,0.02477,161,470,0.01071,0.03884
2014,Bavaria,West,Further training/ Retraining,0.01284,63,470,0.00265,0.02303
2014,Berlin,West,University/ Technical university,0.06844,44,44,-0.00703,0.14391
2014,Brandenburg,East,Vocational training,0.02748,45,45,-0.02083,0.07578
2014,Saxony,East,University/ Technical university,0.02192,44,98,-0.00722,0.05106
2014,Saxony,East,Vocational training,0.03631,54,98,-0.00091,0.07354
2014,Saxony-Anhalt,East,University/ Technical university,0.04401,36,36,-0.02394,0.11197
2014,Thuringa,East,University/ Technical university,0.03587,40,40,-0.02249,0.09424
2015,Schleswig-Holstein,West,Vocational training,0.02233,32,32,-0.02968,0.07435
2015,Lower Saxony,West,General education,0.01272,49,233,-0.00170,0.02713
2015,Lower Saxony,West,University/ Technical university,0.03027,83,233,0.00822,0.05232
2015,Lower Saxony,West,Vocational training,0.02970,101,233,0.00785,0.05154
2015,North Rhine-Westphalia,West,General education,0.01161,107,591,0.00297,0.02026
2015,North Rhine-Westphalia,West,University/ Technical university,0.03549,225,591,0.02056,0.05041
2015,North Rhine-Westphalia,West,Vocational training,0.02802,180,591,0.01470,0.04134
2015,North Rhine-Westphalia,West,Further training/ Retraining,0.01467,79,591,0.00497,0.02437
2015,Hesse,West,General education,0.00984,36,172,-0.00496,0.02463
2015,Hesse,West,University/ Technical university,0.04356,80,172,0.01297,0.07416
2015,Hesse,West,Vocational training,0.02392,56,172,0.00102,0.04682
2015,"Rhineland-Palatinate, Saarland",West,General education,0.01339,32,134,-0.00614,0.03293
2015,"Rhineland-Palatinate, Saarland",West,University/ Technical university,0.02708,42,134,-0.00051,0.05466
2015,"Rhineland-Palatinate, Saarland",West,Vocational training,0.03270,60,134,0.00247,0.06292
2015,Baden-Wuerttemberg,West,General education,0.01614,68,269,0.00105,0.03123
2015,Baden-Wuerttemberg,West,University/ Technical university,0.03094,112,269,0.01021,0.05167
2015,Baden-Wuerttemberg,West,Vocational training,0.02162,89,269,0.00421,0.03903
2015,Bavaria,West,General education,0.00633,59,399,-0.00146,0.01413
2015,Bavaria,West,University/ Technical university,0.03232,154,399,0.01495,0.04970
2015,Bavaria,West,Vocational training,0.01998,144,399,0.00623,0.03373
2015,Bavaria,West,Further training/ Retraining,0.00926,42,399,-0.00015,0.01867
2015,Berlin,West,University/ Technical university,0.04246,36,36,-0.02434,0.10926
2015,Brandenburg,East,Vocational training,0.02246,38,38,-0.02528,0.07021
2015,Saxony,East,University/ Technical university,0.02136,37,86,-0.00938,0.05210
2015,Saxony,East,Vocational training,0.03132,49,86,-0.00571,0.06835
2016,Schleswig-Holstein,West,Vocational training,0.01957,37,37,-0.02568,0.06482
2016,Lower Saxony,West,General education,0.01110,41,302,-0.00073,0.02294
2016,Lower Saxony,West,University/ Technical university,0.03825,97,302,0.01658,0.05992
2016,Lower Saxony,West,Vocational training,0.03346,123,302,0.01314,0.05377
2016,Lower Saxony,West,Further training/ Retraining,0.00855,41,302,-0.00185,0.01895
2016,North Rhine-Westphalia,West,General education,0.01340,129,606,0.00424,0.02256
2016,North Rhine-Westphalia,West,University/ Technical university,0.04038,215,606,0.02469,0.05606
2016,North Rhine-Westphalia,West,Vocational training,0.03127,195,606,0.01740,0.04514
2016,North Rhine-Westphalia,West,Further training/ Retraining,0.00819,67,606,0.00101,0.01537
2016,Hesse,West,General education,0.01084,37,174,-0.00459,0.02627
2016,Hesse,West,University/ Technical university,0.04445,81,174,0.01374,0.07515
2016,Hesse,West,Vocational training,0.02452,56,174,0.00147,0.04756
2016,"Rhineland-Palatinate, Saarland",West,General education,0.01863,38,136,-0.00418,0.04144
2016,"Rhineland-Palatinate, Saarland",West,University/ Technical university,0.03622,50,136,0.00470,0.06773
2016,"Rhineland-Palatinate, Saarland",West,Vocational training,0.01958,48,136,-0.00379,0.04295
2016,Baden-Wuerttemberg,West,General education,0.00977,51,296,-0.00146,0.02099
2016,Baden-Wuerttemberg,West,University/ Technical university,0.03142,104,296,0.01151,0.05133
2016,Baden-Wuerttemberg,West,Vocational training,0.02168,94,296,0.00506,0.03830
2016,Baden-Wuerttemberg,West,Further training/ Retraining,0.01117,47,296,-0.00082,0.02316
2016,Bavaria,West,General education,0.01104,64,369,0.00037,0.02172
2016,Bavaria,West,University/ Technical university,0.03097,124,369,0.01327,0.04866
2016,Bavaria,West,Vocational training,0.02070,144,369,0.00615,0.03525
2016,Bavaria,West,Further training/ Retraining,0.00906,37,369,-0.00062,0.01874
2016,Berlin,West,University/ Technical university,0.07698,38,38,-0.00891,0.16288
2016,Saxony,East,University/ Technical university,0.02792,43,85,-0.00731,0.06315
2016,Saxony,East,Vocational training,0.02844,42,85,-0.00711,0.06398
2017,Schleswig-Holstein,West,University/ Technical university,0.03207,35,81,-0.00654,0.07068
2017,Schleswig-Holstein,West,Vocational training,0.02695,46,81,-0.00853,0.06244
2017,Lower Saxony,West,General education,0.01136,58,351,0.00026,0.02246
2017,Lower Saxony,West,University/ Technical university,0.03624,113,351,0.01666,0.05581
2017,Lower Saxony,West,Vocational training,0.02977,131,351,0.01196,0.04757
2017,Lower Saxony,West,Further training/ Retraining,0.01245,49,351,0.00083,0.02406
2017,North Rhine-Westphalia,West,General education,0.01508,147,718,0.00616,0.02400
2017,North Rhine-Westphalia,West,University/ Technical university,0.03921,257,718,0.02500,0.05341
2017,North Rhine-Westphalia,West,Vocational training,0.03060,219,718,0.01799,0.04321
2017,North Rhine-Westphalia,West,Further training/ Retraining,0.00958,95,718,0.00245,0.01671
2017,Hesse,West,General education,0.01639,57,217,-0.00054,0.03333
2017,Hesse,West,University/ Technical university,0.03888,84,217,0.01310,0.06465
2017,Hesse,West,Vocational training,0.03649,76,217,0.01149,0.06150
2017,"Rhineland-Palatinate, Saarland",West,General education,0.01531,36,145,-0.00474,0.03536
2017,"Rhineland-Palatinate, Saarland",West,University/ Technical university,0.02692,60,145,0.00048,0.05335
2017,"Rhineland-Palatinate, Saarland",West,Vocational training,0.01774,49,145,-0.00382,0.03930
2017,Baden-Wuerttemberg,West,General education,0.00807,57,333,-0.00156,0.01769
2017,Baden-Wuerttemberg,West,University/ Technical university,0.03358,119,333,0.01420,0.05296
2017,Baden-Wuerttemberg,West,Vocational training,0.02050,112,333,0.00526,0.03575
2017,Baden-Wuerttemberg,West,Further training/ Retraining,0.00958,45,333,-0.00090,0.02005
2017,Bavaria,West,General education,0.01096,76,466,0.00150,0.02043
2017,Bavaria,West,University/ Technical university,0.03227,163,466,0.01621,0.04834
2017,Bavaria,West,Vocational training,0.02520,169,466,0.01095,0.03944
2017,Bavaria,West,Further training/ Retraining,0.01010,58,466,0.00101,0.01919
2017,Berlin,West,University/ Technical university,0.07971,42,42,-0.00319,0.16262
2017,Berlin,East,University/ Technical university,0.07069,34,34,-0.01676,0.15814
2017,Brandenburg,East,Vocational training,0.01954,31,31,-0.02999,0.06906
2017,Saxony,East,General education,0.01167,35,134,-0.00658,0.02992
2017,Saxony,East,University/ Technical university,0.03258,55,134,0.00241,0.06276
2017,Saxony,East,Vocational training,0.01589,44,134,-0.00536,0.03714
2017,Saxony-Anhalt,East,Vocational training,0.02885,33,33,-0.02915,0.08684
2017,Thuringa,East,University/ Technical university,0.04175,31,31,-0.02982,0.11333
2018,Schleswig-Holstein,West,University/ Technical university,0.02735,36,71,-0.01086,0.06556
2018,Schleswig-Holstein,West,Vocational training,0.01772,35,71,-0.01319,0.04862
2018,Lower Saxony,West,General education,0.01275,68,348,0.00095,0.02456
2018,Lower Saxony,West,University/ Technical university,0.03395,113,348,0.01490,0.05301
2018,Lower Saxony,West,Vocational training,0.03045,133,348,0.01237,0.04853
2018,Lower Saxony,West,Further training/ Retraining,0.00483,34,348,-0.00246,0.01212
2018,North Rhine-Westphalia,West,General education,0.01477,147,758,0.00617,0.02336
2018,North Rhine-Westphalia,West,University/ Technical university,0.04225,288,758,0.02792,0.05658
2018,North Rhine-Westphalia,West,Vocational training,0.02916,234,758,0.01717,0.04114
2018,North Rhine-Westphalia,West,Further training/ Retraining,0.01115,89,758,0.00367,0.01863
2018,Hesse,West,General education,0.01608,54,222,-0.00050,0.03266
2018,Hesse,West,University/ Technical university,0.03892,78,222,0.01342,0.06442
2018,Hesse,West,Vocational training,0.03430,90,222,0.01030,0.05830
2018,"Rhineland-Palatinate, Saarland",West,General education,0.01175,36,143,-0.00597,0.02947
2018,"Rhineland-Palatinate, Saarland",West,University/ Technical university,0.02456,53,143,-0.00090,0.05002
2018,"Rhineland-Palatinate, Saarland",West,Vocational training,0.01858,54,143,-0.00363,0.04078
2018,Baden-Wuerttemberg,West,General education,0.00691,45,270,-0.00299,0.01680
2018,Baden-Wuerttemberg,West,University/ Technical university,0.03916,122,270,0.01598,0.06234
2018,Baden-Wuerttemberg,West,Vocational training,0.01937,103,270,0.00290,0.03584
2018,Bavaria,West,General education,0.00749,61,424,-0.00073,0.01571
2018,Bavaria,West,University/ Technical university,0.02524,150,424,0.01029,0.04019
2018,Bavaria,West,Vocational training,0.02173,158,424,0.00784,0.03562
2018,Bavaria,West,Further training/ Retraining,0.01075,55,424,0.00092,0.02058
2018,Berlin,West,University/ Technical university,0.05778,44,44,-0.01196,0.12752
2018,Saxony,East,University/ Technical university,0.03811,59,109,0.00200,0.07422
2018,Saxony,East,Vocational training,0.01985,50,109,-0.00646,0.04616
2018,Saxony-Anhalt,East,University/ Technical university,0.03375,31,31,-0.03087,0.09837
2018,Thuringa,East,University/ Technical university,0.03557,31,31,-0.03071,0.10184
2019,Schleswig-Holstein,West,Vocational training,0.02537,42,42,-0.02276,0.07349
2019,Lower Saxony,West,General education,0.01152,55,286,-0.00087,0.02392
2019,Lower Saxony,West,University/ Technical university,0.03490,104,286,0.01359,0.05620
2019,Lower Saxony,West,Vocational training,0.02880,127,286,0.00938,0.04821
