year,pgisced97,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Pre-primary Level,General education,0.53087,426,426,0.48342,0.57831
2014,Lower Secondary Level,General education,0.01593,73,507,0.00502,0.02685
2014,Lower Secondary Level,Vocational training,0.10046,389,507,0.07426,0.12665
2014,Lower Secondary Level,Further training/ Retraining,0.01268,45,507,0.00293,0.02243
2014,Upper Secondary Level,General education,0.00181,37,946,-0.00090,0.00453
2014,Upper Secondary Level,University/ Technical university,0.04596,500,946,0.03261,0.05931
2014,Upper Secondary Level,Vocational training,0.02071,275,946,0.01163,0.02979
2014,Upper Secondary Level,Further training/ Retraining,0.01035,134,946,0.00390,0.01680
2014,Post-secondary Non-tertiary Level,University/ Technical university,0.06669,97,178,0.02993,0.10344
2014,Post-secondary Non-tertiary Level,Vocational training,0.01432,32,178,-0.00318,0.03183
2014,Post-secondary Non-tertiary Level,Further training/ Retraining,0.01959,49,178,-0.00083,0.04000
2014,Second Stage of Tertiary Education,University/ Technical university,0.04529,227,373,0.02416,0.06642
2014,Second Stage of Tertiary Education,Vocational training,0.01093,59,373,0.00037,0.02150
2014,Second Stage of Tertiary Education,Further training/ Retraining,0.01138,87,373,0.00060,0.02216
2015,Pre-primary Level,General education,0.51782,348,348,0.46524,0.57039
2015,Lower Secondary Level,General education,0.01864,74,452,0.00616,0.03113
2015,Lower Secondary Level,Vocational training,0.09689,345,452,0.06959,0.12419
2015,Lower Secondary Level,Further training/ Retraining,0.01320,33,452,0.00267,0.02374
2015,Upper Secondary Level,General education,0.00183,37,862,-0.00102,0.00469
2015,Upper Secondary Level,University/ Technical university,0.03803,462,862,0.02526,0.05081
2015,Upper Secondary Level,Vocational training,0.01749,244,862,0.00873,0.02624
2015,Upper Secondary Level,Further training/ Retraining,0.01157,119,862,0.00442,0.01871
2015,Post-secondary Non-tertiary Level,University/ Technical university,0.06280,89,126,0.02027,0.10533
2015,Post-secondary Non-tertiary Level,Further training/ Retraining,0.01653,37,126,-0.00582,0.03889
2015,Second Stage of Tertiary Education,University/ Technical university,0.04735,218,329,0.02437,0.07034
2015,Second Stage of Tertiary Education,Vocational training,0.01030,43,329,-0.00063,0.02123
2015,Second Stage of Tertiary Education,Further training/ Retraining,0.01193,68,329,0.00018,0.02368
2016,Pre-primary Level,General education,0.49234,343,343,0.43936,0.54533
2016,Lower Secondary Level,General education,0.02288,72,459,0.00918,0.03657
2016,Lower Secondary Level,Vocational training,0.09574,352,459,0.06879,0.12269
