year,age_gr,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.54315,35,71,0.42645,0.65984
2016,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.20883,36,71,0.11361,0.30405
2017,17-29 y.,Schleswig-Holstein,University/ Technical university,0.47416,32,74,0.35961,0.58870
2017,17-29 y.,Schleswig-Holstein,Vocational training,0.39252,42,74,0.28050,0.50453
2017,17-29 y.,Lower Saxony,General education,0.15966,58,269,0.11580,0.20351
2017,17-29 y.,Lower Saxony,University/ Technical university,0.43368,96,269,0.37435,0.49301
2017,17-29 y.,Lower Saxony,Vocational training,0.37893,115,269,0.32085,0.43701
2017,17-29 y.,North Rhine-Westphalia,General education,0.19328,145,557,0.16046,0.22610
2017,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.40701,214,557,0.36617,0.44784
2017,17-29 y.,North Rhine-Westphalia,Vocational training,0.35608,198,557,0.31628,0.39588
2017,17-29 y.,Hesse,General education,0.18270,57,194,0.12818,0.23721
2017,17-29 y.,Hesse,University/ Technical university,0.39947,72,194,0.33037,0.46857
2017,17-29 y.,Hesse,Vocational training,0.39149,65,194,0.32263,0.46035
2017,17-29 y.,"Rhineland-Palatinate, Saarland",General education,0.27351,35,128,0.19598,0.35104
2017,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.42160,51,128,0.33572,0.50749
2017,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.29400,42,128,0.21476,0.37324
2017,17-29 y.,Baden-Wuerttemberg,General education,0.13352,56,251,0.09136,0.17568
2017,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.47705,101,251,0.41514,0.53897
2017,17-29 y.,Baden-Wuerttemberg,Vocational training,0.32237,94,251,0.26444,0.38031
2017,17-29 y.,Bavaria,General education,0.16997,74,361,0.13117,0.20877
2017,17-29 y.,Bavaria,University/ Technical university,0.42125,139,361,0.37025,0.47226
2017,17-29 y.,Bavaria,Vocational training,0.35116,148,361,0.30185,0.40047
2017,17-29 y.,Berlin,University/ Technical university,0.71859,47,47,0.58863,0.84854
2017,17-29 y.,Saxony,General education,0.20193,35,121,0.13011,0.27376
2017,17-29 y.,Saxony,University/ Technical university,0.51720,48,121,0.42779,0.60660
2017,17-29 y.,Saxony,Vocational training,0.25753,38,121,0.17929,0.33577
2017,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.50473,38,89,0.40026,0.60919
2017,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.35743,51,89,0.25730,0.45756
2018,17-29 y.,Schleswig-Holstein,University/ Technical university,0.53724,35,35,0.36964,0.70484
2018,17-29 y.,Lower Saxony,General education,0.18518,67,280,0.13960,0.23076
2018,17-29 y.,Lower Saxony,University/ Technical university,0.39336,98,280,0.33604,0.45068
2018,17-29 y.,Lower Saxony,Vocational training,0.41315,115,280,0.35537,0.47093
2018,17-29 y.,North Rhine-Westphalia,General education,0.18471,145,596,0.15353,0.21589
2018,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.43058,241,596,0.39079,0.47037
2018,17-29 y.,North Rhine-Westphalia,Vocational training,0.34125,210,596,0.30315,0.37934
2018,17-29 y.,Hesse,General education,0.17844,52,200,0.12524,0.23164
2018,17-29 y.,Hesse,University/ Technical university,0.41437,68,200,0.34593,0.48281
2018,17-29 y.,Hesse,Vocational training,0.35853,80,200,0.29190,0.42516
2018,17-29 y.,"Rhineland-Palatinate, Saarland",General education,0.22687,34,122,0.15225,0.30150
2018,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.40956,41,122,0.32194,0.49718
2018,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.35999,47,122,0.27446,0.44552
2018,17-29 y.,Baden-Wuerttemberg,General education,0.11762,45,235,0.07634,0.15890
2018,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.56736,102,235,0.50388,0.63084
2018,17-29 y.,Baden-Wuerttemberg,Vocational training,0.31248,88,235,0.25309,0.37186
2018,17-29 y.,Bavaria,General education,0.15019,61,328,0.11147,0.18891
2018,17-29 y.,Bavaria,University/ Technical university,0.41082,132,328,0.35750,0.46415
2018,17-29 y.,Bavaria,Vocational training,0.38430,135,328,0.33157,0.43702
2018,17-29 y.,Berlin,University/ Technical university,0.70653,46,46,0.57348,0.83957
2018,17-29 y.,Saxony,University/ Technical university,0.53573,47,93,0.43381,0.63764
2018,17-29 y.,Saxony,Vocational training,0.29648,46,93,0.20316,0.38981
2018,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.46234,39,83,0.35443,0.57026
2018,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.40588,44,83,0.29959,0.51217
2019,17-29 y.,Schleswig-Holstein,Vocational training,0.53720,36,36,0.37200,0.70239
2019,17-29 y.,Lower Saxony,General education,0.16745,54,255,0.12153,0.21337
2019,17-29 y.,Lower Saxony,University/ Technical university,0.45336,95,255,0.39214,0.51458
2019,17-29 y.,Lower Saxony,Vocational training,0.37131,106,255,0.31189,0.43073
2019,17-29 y.,North Rhine-Westphalia,General education,0.18125,118,540,0.14873,0.21378
2019,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.45888,220,540,0.41682,0.50095
2019,17-29 y.,North Rhine-Westphalia,Vocational training,0.31489,202,540,0.27568,0.35410
2019,17-29 y.,Hesse,General education,0.12245,33,155,0.07068,0.17422
2019,17-29 y.,Hesse,University/ Technical university,0.47797,67,155,0.39908,0.55686
2019,17-29 y.,Hesse,Vocational training,0.37585,55,155,0.29935,0.45235
