year,bula_h,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Lower Saxony,1st Quintile,Vocational training,0.04862,36,36,-0.02263,0.11987
2014,North Rhine-Westphalia,1st Quintile,General education,0.01836,51,178,-0.00142,0.03814
2014,North Rhine-Westphalia,1st Quintile,University/ Technical university,0.06463,69,178,0.02841,0.10085
2014,North Rhine-Westphalia,1st Quintile,Vocational training,0.02754,58,178,0.00343,0.05165
2014,North Rhine-Westphalia,2nd Quintile,University/ Technical university,0.04260,39,91,0.00088,0.08432
2014,North Rhine-Westphalia,2nd Quintile,Vocational training,0.03221,52,91,-0.00427,0.06869
2014,North Rhine-Westphalia,3rd Quintile,Vocational training,0.01487,35,35,-0.02581,0.05554
2014,North Rhine-Westphalia,4th Quintile,University/ Technical university,0.03943,42,76,-0.00461,0.08348
2014,North Rhine-Westphalia,4th Quintile,Vocational training,0.02020,34,76,-0.01164,0.05204
2014,North Rhine-Westphalia,5th Quintile,University/ Technical university,0.04115,54,54,-0.01233,0.09462
2014,Baden-Wuerttemberg,3rd Quintile,Vocational training,0.05798,34,34,-0.02176,0.13771
2014,Bavaria,1st Quintile,University/ Technical university,0.05838,40,40,-0.01520,0.13197
2014,Bavaria,2nd Quintile,Vocational training,0.02237,39,39,-0.02465,0.06939
2014,Bavaria,3rd Quintile,Vocational training,0.03913,44,44,-0.01883,0.09708
2014,Bavaria,4th Quintile,Vocational training,0.02403,35,35,-0.02745,0.07551
2014,Bavaria,5th Quintile,University/ Technical university,0.03749,40,40,-0.02213,0.09710
2015,North Rhine-Westphalia,1st Quintile,General education,0.02309,41,172,0.00058,0.04561
2015,North Rhine-Westphalia,1st Quintile,University/ Technical university,0.05901,74,172,0.02369,0.09433
2015,North Rhine-Westphalia,1st Quintile,Vocational training,0.03374,57,172,0.00668,0.06080
2015,North Rhine-Westphalia,2nd Quintile,University/ Technical university,0.02511,34,80,-0.00939,0.05961
2015,North Rhine-Westphalia,2nd Quintile,Vocational training,0.04503,46,80,-0.00070,0.09076
2015,North Rhine-Westphalia,3rd Quintile,University/ Technical university,0.02486,38,72,-0.01136,0.06109
2015,North Rhine-Westphalia,3rd Quintile,Vocational training,0.02341,34,72,-0.01176,0.05858
2015,North Rhine-Westphalia,4th Quintile,University/ Technical university,0.04132,41,41,-0.02036,0.10300
2015,North Rhine-Westphalia,5th Quintile,University/ Technical university,0.02820,38,38,-0.02514,0.08154
2015,Bavaria,1st Quintile,University/ Technical university,0.05905,33,70,0.00343,0.11466
2015,Bavaria,1st Quintile,Vocational training,0.02480,37,70,-0.01189,0.06150
2015,Bavaria,3rd Quintile,University/ Technical university,0.02087,31,31,-0.03028,0.07202
2015,Bavaria,4th Quintile,University/ Technical university,0.02993,32,64,-0.01215,0.07201
2015,Bavaria,4th Quintile,Vocational training,0.02141,32,64,-0.01433,0.05716
2015,Bavaria,5th Quintile,University/ Technical university,0.03686,37,37,-0.02469,0.09841
2016,Lower Saxony,1st Quintile,University/ Technical university,0.07095,32,78,0.01361,0.12830
2016,Lower Saxony,1st Quintile,Vocational training,0.07555,46,78,0.01652,0.13457
2016,North Rhine-Westphalia,1st Quintile,General education,0.01706,51,173,-0.00229,0.03641
2016,North Rhine-Westphalia,1st Quintile,University/ Technical university,0.06157,65,173,0.02565,0.09749
2016,North Rhine-Westphalia,1st Quintile,Vocational training,0.03695,57,173,0.00876,0.06514
2016,North Rhine-Westphalia,2nd Quintile,University/ Technical university,0.04274,34,84,-0.00078,0.08626
2016,North Rhine-Westphalia,2nd Quintile,Vocational training,0.04680,50,84,0.00136,0.09224
2016,North Rhine-Westphalia,3rd Quintile,University/ Technical university,0.02698,36,71,-0.01098,0.06493
2016,North Rhine-Westphalia,3rd Quintile,Vocational training,0.03791,35,71,-0.00683,0.08265
2016,North Rhine-Westphalia,4th Quintile,University/ Technical university,0.03842,40,40,-0.02190,0.09875
2016,North Rhine-Westphalia,5th Quintile,University/ Technical university,0.03334,38,38,-0.02451,0.09119
2016,Bavaria,1st Quintile,Vocational training,0.02784,34,34,-0.02829,0.08398
2016,Bavaria,2nd Quintile,Vocational training,0.02436,36,36,-0.02671,0.07544
2016,Bavaria,3rd Quintile,Vocational training,0.02518,32,32,-0.02997,0.08034
2016,Berlin,1st Quintile,University/ Technical university,0.13765,32,32,0.01636,0.25893
2017,Lower Saxony,1st Quintile,University/ Technical university,0.09422,38,82,0.03060,0.15784
2017,Lower Saxony,1st Quintile,Vocational training,0.04830,44,82,0.00161,0.09499
2017,North Rhine-Westphalia,1st Quintile,General education,0.01824,55,192,-0.00074,0.03722
2017,North Rhine-Westphalia,1st Quintile,University/ Technical university,0.06265,69,192,0.02828,0.09702
2017,North Rhine-Westphalia,1st Quintile,Vocational training,0.02643,68,192,0.00368,0.04918
2017,North Rhine-Westphalia,2nd Quintile,University/ Technical university,0.03865,35,77,-0.00469,0.08199
2017,North Rhine-Westphalia,2nd Quintile,Vocational training,0.05103,42,77,0.00156,0.10051
2017,North Rhine-Westphalia,3rd Quintile,University/ Technical university,0.02890,40,40,-0.02368,0.08148
2017,North Rhine-Westphalia,4th Quintile,University/ Technical university,0.04118,42,42,-0.01964,0.10200
2017,Bavaria,1st Quintile,Vocational training,0.02978,37,37,-0.02575,0.08531
2017,Bavaria,2nd Quintile,Vocational training,0.03435,34,34,-0.02779,0.09649
2018,Lower Saxony,1st Quintile,University/ Technical university,0.05653,40,91,0.00882,0.10424
2018,Lower Saxony,1st Quintile,Vocational training,0.06503,51,91,0.01409,0.11598
2018,North Rhine-Westphalia,1st Quintile,General education,0.01374,47,267,-0.00025,0.02773
2018,North Rhine-Westphalia,1st Quintile,University/ Technical university,0.07549,96,267,0.04374,0.10723
2018,North Rhine-Westphalia,1st Quintile,Vocational training,0.04617,90,267,0.02095,0.07139
2018,North Rhine-Westphalia,1st Quintile,Further training/ Retraining,0.01766,34,267,0.00183,0.03348
2018,North Rhine-Westphalia,2nd Quintile,General education,0.02228,33,129,-0.00329,0.04785
2018,North Rhine-Westphalia,2nd Quintile,University/ Technical university,0.03320,44,129,0.00216,0.06423
2018,North Rhine-Westphalia,2nd Quintile,Vocational training,0.03136,52,129,0.00117,0.06156
2018,North Rhine-Westphalia,3rd Quintile,General education,0.02648,34,91,-0.00669,0.05965
2018,North Rhine-Westphalia,3rd Quintile,University/ Technical university,0.04297,57,91,0.00107,0.08487
2018,North Rhine-Westphalia,4th Quintile,University/ Technical university,0.03216,44,44,-0.02057,0.08490
2018,North Rhine-Westphalia,5th Quintile,University/ Technical university,0.02545,32,32,-0.02999,0.08089
2018,Hesse,1st Quintile,Vocational training,0.05695,33,33,-0.02335,0.13724
2018,Baden-Wuerttemberg,1st Quintile,Vocational training,0.03904,33,33,-0.02807,0.10614
2018,Bavaria,1st Quintile,University/ Technical university,0.05679,44,91,0.00897,0.10460
2018,Bavaria,1st Quintile,Vocational training,0.02638,47,91,-0.00673,0.05949
2018,Bavaria,2nd Quintile,Vocational training,0.02810,38,38,-0.02515,0.08136
2018,Berlin,1st Quintile,University/ Technical university,0.12929,31,31,0.00922,0.24935
2019,Lower Saxony,1st Quintile,University/ Technical university,0.07878,31,85,0.02117,0.13639
2019,Lower Saxony,1st Quintile,Vocational training,0.06317,54,85,0.01115,0.11519
2019,Lower Saxony,2nd Quintile,Vocational training,0.04533,34,34,-0.02565,0.11630
2019,North Rhine-Westphalia,1st Quintile,General education,0.01488,43,224,-0.00101,0.03077
2019,North Rhine-Westphalia,1st Quintile,University/ Technical university,0.07778,88,224,0.04263,0.11294
2019,North Rhine-Westphalia,1st Quintile,Vocational training,0.03725,93,224,0.01239,0.06210
2019,North Rhine-Westphalia,2nd Quintile,General education,0.02223,33,127,-0.00351,0.04797
2019,North Rhine-Westphalia,2nd Quintile,University/ Technical university,0.02543,39,127,-0.00206,0.05292
2019,North Rhine-Westphalia,2nd Quintile,Vocational training,0.02161,55,127,-0.00378,0.04699
2019,North Rhine-Westphalia,3rd Quintile,University/ Technical university,0.03248,42,81,-0.00637,0.07132
2019,North Rhine-Westphalia,3rd Quintile,Vocational training,0.04121,39,81,-0.00235,0.08476
2019,North Rhine-Westphalia,4th Quintile,University/ Technical university,0.03713,38,38,-0.02380,0.09805
2019,North Rhine-Westphalia,5th Quintile,University/ Technical university,0.02286,37,37,-0.02596,0.07168
2019,Baden-Wuerttemberg,1st Quintile,University/ Technical university,0.11909,38,83,0.04898,0.18919
2019,Baden-Wuerttemberg,1st Quintile,Vocational training,0.06775,45,83,0.01335,0.12214
2019,Bavaria,1st Quintile,University/ Technical university,0.05904,36,84,0.00833,0.10975
2019,Bavaria,1st Quintile,Vocational training,0.03382,48,84,-0.00507,0.07271
2019,Bavaria,2nd Quintile,Vocational training,0.02246,39,39,-0.02465,0.06958
2019,Bavaria,3rd Quintile,University/ Technical university,0.03102,35,35,-0.02726,0.08930
2019,Bavaria,4th Quintile,University/ Technical university,0.02852,32,32,-0.03008,0.08711
2020,Lower Saxony,1st Quintile,Vocational training,0.01895,39,39,-0.02440,0.06231
2020,Lower Saxony,2nd Quintile,Vocational training,0.04886,35,35,-0.02360,0.12133
2020,North Rhine-Westphalia,1st Quintile,General education,0.00908,38,214,-0.00366,0.02182
2020,North Rhine-Westphalia,1st Quintile,University/ Technical university,0.06764,91,214,0.03391,0.10136
2020,North Rhine-Westphalia,1st Quintile,Vocational training,0.04391,85,214,0.01639,0.07143
