year,sampreg,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,West,General education,0.01301,478,2327,0.00841,0.01762
2014,West,University/ Technical university,0.03721,803,2327,0.02952,0.04491
2014,West,Vocational training,0.02608,767,2327,0.01960,0.03255
2014,West,Further training/ Retraining,0.01048,279,2327,0.00634,0.01462
2014,East,General education,0.00662,66,480,-0.00064,0.01388
2014,East,University/ Technical university,0.03003,172,480,0.01474,0.04531
2014,East,Vocational training,0.02638,181,480,0.01203,0.04073
2014,East,Further training/ Retraining,0.00559,61,480,-0.00109,0.01227
2015,West,General education,0.01133,402,2110,0.00681,0.01584
2015,West,University/ Technical university,0.03434,786,2110,0.02657,0.04211
2015,West,Vocational training,0.02498,696,2110,0.01832,0.03164
2015,West,Further training/ Retraining,0.01096,226,2110,0.00652,0.01540
2015,East,General education,0.00707,70,426,-0.00089,0.01504
2015,East,University/ Technical university,0.02476,135,426,0.00998,0.03953
2015,East,Vocational training,0.02301,159,426,0.00876,0.03727
2015,East,Further training/ Retraining,0.00715,62,426,-0.00086,0.01516
2016,West,General education,0.01186,408,2167,0.00730,0.01642
2016,West,University/ Technical university,0.03869,767,2167,0.03057,0.04681
2016,West,Vocational training,0.02486,724,2167,0.01830,0.03141
2016,West,Further training/ Retraining,0.00971,268,2167,0.00558,0.01384
2016,East,General education,0.00611,58,400,-0.00154,0.01376
2016,East,University/ Technical university,0.02912,136,400,0.01262,0.04562
2016,East,Vocational training,0.02311,140,400,0.00837,0.03786
2016,East,Further training/ Retraining,0.00757,66,400,-0.00094,0.01607
2017,West,General education,0.01181,480,2552,0.00762,0.01600
2017,West,University/ Technical university,0.03722,917,2552,0.02988,0.04457
2017,West,Vocational training,0.02637,847,2552,0.02015,0.03259
2017,West,Further training/ Retraining,0.00915,308,2552,0.00546,0.01285
2017,East,General education,0.00942,95,494,0.00089,0.01795
2017,East,University/ Technical university,0.03431,178,494,0.01825,0.05038
2017,East,Vocational training,0.01931,157,494,0.00716,0.03145
2017,East,Further training/ Retraining,0.00706,64,494,-0.00033,0.01445
2018,West,General education,0.01097,449,2486,0.00687,0.01506
2018,West,University/ Technical university,0.03553,921,2486,0.02826,0.04281
2018,West,Vocational training,0.02519,840,2486,0.01903,0.03136
2018,West,Further training/ Retraining,0.00847,276,2486,0.00487,0.01207
2018,East,General education,0.00770,79,486,-0.00008,0.01548
2018,East,University/ Technical university,0.03419,177,486,0.01802,0.05037
2018,East,Vocational training,0.01524,156,486,0.00433,0.02614
2018,East,Further training/ Retraining,0.00602,74,486,-0.00087,0.01290
2019,West,General education,0.00940,382,2318,0.00547,0.01333
2019,West,University/ Technical university,0.03568,883,2318,0.02813,0.04323
2019,West,Vocational training,0.02423,822,2318,0.01797,0.03050
2019,West,Further training/ Retraining,0.00833,231,2318,0.00463,0.01204
2019,East,General education,0.00918,64,439,0.00025,0.01810
2019,East,University/ Technical university,0.03026,152,439,0.01422,0.04631
2019,East,Vocational training,0.01947,153,439,0.00653,0.03241
2019,East,Further training/ Retraining,0.00651,70,439,-0.00102,0.01404
2020,West,General education,0.00759,361,2495,0.00419,0.01100
2020,West,University/ Technical university,0.03871,923,2495,0.03114,0.04628
2020,West,Vocational training,0.02560,962,2495,0.01940,0.03179
2020,West,Further training/ Retraining,0.00780,249,2495,0.00435,0.01126
2020,East,General education,0.01074,78,437,0.00106,0.02041
2020,East,University/ Technical university,0.02673,155,437,0.01159,0.04187
2020,East,Vocational training,0.01805,156,437,0.00555,0.03054
2020,East,Further training/ Retraining,0.00613,48,437,-0.00120,0.01345
2021,West,General education,0.00766,228,1692,0.00350,0.01181
2021,West,University/ Technical university,0.04411,722,1692,0.03432,0.05390
2021,West,Vocational training,0.01948,562,1692,0.01289,0.02606
2021,West,Further training/ Retraining,0.00674,180,1692,0.00284,0.01063
2021,East,General education,0.00773,49,332,-0.00170,0.01717
2021,East,University/ Technical university,0.03216,139,332,0.01316,0.05117
2021,East,Vocational training,0.02368,105,332,0.00730,0.04006
2021,East,Further training/ Retraining,0.00521,39,332,-0.00255,0.01296
2022,West,General education,0.00558,247,2742,0.00279,0.00837
2022,West,University/ Technical university,0.04841,1310,2742,0.04037,0.05644
2022,West,Vocational training,0.01864,802,2742,0.01358,0.02371
2022,West,Further training/ Retraining,0.01024,383,2742,0.00647,0.01400
2022,East,General education,0.00374,46,608,-0.00112,0.00860
2022,East,University/ Technical university,0.03895,274,608,0.02356,0.05434
2022,East,Vocational training,0.01945,201,608,0.00846,0.03043
2022,East,Further training/ Retraining,0.00832,87,608,0.00109,0.01555
