year,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Schleswig-Holstein,University/ Technical university,0.33457,31,70,0.22324,0.44591
2014,Schleswig-Holstein,Vocational training,0.31296,39,70,0.20355,0.42237
2014,Lower Saxony,General education,0.16703,62,283,0.12349,0.21057
2014,Lower Saxony,University/ Technical university,0.36620,84,283,0.30997,0.42243
2014,Lower Saxony,Vocational training,0.37485,101,283,0.31835,0.43135
2014,Lower Saxony,Further training/ Retraining,0.09193,36,283,0.05821,0.12565
2014,North Rhine-Westphalia,General education,0.18151,131,621,0.15117,0.21185
2014,North Rhine-Westphalia,University/ Technical university,0.46373,228,621,0.42448,0.50299
2014,North Rhine-Westphalia,Vocational training,0.24642,191,621,0.21250,0.28034
2014,North Rhine-Westphalia,Further training/ Retraining,0.10833,71,621,0.08387,0.13280
2014,Hesse,General education,0.16226,46,192,0.10997,0.21455
2014,Hesse,University/ Technical university,0.44560,85,192,0.37511,0.51609
2014,Hesse,Vocational training,0.24186,61,192,0.18113,0.30258
2014,"Rhineland-Palatinate, Saarland",University/ Technical university,0.35227,42,112,0.26340,0.44113
2014,"Rhineland-Palatinate, Saarland",Vocational training,0.39294,70,112,0.30208,0.48380
2014,Baden-Wuerttemberg,General education,0.14110,69,314,0.10254,0.17967
2014,Baden-Wuerttemberg,University/ Technical university,0.39263,101,314,0.33853,0.44673
2014,Baden-Wuerttemberg,Vocational training,0.37597,112,314,0.32231,0.42963
2014,Baden-Wuerttemberg,Further training/ Retraining,0.09030,32,314,0.05854,0.12205
2014,Bavaria,General education,0.11566,91,470,0.08672,0.14461
2014,Bavaria,University/ Technical university,0.43317,155,470,0.38832,0.47802
2014,Bavaria,Vocational training,0.29714,161,470,0.25578,0.33850
2014,Bavaria,Further training/ Retraining,0.15403,63,470,0.12136,0.18670
2014,Berlin,University/ Technical university,0.60771,73,73,0.49493,0.72049
2014,Brandenburg,Vocational training,0.62728,45,45,0.48441,0.77016
2014,Saxony,University/ Technical university,0.29896,44,98,0.20785,0.39007
2014,Saxony,Vocational training,0.49525,54,98,0.39575,0.59475
2014,Saxony-Anhalt,University/ Technical university,0.59651,36,36,0.43398,0.75905
2014,Thuringa,University/ Technical university,0.58906,40,40,0.43465,0.74348
2015,Schleswig-Holstein,Vocational training,0.28216,32,32,0.12373,0.44060
2015,Lower Saxony,General education,0.15083,49,233,0.10478,0.19689
2015,Lower Saxony,University/ Technical university,0.35904,83,233,0.29731,0.42077
2015,Lower Saxony,Vocational training,0.35226,101,233,0.29080,0.41373
2015,North Rhine-Westphalia,General education,0.12933,107,591,0.10226,0.15641
2015,North Rhine-Westphalia,University/ Technical university,0.39522,225,591,0.35577,0.43467
2015,North Rhine-Westphalia,Vocational training,0.31210,180,591,0.27471,0.34948
2015,North Rhine-Westphalia,Further training/ Retraining,0.16335,79,591,0.13352,0.19318
2015,Hesse,General education,0.11532,36,172,0.06744,0.16319
2015,Hesse,University/ Technical university,0.51079,80,172,0.43587,0.58572
2015,Hesse,Vocational training,0.28041,56,172,0.21308,0.34774
2015,"Rhineland-Palatinate, Saarland",General education,0.15735,32,134,0.09547,0.21924
2015,"Rhineland-Palatinate, Saarland",University/ Technical university,0.31807,42,134,0.23892,0.39722
2015,"Rhineland-Palatinate, Saarland",Vocational training,0.38411,60,134,0.30145,0.46677
2015,Baden-Wuerttemberg,General education,0.21494,68,269,0.16576,0.26413
2015,Baden-Wuerttemberg,University/ Technical university,0.41202,112,269,0.35309,0.47095
2015,Baden-Wuerttemberg,Vocational training,0.28790,89,269,0.23369,0.34211
2015,Bavaria,General education,0.09326,59,399,0.06469,0.12183
2015,Bavaria,University/ Technical university,0.47605,154,399,0.42698,0.52511
2015,Bavaria,Vocational training,0.29426,144,399,0.24949,0.33903
2015,Bavaria,Further training/ Retraining,0.13643,42,399,0.10271,0.17015
2015,Berlin,University/ Technical university,0.46310,56,56,0.33132,0.59488
2015,Brandenburg,Vocational training,0.52536,38,38,0.36446,0.68627
