year,age_gr,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,1st Quintile,General education,0.07837,185,746,0.05907,0.09767
2014,17-29 y.,1st Quintile,University/ Technical university,0.26410,286,746,0.23244,0.29575
2014,17-29 y.,1st Quintile,Vocational training,0.15721,275,746,0.13107,0.18335
2014,17-29 y.,2nd Quintile,General education,0.09065,119,413,0.06293,0.11838
2014,17-29 y.,2nd Quintile,University/ Technical university,0.18119,117,413,0.14400,0.21839
2014,17-29 y.,2nd Quintile,Vocational training,0.15891,177,413,0.12360,0.19421
2014,17-29 y.,3rd Quintile,General education,0.07533,81,370,0.04840,0.10226
2014,17-29 y.,3rd Quintile,University/ Technical university,0.17410,120,370,0.13541,0.21279
2014,17-29 y.,3rd Quintile,Vocational training,0.18502,169,370,0.14540,0.22464
2014,17-29 y.,4th Quintile,General education,0.06366,78,358,0.03833,0.08899
2014,17-29 y.,4th Quintile,University/ Technical university,0.16533,132,358,0.12680,0.20387
2014,17-29 y.,4th Quintile,Vocational training,0.17051,148,358,0.13150,0.20952
2014,17-29 y.,5th Quintile,General education,0.10967,77,254,0.07117,0.14818
2014,17-29 y.,5th Quintile,University/ Technical university,0.23005,128,254,0.17819,0.28191
2014,17-29 y.,5th Quintile,Vocational training,0.08909,49,254,0.05398,0.12419
2014,30-45 y.,1st Quintile,University/ Technical university,0.02850,34,116,-0.00191,0.05891
2014,30-45 y.,1st Quintile,Vocational training,0.02623,31,116,-0.00298,0.05544
2014,30-45 y.,1st Quintile,Further training/ Retraining,0.02408,51,116,-0.00394,0.05210
2014,30-45 y.,2nd Quintile,University/ Technical university,0.03233,43,118,0.00028,0.06438
2014,30-45 y.,2nd Quintile,Vocational training,0.01298,31,118,-0.00753,0.03349
2014,30-45 y.,2nd Quintile,Further training/ Retraining,0.02790,44,118,-0.00194,0.05773
2014,30-45 y.,3rd Quintile,University/ Technical university,0.02343,31,31,-0.03070,0.07757
2014,30-45 y.,4th Quintile,University/ Technical university,0.02212,31,31,-0.03051,0.07474
2014,30-45 y.,5th Quintile,University/ Technical university,0.02970,38,38,-0.02500,0.08440
2015,17-29 y.,1st Quintile,General education,0.07515,146,650,0.05486,0.09543
2015,17-29 y.,1st Quintile,University/ Technical university,0.24313,246,650,0.21013,0.27613
2015,17-29 y.,1st Quintile,Vocational training,0.16095,258,650,0.13268,0.18922
2015,17-29 y.,2nd Quintile,General education,0.06286,108,415,0.03948,0.08624
2015,17-29 y.,2nd Quintile,University/ Technical university,0.16290,126,415,0.12733,0.19847
2015,17-29 y.,2nd Quintile,Vocational training,0.19066,181,415,0.15282,0.22850
2015,17-29 y.,3rd Quintile,General education,0.09422,84,369,0.06437,0.12407
2015,17-29 y.,3rd Quintile,University/ Technical university,0.16319,142,369,0.12543,0.20095
2015,17-29 y.,3rd Quintile,Vocational training,0.15893,143,369,0.12158,0.19629
2015,17-29 y.,4th Quintile,General education,0.06440,69,317,0.03734,0.09147
2015,17-29 y.,4th Quintile,University/ Technical university,0.19303,128,317,0.14951,0.23654
2015,17-29 y.,4th Quintile,Vocational training,0.16525,120,317,0.12430,0.20620
2015,17-29 y.,5th Quintile,General education,0.09126,61,244,0.05505,0.12746
2015,17-29 y.,5th Quintile,University/ Technical university,0.22730,124,244,0.17460,0.27999
2015,17-29 y.,5th Quintile,Vocational training,0.12577,59,244,0.08407,0.16746
2015,30-45 y.,1st Quintile,University/ Technical university,0.02646,32,79,-0.00916,0.06208
2015,30-45 y.,1st Quintile,Further training/ Retraining,0.04763,47,79,0.00036,0.09489
2015,30-45 y.,3rd Quintile,University/ Technical university,0.02322,31,31,-0.03067,0.07711
2016,17-29 y.,1st Quintile,General education,0.06233,134,626,0.04337,0.08128
2016,17-29 y.,1st Quintile,University/ Technical university,0.27196,251,626,0.23708,0.30685
2016,17-29 y.,1st Quintile,Vocational training,0.16425,241,626,0.13520,0.19330
2016,17-29 y.,2nd Quintile,General education,0.07034,102,403,0.04534,0.09534
2016,17-29 y.,2nd Quintile,University/ Technical university,0.20924,125,403,0.16948,0.24901
2016,17-29 y.,2nd Quintile,Vocational training,0.15299,176,403,0.11780,0.18818
2016,17-29 y.,3rd Quintile,General education,0.07423,71,320,0.04546,0.10299
2016,17-29 y.,3rd Quintile,University/ Technical university,0.15263,106,320,0.11316,0.19209
2016,17-29 y.,3rd Quintile,Vocational training,0.17243,143,320,0.13097,0.21388
2016,17-29 y.,4th Quintile,General education,0.08751,69,271,0.05380,0.12122
2016,17-29 y.,4th Quintile,University/ Technical university,0.15832,111,271,0.11478,0.20186
2016,17-29 y.,4th Quintile,Vocational training,0.09941,91,271,0.06372,0.13510
2016,17-29 y.,5th Quintile,General education,0.08636,57,251,0.05154,0.12118
2016,17-29 y.,5th Quintile,University/ Technical university,0.23077,128,251,0.17855,0.28300
2016,17-29 y.,5th Quintile,Vocational training,0.14999,66,251,0.10572,0.19425
2016,30-45 y.,1st Quintile,University/ Technical university,0.04790,51,102,0.00625,0.08954
2016,30-45 y.,1st Quintile,Further training/ Retraining,0.02805,51,102,-0.00415,0.06025
2016,30-45 y.,4th Quintile,University/ Technical university,0.04192,39,39,-0.02180,0.10563
2017,17-29 y.,1st Quintile,General education,0.06162,166,727,0.04413,0.07911
2017,17-29 y.,1st Quintile,University/ Technical university,0.27630,258,727,0.24377,0.30882
2017,17-29 y.,1st Quintile,Vocational training,0.14159,266,727,0.11623,0.16695
2017,17-29 y.,1st Quintile,Further training/ Retraining,0.01652,37,727,0.00725,0.02579
2017,17-29 y.,2nd Quintile,General education,0.07146,92,384,0.04566,0.09726
2017,17-29 y.,2nd Quintile,University/ Technical university,0.16772,115,384,0.13030,0.20513
2017,17-29 y.,2nd Quintile,Vocational training,0.20770,177,384,0.16707,0.24833
2017,17-29 y.,3rd Quintile,General education,0.08668,76,313,0.05546,0.11790
2017,17-29 y.,3rd Quintile,University/ Technical university,0.18164,122,313,0.13885,0.22442
2017,17-29 y.,3rd Quintile,Vocational training,0.12055,115,313,0.08442,0.15667
2017,17-29 y.,4th Quintile,General education,0.10679,68,280,0.07055,0.14303
2017,17-29 y.,4th Quintile,University/ Technical university,0.16412,109,280,0.12066,0.20758
2017,17-29 y.,4th Quintile,Vocational training,0.15454,103,280,0.11213,0.19696
2017,17-29 y.,5th Quintile,General education,0.10405,59,240,0.06534,0.14276
2017,17-29 y.,5th Quintile,University/ Technical university,0.23161,123,240,0.17812,0.28509
2017,17-29 y.,5th Quintile,Vocational training,0.17393,58,240,0.12587,0.22199
2017,30-45 y.,1st Quintile,University/ Technical university,0.03763,41,141,0.00611,0.06915
2017,30-45 y.,1st Quintile,Vocational training,0.02260,43,141,-0.00202,0.04721
2017,30-45 y.,1st Quintile,Further training/ Retraining,0.02467,57,141,-0.00103,0.05037
2017,30-45 y.,2nd Quintile,University/ Technical university,0.04247,40,40,-0.02082,0.10576
2018,17-29 y.,1st Quintile,General education,0.05588,169,803,0.03998,0.07178
2018,17-29 y.,1st Quintile,University/ Technical university,0.24004,308,803,0.21048,0.26960
2018,17-29 y.,1st Quintile,Vocational training,0.18137,326,803,0.15470,0.20804
2018,17-29 y.,2nd Quintile,General education,0.08127,105,427,0.05532,0.10722
2018,17-29 y.,2nd Quintile,University/ Technical university,0.13484,129,427,0.10240,0.16727
2018,17-29 y.,2nd Quintile,Vocational training,0.15544,193,427,0.12103,0.18985
