"year","alter_gr","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","16-34 J.","Laendlicher Raum","7.22","7.5","858","7.06","7.38"
"1985","16-34 J.","Staedtischer Raum","7.11","7.5","3275","7.03","7.19"
"1985","35-65 J.","Laendlicher Raum","7.16","7.5","1206","7.02","7.3"
"1985","35-65 J.","Staedtischer Raum","7.14","7.5","4514","7.07","7.21"
"1985","66 und älter","Laendlicher Raum","8.21","7.5","288","7.98","8.44"
"1985","66 und älter","Staedtischer Raum","8.15","8.5","802","8","8.3"
"1986","16-34 J.","Laendlicher Raum","6.98","6.5","839","6.82","7.14"
"1986","16-34 J.","Staedtischer Raum","6.97","6.5","3232","6.89","7.05"
"1986","35-65 J.","Laendlicher Raum","6.95","6.5","1145","6.81","7.09"
"1986","35-65 J.","Staedtischer Raum","7","7.5","4301","6.93","7.07"
"1986","66 und älter","Laendlicher Raum","8.3","8.5","264","8.07","8.53"
"1986","66 und älter","Staedtischer Raum","8.26","8.5","754","8.11","8.41"
"1987","16-34 J.","Laendlicher Raum","7","6.5","837","6.84","7.16"
"1987","16-34 J.","Staedtischer Raum","6.95","6.5","3170","6.87","7.03"
"1987","35-65 J.","Laendlicher Raum","7.18","7.5","1109","7.04","7.32"
"1987","35-65 J.","Staedtischer Raum","7.08","7.5","4222","7.01","7.15"
"1987","66 und älter","Laendlicher Raum","8.19","8.5","271","7.94","8.44"
"1987","66 und älter","Staedtischer Raum","8.21","8.5","788","8.07","8.35"
"1988","16-34 J.","Laendlicher Raum","6.87","6.5","776","6.71","7.03"
"1988","16-34 J.","Staedtischer Raum","6.71","6.5","3054","6.63","6.79"
"1988","35-65 J.","Laendlicher Raum","6.99","7.5","1052","6.84","7.14"
"1988","35-65 J.","Staedtischer Raum","6.93","6.5","4020","6.86","7"
"1988","66 und älter","Laendlicher Raum","8.15","7.5","255","7.9","8.4"
"1988","66 und älter","Staedtischer Raum","8.09","7.5","771","7.94","8.24"
"1989","16-34 J.","Laendlicher Raum","6.75","6.5","737","6.58","6.92"
"1989","16-34 J.","Staedtischer Raum","6.66","6.5","3009","6.58","6.74"
"1989","35-65 J.","Laendlicher Raum","6.85","6.5","982","6.7","7"
"1989","35-65 J.","Staedtischer Raum","6.85","6.5","3874","6.78","6.92"
"1989","66 und älter","Laendlicher Raum","8.03","7.5","248","7.77","8.29"
"1989","66 und älter","Staedtischer Raum","8.23","7.5","753","8.09","8.37"
"1990","16-34 J.","Laendlicher Raum","","","","",""
"1990","16-34 J.","Staedtischer Raum","","","","",""
"1990","35-65 J.","Laendlicher Raum","","","","",""
"1990","35-65 J.","Staedtischer Raum","","","","",""
"1990","66 und älter","Laendlicher Raum","","","","",""
"1990","66 und älter","Staedtischer Raum","","","","",""
"1991","16-34 J.","Laendlicher Raum","6.31","6.5","1784","6.19","6.43"
"1991","16-34 J.","Staedtischer Raum","6.48","6.5","3314","6.4","6.56"
"1991","35-65 J.","Laendlicher Raum","6.49","6.5","2416","6.39","6.59"
"1991","35-65 J.","Staedtischer Raum","6.64","6.5","4500","6.57","6.71"
"1991","66 und älter","Laendlicher Raum","8.05","7.5","520","7.87","8.23"
"1991","66 und älter","Staedtischer Raum","8.43","8.5","901","8.31","8.55"
"1992","16-34 J.","Laendlicher Raum","6.33","6.5","1672","6.22","6.44"
"1992","16-34 J.","Staedtischer Raum","6.53","6.5","3217","6.45","6.61"
"1992","35-65 J.","Laendlicher Raum","6.55","6.5","2348","6.45","6.65"
"1992","35-65 J.","Staedtischer Raum","6.76","6.5","4458","6.69","6.83"
"1992","66 und älter","Laendlicher Raum","8.1","7.5","511","7.93","8.27"
"1992","66 und älter","Staedtischer Raum","8.45","8.5","912","8.33","8.57"
"1993","16-34 J.","Laendlicher Raum","6.46","6.5","1653","6.34","6.58"
"1993","16-34 J.","Staedtischer Raum","6.61","6.5","3218","6.53","6.69"
"1993","35-65 J.","Laendlicher Raum","6.55","6.5","2330","6.45","6.65"
"1993","35-65 J.","Staedtischer Raum","6.54","6.5","4381","6.47","6.61"
"1993","66 und älter","Laendlicher Raum","7.87","7.5","524","7.69","8.05"
"1993","66 und älter","Staedtischer Raum","8.12","7.5","921","7.99","8.25"
"1994","16-34 J.","Laendlicher Raum","6.41","6.5","1590","6.29","6.53"
"1994","16-34 J.","Staedtischer Raum","6.49","6.5","3184","6.41","6.57"
"1994","35-65 J.","Laendlicher Raum","6.46","6.5","2284","6.36","6.56"
"1994","35-65 J.","Staedtischer Raum","6.52","6.5","4256","6.45","6.59"
"1994","66 und älter","Laendlicher Raum","8.02","7.5","514","7.84","8.2"
"1994","66 und älter","Staedtischer Raum","8.14","8.5","956","8.01","8.27"
"1995","16-34 J.","Laendlicher Raum","","","","",""
"1995","16-34 J.","Staedtischer Raum","","","","",""
"1995","35-65 J.","Laendlicher Raum","","","","",""
"1995","35-65 J.","Staedtischer Raum","","","","",""
"1995","66 und älter","Laendlicher Raum","","","","",""
"1995","66 und älter","Staedtischer Raum","","","","",""
"1996","16-34 J.","Laendlicher Raum","6.66","6.5","1594","6.55","6.77"
"1996","16-34 J.","Staedtischer Raum","6.69","6.5","3147","6.61","6.77"
"1996","35-65 J.","Laendlicher Raum","6.71","6.5","2416","6.62","6.8"
"1996","35-65 J.","Staedtischer Raum","6.81","6.5","4307","6.74","6.88"
"1996","66 und älter","Laendlicher Raum","8.05","7.5","514","7.87","8.23"
"1996","66 und älter","Staedtischer Raum","8.23","8.5","1018","8.11","8.35"
"1997","16-34 J.","Laendlicher Raum","6.56","6.5","1539","6.45","6.67"
"1997","16-34 J.","Staedtischer Raum","6.64","6.5","3048","6.56","6.72"
"1997","35-65 J.","Laendlicher Raum","6.64","6.5","2378","6.55","6.73"
"1997","35-65 J.","Staedtischer Raum","6.72","6.5","4226","6.65","6.79"
"1997","66 und älter","Laendlicher Raum","8","7.5","521","7.84","8.16"
"1997","66 und älter","Staedtischer Raum","8.23","8.5","1036","8.11","8.35"
"1998","16-34 J.","Laendlicher Raum","6.84","6.5","1634","6.73","6.95"
"1998","16-34 J.","Staedtischer Raum","6.76","6.5","3211","6.68","6.84"
"1998","35-65 J.","Laendlicher Raum","6.77","6.5","2698","6.68","6.86"
"1998","35-65 J.","Staedtischer Raum","6.81","6.5","4775","6.74","6.88"
"1998","66 und älter","Laendlicher Raum","8.08","7.5","610","7.93","8.23"
"1998","66 und älter","Staedtischer Raum","8.03","7.5","1218","7.91","8.15"
"1999","16-34 J.","Laendlicher Raum","6.73","6.5","1563","6.62","6.84"
"1999","16-34 J.","Staedtischer Raum","6.76","6.5","3002","6.68","6.84"
"1999","35-65 J.","Laendlicher Raum","6.75","6.5","2612","6.66","6.84"
"1999","35-65 J.","Staedtischer Raum","6.79","6.5","4634","6.72","6.86"
"1999","66 und älter","Laendlicher Raum","8.15","7.5","609","8","8.3"
"1999","66 und älter","Staedtischer Raum","8.29","8.5","1164","8.17","8.41"
"2000","16-34 J.","Laendlicher Raum","6.8","6.5","2463","6.71","6.89"
"2000","16-34 J.","Staedtischer Raum","6.88","6.5","4582","6.81","6.95"
"2000","35-65 J.","Laendlicher Raum","6.84","6.5","4684","6.77","6.91"
"2000","35-65 J.","Staedtischer Raum","6.92","6.5","8699","6.87","6.97"
"2000","66 und älter","Laendlicher Raum","8","7.5","1254","7.89","8.11"
"2000","66 und älter","Staedtischer Raum","8.26","8.5","2317","8.18","8.34"
"2001","16-34 J.","Laendlicher Raum","6.98","6.5","2151","6.89","7.07"
"2001","16-34 J.","Staedtischer Raum","6.86","6.5","4071","6.79","6.93"
"2001","35-65 J.","Laendlicher Raum","6.82","6.5","4273","6.75","6.89"
"2001","35-65 J.","Staedtischer Raum","6.88","6.5","7948","6.83","6.93"
"2001","66 und älter","Laendlicher Raum","8.2","7.5","1184","8.1","8.3"
