"year","alter_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","(Fach-)Abitur","7.22","7.5","565","7.02","7.42"
"1984","16-34 Jahre alt","(noch) kein Abschluss","7.59","7.5","512","7.36","7.82"
"1984","16-34 Jahre alt","AkademikerInnen","6.75","6.5","244","6.45","7.05"
"1984","16-34 Jahre alt","Hauptschulabschluss","7.29","7.5","2218","7.18","7.4"
"1984","16-34 Jahre alt","Realschulabschluss","7.34","7.5","1002","7.19","7.49"
"1984","35-65 Jahre alt","(Fach-)Abitur","7.3","7.5","248","6.97","7.63"
"1984","35-65 Jahre alt","(noch) kein Abschluss","6.81","6.5","746","6.62","7"
"1984","35-65 Jahre alt","AkademikerInnen","7.34","7.5","477","7.12","7.56"
"1984","35-65 Jahre alt","Hauptschulabschluss","7.31","7.5","4043","7.23","7.39"
"1984","35-65 Jahre alt","Realschulabschluss","7.42","7.5","699","7.23","7.61"
"1984","66 und älter","(Fach-)Abitur","8.76","9.5","48","8.15","9.37"
"1984","66 und älter","(noch) kein Abschluss","","","","",""
"1984","66 und älter","AkademikerInnen","8.49","9.5","63","7.94","9.04"
"1984","66 und älter","Hauptschulabschluss","8.19","8.5","946","8.05","8.33"
"1984","66 und älter","Realschulabschluss","8.72","9.5","176","8.46","8.98"
"1985","16-34 Jahre alt","(Fach-)Abitur","7.17","7.5","513","6.98","7.36"
"1985","16-34 Jahre alt","(noch) kein Abschluss","7.37","7.5","430","7.14","7.6"
"1985","16-34 Jahre alt","AkademikerInnen","6.58","6.5","238","6.27","6.89"
"1985","16-34 Jahre alt","Hauptschulabschluss","7.05","7.5","1903","6.94","7.16"
"1985","16-34 Jahre alt","Realschulabschluss","7.31","7.5","969","7.18","7.44"
"1985","35-65 Jahre alt","(Fach-)Abitur","7.03","7.5","224","6.69","7.37"
"1985","35-65 Jahre alt","(noch) kein Abschluss","6.8","6.5","630","6.6","7"
"1985","35-65 Jahre alt","AkademikerInnen","7.06","6.5","461","6.84","7.28"
"1985","35-65 Jahre alt","Hauptschulabschluss","7.19","7.5","3670","7.11","7.27"
"1985","35-65 Jahre alt","Realschulabschluss","7.09","7.5","677","6.91","7.27"
"1985","66 und älter","(Fach-)Abitur","8.69","9.5","43","8.17","9.21"
"1985","66 und älter","(noch) kein Abschluss","","","","",""
"1985","66 und älter","AkademikerInnen","8.71","9.5","55","8.17","9.25"
"1985","66 und älter","Hauptschulabschluss","8.03","7.5","809","7.88","8.18"
"1985","66 und älter","Realschulabschluss","8.51","8.5","165","8.22","8.8"
"1986","16-34 Jahre alt","(Fach-)Abitur","6.99","6.5","551","6.81","7.17"
"1986","16-34 Jahre alt","(noch) kein Abschluss","7.46","7.5","418","7.23","7.69"
"1986","16-34 Jahre alt","AkademikerInnen","6.33","6.5","227","6","6.66"
"1986","16-34 Jahre alt","Hauptschulabschluss","6.95","6.5","1844","6.84","7.06"
"1986","16-34 Jahre alt","Realschulabschluss","7.05","7.5","952","6.91","7.19"
"1986","35-65 Jahre alt","(Fach-)Abitur","7.06","6.5","211","6.7","7.42"
"1986","35-65 Jahre alt","(noch) kein Abschluss","6.46","6.5","583","6.25","6.67"
"1986","35-65 Jahre alt","AkademikerInnen","6.8","6.5","467","6.59","7.01"
"1986","35-65 Jahre alt","Hauptschulabschluss","7.02","7.5","3479","6.94","7.1"
