"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","Ostdeutschland","","","","",""
"1985","Laendlicher Raum","Westdeutschland","7.38","7.5","2352","7.28","7.48"
"1985","Staedtischer Raum","Ostdeutschland","","","","",""
"1985","Staedtischer Raum","Westdeutschland","7.3","7.5","8591","7.25","7.35"
"1986","Laendlicher Raum","Ostdeutschland","","","","",""
"1986","Laendlicher Raum","Westdeutschland","7.21","7.5","2248","7.11","7.31"
"1986","Staedtischer Raum","Ostdeutschland","","","","",""
"1986","Staedtischer Raum","Westdeutschland","7.2","7.5","8287","7.15","7.25"
"1987","Laendlicher Raum","Ostdeutschland","","","","",""
"1987","Laendlicher Raum","Westdeutschland","7.32","7.5","2217","7.22","7.42"
"1987","Staedtischer Raum","Ostdeutschland","","","","",""
"1987","Staedtischer Raum","Westdeutschland","7.24","7.5","8180","7.19","7.29"
"1988","Laendlicher Raum","Ostdeutschland","","","","",""
"1988","Laendlicher Raum","Westdeutschland","7.18","7.5","2083","7.08","7.28"
"1988","Staedtischer Raum","Ostdeutschland","","","","",""
"1988","Staedtischer Raum","Westdeutschland","7.06","7.5","7845","7.01","7.11"
"1989","Laendlicher Raum","Ostdeutschland","","","","",""
"1989","Laendlicher Raum","Westdeutschland","7.05","7.5","1967","6.94","7.16"
"1989","Staedtischer Raum","Ostdeutschland","","","","",""
"1989","Staedtischer Raum","Westdeutschland","7.03","7.5","7636","6.98","7.08"
"1990","Laendlicher Raum","Ostdeutschland","","","","",""
"1990","Laendlicher Raum","Westdeutschland","","","","",""
"1990","Staedtischer Raum","Ostdeutschland","","","","",""
"1990","Staedtischer Raum","Westdeutschland","","","","",""
"1991","Laendlicher Raum","Ostdeutschland","6.42","6.5","2708","6.32","6.52"
"1991","Laendlicher Raum","Westdeutschland","6.9","6.5","2012","6.79","7.01"
"1991","Staedtischer Raum","Ostdeutschland","6.35","6.5","1321","6.21","6.49"
"1991","Staedtischer Raum","Westdeutschland","6.96","6.5","7394","6.91","7.01"
"1992","Laendlicher Raum","Ostdeutschland","6.41","6.5","2534","6.32","6.5"
"1992","Laendlicher Raum","Westdeutschland","6.99","6.5","1997","6.89","7.09"
"1992","Staedtischer Raum","Ostdeutschland","6.27","6.5","1311","6.14","6.4"
"1992","Staedtischer Raum","Westdeutschland","7.07","7.5","7276","7.02","7.12"
"1993","Laendlicher Raum","Ostdeutschland","6.35","6.5","2510","6.25","6.45"
"1993","Laendlicher Raum","Westdeutschland","7.05","7.5","1997","6.94","7.16"
"1993","Staedtischer Raum","Ostdeutschland","6.11","5.5","1307","5.97","6.25"
"1993","Staedtischer Raum","Westdeutschland","6.92","6.5","7213","6.87","6.97"
"1994","Laendlicher Raum","Ostdeutschland","6.24","6.5","2450","6.14","6.34"
"1994","Laendlicher Raum","Westdeutschland","7.08","6.5","1938","6.98","7.18"
"1994","Staedtischer Raum","Ostdeutschland","6.14","5.5","1305","6","6.28"
"1994","Staedtischer Raum","Westdeutschland","6.88","6.5","7091","6.82","6.94"
"1995","Laendlicher Raum","Ostdeutschland","","","","",""
"1995","Laendlicher Raum","Westdeutschland","","","","",""
"1995","Staedtischer Raum","Ostdeutschland","","","","",""
"1995","Staedtischer Raum","Westdeutschland","","","","",""
"1996","Laendlicher Raum","Ostdeutschland","6.64","6.5","2438","6.55","6.73"
"1996","Laendlicher Raum","Westdeutschland","7.14","7.5","2086","7.04","7.24"
"1996","Staedtischer Raum","Ostdeutschland","6.44","6.5","1231","6.31","6.57"
"1996","Staedtischer Raum","Westdeutschland","7.11","7.5","7241","7.06","7.16"
"1997","Laendlicher Raum","Ostdeutschland","6.6","6.5","2406","6.51","6.69"
"1997","Laendlicher Raum","Westdeutschland","7.06","7.5","2032","6.96","7.16"
"1997","Staedtischer Raum","Ostdeutschland","6.64","6.5","1205","6.51","6.77"
"1997","Staedtischer Raum","Westdeutschland","7.02","7.5","7105","6.97","7.07"
"1998","Laendlicher Raum","Ostdeutschland","6.77","6.5","2593","6.68","6.86"
"1998","Laendlicher Raum","Westdeutschland","7.23","7.5","2349","7.14","7.32"
"1998","Staedtischer Raum","Ostdeutschland","6.62","6.5","1245","6.49","6.75"
"1998","Staedtischer Raum","Westdeutschland","7.07","7.5","7959","7.02","7.12"
"1999","Laendlicher Raum","Ostdeutschland","6.8","6.5","2532","6.71","6.89"
"1999","Laendlicher Raum","Westdeutschland","7.17","7.5","2252","7.08","7.26"
"1999","Staedtischer Raum","Ostdeutschland","6.77","6.5","1232","6.64","6.9"
"1999","Staedtischer Raum","Westdeutschland","7.1","7.5","7568","7.05","7.15"
"2000","Laendlicher Raum","Ostdeutschland","6.87","6.5","3984","6.8","6.94"
"2000","Laendlicher Raum","Westdeutschland","7.19","7.5","4419","7.12","7.26"
"2000","Staedtischer Raum","Ostdeutschland","6.8","6.5","1837","6.69","6.91"
"2000","Staedtischer Raum","Westdeutschland","7.2","7.5","13761","7.16","7.24"
"2001","Laendlicher Raum","Ostdeutschland","7.01","6.5","3672","6.94","7.08"
"2001","Laendlicher Raum","Westdeutschland","7.24","7.5","3936","7.17","7.31"
"2001","Staedtischer Raum","Ostdeutschland","6.85","6.5","1740","6.74","6.96"
"2001","Staedtischer Raum","Westdeutschland","7.18","7.5","12470","7.14","7.22"
"2002","Laendlicher Raum","Ostdeutschland","7","6.5","3636","6.93","7.07"
"2002","Laendlicher Raum","Westdeutschland","7.13","7.5","4102","7.06","7.2"
"2002","Staedtischer Raum","Ostdeutschland","6.91","6.5","1763","6.81","7.01"
"2002","Staedtischer Raum","Westdeutschland","7.09","7.5","13405","7.05","7.13"
"2003","Laendlicher Raum","Ostdeutschland","6.86","6.5","3569","6.79","6.93"
"2003","Laendlicher Raum","Westdeutschland","7.22","7.5","3873","7.15","7.29"
"2003","Staedtischer Raum","Ostdeutschland","6.92","6.5","1757","6.82","7.02"
"2003","Staedtischer Raum","Westdeutschland","7.14","7.5","12881","7.1","7.18"
"2004","Laendlicher Raum","Ostdeutschland","6.95","6.5","3439","6.88","7.02"
"2004","Laendlicher Raum","Westdeutschland","7.19","7.5","3807","7.12","7.26"
"2004","Staedtischer Raum","Ostdeutschland","6.9","6.5","1752","6.8","7"
"2004","Staedtischer Raum","Westdeutschland","7.06","7.5","12472","7.02","7.1"
"2005","Laendlicher Raum","Ostdeutschland","6.86","6.5","3314","6.79","6.93"
"2005","Laendlicher Raum","Westdeutschland","7.14","7.5","3627","7.06","7.22"
"2005","Staedtischer Raum","Ostdeutschland","6.91","6.5","1690","6.81","7.01"
"2005","Staedtischer Raum","Westdeutschland","7.05","6.5","11956","7.01","7.09"
"2006","Laendlicher Raum","Ostdeutschland","6.81","6.5","3513","6.74","6.88"
"2006","Laendlicher Raum","Westdeutschland","7.11","7.5","4001","7.04","7.18"
"2006","Staedtischer Raum","Ostdeutschland","6.79","6.5","1740","6.69","6.89"
"2006","Staedtischer Raum","Westdeutschland","7","6.5","12613","6.96","7.04"
"2007","Laendlicher Raum","Ostdeutschland","6.82","6.5","3327","6.75","6.89"
"2007","Laendlicher Raum","Westdeutschland","7.1","7.5","3748","7.03","7.17"
"2007","Staedtischer Raum","Ostdeutschland","6.76","6.5","1658","6.66","6.86"
"2007","Staedtischer Raum","Westdeutschland","6.97","6.5","11685","6.93","7.01"
"2008","Laendlicher Raum","Ostdeutschland","6.98","6.5","3143","6.91","7.05"
"2008","Laendlicher Raum","Westdeutschland","7.18","7.5","3522","7.11","7.25"
"2008","Staedtischer Raum","Ostdeutschland","6.91","6.5","1613","6.81","7.01"
"2008","Staedtischer Raum","Westdeutschland","7.11","7.5","10981","7.07","7.15"
"2009","Laendlicher Raum","Ostdeutschland","6.91","6.5","2997","6.84","6.98"
"2009","Laendlicher Raum","Westdeutschland","7.11","7.5","3347","7.04","7.18"
"2009","Staedtischer Raum","Ostdeutschland","6.96","6.5","1525","6.86","7.06"
"2009","Staedtischer Raum","Westdeutschland","7.09","7.5","10087","7.05","7.13"
"2010","Laendlicher Raum","Ostdeutschland","6.92","6.5","3566","6.85","6.99"
"2010","Laendlicher Raum","Westdeutschland","7.18","7.5","4790","7.12","7.24"
"2010","Staedtischer Raum","Ostdeutschland","6.91","6.5","1887","6.81","7.01"
"2010","Staedtischer Raum","Westdeutschland","7.06","6.5","13653","7.02","7.1"
"2011","Laendlicher Raum","Ostdeutschland","7.05","6.5","2865","6.97","7.13"
"2011","Laendlicher Raum","Westdeutschland","7.33","7.5","3553","7.26","7.4"
"2011","Staedtischer Raum","Ostdeutschland","7.01","6.5","1505","6.9","7.12"
"2011","Staedtischer Raum","Westdeutschland","7.17","7.5","10187","7.13","7.21"
"2012","Laendlicher Raum","Ostdeutschland","7.09","7.5","3040","7.01","7.17"
"2012","Laendlicher Raum","Westdeutschland","7.36","7.5","3896","7.29","7.43"
"2012","Staedtischer Raum","Ostdeutschland","7.04","6.5","1543","6.93","7.15"
"2012","Staedtischer Raum","Westdeutschland","7.21","7.5","10721","7.17","7.25"
"2013","Laendlicher Raum","Ostdeutschland","7.13","7.5","2921","7.05","7.21"
"2013","Laendlicher Raum","Westdeutschland","7.34","7.5","3823","7.27","7.41"
"2013","Staedtischer Raum","Ostdeutschland","7.11","7.5","1485","7.01","7.21"
"2013","Staedtischer Raum","Westdeutschland","7.32","7.5","10390","7.28","7.36"
"2014","Laendlicher Raum","Ostdeutschland","7.19","7.5","3633","7.12","7.26"
"2014","Laendlicher Raum","Westdeutschland","7.26","7.5","5808","7.2","7.32"
"2014","Staedtischer Raum","Ostdeutschland","7.02","6.5","1928","6.92","7.12"
